YEAR,WEEK,Sunday,Season,is_GFT
2010,38,09/19/2010,,1
2010,39,09/26/2010,,1
2010,40,10/03/2010,10.11,1
2010,41,10/10/2010,10.11,1
2010,42,10/17/2010,10.11,1
2010,43,10/24/2010,10.11,1
2010,44,10/31/2010,10.11,1
2010,45,11/07/2010,10.11,1
2010,46,11/14/2010,10.11,1
2010,47,11/21/2010,10.11,1
2010,48,11/28/2010,10.11,1
2010,49,12/05/2010,10.11,1
2010,50,12/12/2010,10.11,1
2010,51,12/19/2010,10.11,1
2010,52,12/26/2010,10.11,1
2011,1,01/02/2011,10.11,1
2011,2,01/09/2011,10.11,1
2011,3,01/16/2011,10.11,1
2011,4,01/23/2011,10.11,1
2011,5,01/30/2011,10.11,1
2011,6,02/06/2011,10.11,1
2011,7,02/13/2011,10.11,1
2011,8,02/20/2011,10.11,1
2011,9,02/27/2011,10.11,1
2011,10,03/06/2011,10.11,1
2011,11,03/13/2011,10.11,1
2011,12,03/20/2011,10.11,1
2011,13,03/27/2011,10.11,1
2011,14,04/03/2011,10.11,1
2011,15,04/10/2011,10.11,1
2011,16,04/17/2011,10.11,1
2011,17,04/24/2011,10.11,1
2011,18,05/01/2011,10.11,1
2011,19,05/08/2011,10.11,1
2011,20,05/15/2011,10.11,1
2011,21,05/22/2011,,1
2011,22,05/29/2011,,1
2011,23,06/05/2011,,1
2011,24,06/12/2011,,1
2011,25,06/19/2011,,1
2011,26,06/26/2011,,1
2011,27,07/03/2011,,1
2011,28,07/10/2011,,1
2011,29,07/17/2011,,1
2011,30,07/24/2011,,1
2011,31,07/31/2011,,1
2011,32,08/07/2011,,1
2011,33,08/14/2011,,1
2011,34,08/21/2011,,1
2011,35,08/28/2011,,1
2011,36,09/04/2011,,1
2011,37,09/11/2011,,1
2011,38,09/18/2011,,1
2011,39,09/25/2011,,1
2011,40,10/02/2011,11.12,1
2011,41,10/09/2011,11.12,1
2011,42,10/16/2011,11.12,1
2011,43,10/23/2011,11.12,1
2011,44,10/30/2011,11.12,1
2011,45,11/06/2011,11.12,1
2011,46,11/13/2011,11.12,1
2011,47,11/20/2011,11.12,1
2011,48,11/27/2011,11.12,1
2011,49,12/04/2011,11.12,1
2011,50,12/11/2011,11.12,1
2011,51,12/18/2011,11.12,1
2011,52,12/25/2011,11.12,1
2012,1,01/01/2012,11.12,1
2012,2,01/08/2012,11.12,1
2012,3,01/15/2012,11.12,1
2012,4,01/22/2012,11.12,1
2012,5,01/29/2012,11.12,1
2012,6,02/05/2012,11.12,1
2012,7,02/12/2012,11.12,1
2012,8,02/19/2012,11.12,1
2012,9,02/26/2012,11.12,1
2012,10,03/04/2012,11.12,1
2012,11,03/11/2012,11.12,1
2012,12,03/18/2012,11.12,1
2012,13,03/25/2012,11.12,1
2012,14,04/01/2012,11.12,1
2012,15,04/08/2012,11.12,1
2012,16,04/15/2012,11.12,1
2012,17,04/22/2012,11.12,1
2012,18,04/29/2012,11.12,1
2012,19,05/06/2012,11.12,1
2012,20,05/13/2012,11.12,1
2012,21,05/20/2012,,1
2012,22,05/27/2012,,1
2012,23,06/03/2012,,1
2012,24,06/10/2012,,1
2012,25,06/17/2012,,1
2012,26,06/24/2012,,1
2012,27,07/01/2012,,1
2012,28,07/08/2012,,1
2012,29,07/15/2012,,1
2012,30,07/22/2012,,1
2012,31,07/29/2012,,1
2012,32,08/05/2012,,1
2012,33,08/12/2012,,1
2012,34,08/19/2012,,1
2012,35,08/26/2012,,1
2012,36,09/02/2012,,1
2012,37,09/09/2012,,1
2012,38,09/16/2012,,1
2012,39,09/23/2012,,1
2012,40,09/30/2012,12.13,1
2012,41,10/07/2012,12.13,1
2012,42,10/14/2012,12.13,1
2012,43,10/21/2012,12.13,1
2012,44,10/28/2012,12.13,1
2012,45,11/04/2012,12.13,1
2012,46,11/11/2012,12.13,1
2012,47,11/18/2012,12.13,1
2012,48,11/25/2012,12.13,1
2012,49,12/02/2012,12.13,1
2012,50,12/09/2012,12.13,1
2012,51,12/16/2012,12.13,1
2012,52,12/23/2012,12.13,1
2013,1,12/30/2012,12.13,1
2013,2,01/06/2013,12.13,1
2013,3,01/13/2013,12.13,1
2013,4,01/20/2013,12.13,1
2013,5,01/27/2013,12.13,1
2013,6,02/03/2013,12.13,1
2013,7,02/10/2013,12.13,1
2013,8,02/17/2013,12.13,1
2013,9,02/24/2013,12.13,1
2013,10,03/03/2013,12.13,1
2013,11,03/10/2013,12.13,1
2013,12,03/17/2013,12.13,1
2013,13,03/24/2013,12.13,1
2013,14,03/31/2013,12.13,1
2013,15,04/07/2013,12.13,1
2013,16,04/14/2013,12.13,1
2013,17,04/21/2013,12.13,1
2013,18,04/28/2013,12.13,1
2013,19,05/05/2013,12.13,1
2013,20,05/12/2013,12.13,1
2013,21,05/19/2013,,1
2013,22,05/26/2013,,1
2013,23,06/02/2013,,1
2013,24,06/09/2013,,1
2013,25,06/16/2013,,1
2013,26,06/23/2013,,1
2013,27,06/30/2013,,1
2013,28,07/07/2013,,1
2013,29,07/14/2013,,1
2013,30,07/21/2013,,1
2013,31,07/28/2013,,1
2013,32,08/04/2013,,1
2013,33,08/11/2013,,1
