Week,AK,athena_flu,athena_ILI,athena_viral,strep,flu how long,how long flu,strep throat,expectorant,flu symptoms,cold,flu shots,body temperature,robitussin,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,flu shot,rsv,pneumonia,bronchitis,sinus,the flu,gripe,flu vaccine,influenza a,influenza b,cold symptoms
2009-10-04,6.681127983,,,,602.686130698,609.656588922,609.656588922,607.357603159,0.0,3237.2262327,7925.63297001,1626.85735968,609.057776875,0.0,0.0,610.717334851,0.0,918.420261351,1215.11178795,0.0,2144.68364417,614.721019571,811.400709297,2846.01435531,0.0,1623.17193053,0.0,613.978378653,609.60995981
2009-10-11,6.766595289,,,,617.639907451,0.0,0.0,0.0,0.0,4326.22326724,8483.65874252,1242.84195335,620.970540067,0.0,625.632131492,0.0,625.632131492,623.555501001,1030.89034323,617.267049071,827.623026455,0.0,1445.5396143,927.18149699,0.0,1863.46829949,0.0,0.0,0.0
2009-10-18,7.611438183,,,,620.350255457,628.647081519,628.647081519,1037.06967731,0.0,3931.34390716,11021.0857033,621.948557774,622.387748449,0.0,621.382893056,0.0,0.0,0.0,2171.31379459,626.939317036,1040.40052279,830.080316585,622.5288476,2702.69111179,0.0,2075.01317167,625.459121374,0.0,0.0
2009-10-25,7.210031348,,,,1224.48404807,1223.95938455,1223.95938455,1227.23904688,0.0,4889.12123831,11051.788768,1226.98775251,614.043692249,0.0,0.0,0.0,0.0,615.53048085,2855.15704399,613.858348545,1228.21904549,613.553822479,614.295165501,2046.0995358,0.0,3064.39029018,613.805075157,0.0,614.94729616
2009-11-01,3.989242492,,,,615.057966244,615.046099715,615.046099715,606.675654254,0.0,4906.62304311,9241.07183861,625.361722101,0.0,610.380576475,609.430766217,0.0,0.0,0.0,915.152556461,608.693625889,1027.33549013,1222.41637484,2152.77319173,2053.60607648,615.791610139,2050.81583469,0.0,0.0,614.116746285
2009-11-08,3.277236492,,,,600.715951196,0.0,0.0,601.955908433,0.0,2593.09482762,10223.6913981,602.535751109,596.701453949,0.0,1197.3773045,0.0,0.0,596.701453949,1397.4618821,600.353309511,1806.91178899,601.138526624,800.342587298,1202.05401077,0.0,800.646513474,0.0,0.0,599.581483252
2009-11-15,3.453169347,,,,1524.930945,612.926677307,612.926677307,913.896043083,0.0,1214.3477569,17479.4751547,611.433041427,0.0,608.041055389,0.0,0.0,609.60057535,609.325892196,607.509602175,0.0,2445.64102924,608.653792675,2437.02526673,610.877276675,0.0,1525.85363718,611.443939654,0.0,0.0
2009-11-22,2.829711976,,,,643.206547297,0.0,0.0,1270.39879213,0.0,962.67813049,9923.86274284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.445034702,0.0,863.267409273,964.422701452,1302.24851619,651.191851793,0.0,975.460864092,0.0,0.0,0.0
2009-11-29,2.341920375,,,,985.414018525,0.0,0.0,594.371519355,0.0,1176.20810715,9278.65390944,1170.45149347,591.238097992,0.0,595.133419684,0.0,0.0,584.694367423,587.379800982,0.0,1581.1338981,595.199231832,1178.1334156,1184.38180319,0.0,883.647598728,0.0,0.0,593.655840223
2009-12-06,4.459930314,,,,1373.11404538,588.68982716,588.68982716,588.080625438,0.0,1176.56424638,7072.32215106,595.396785891,584.156021195,0.0,0.0,0.0,0.0,0.0,0.0,583.979698822,1754.05688323,0.0,1568.64695888,1170.78653083,0.0,980.153819795,0.0,0.0,0.0
2009-12-13,2.59009009,,,,2962.7522859,0.0,0.0,606.523697548,0.0,1815.73051186,10459.3578694,607.389566978,1184.74309403,0.0,0.0,0.0,0.0,0.0,601.185795644,0.0,606.102335077,600.739526304,1003.63137681,1222.37366371,0.0,602.337543684,592.729475444,0.0,592.90860191
2009-12-20,3.815789474,,,,724.422109309,0.0,0.0,712.921834445,0.0,1192.48533373,6466.56021759,0.0,0.0,0.0,0.0,704.944301021,0.0,703.029847578,0.0,1451.4322735,0.0,0.0,1070.35032389,2173.85469102,705.371151945,1450.11398805,0.0,0.0,0.0
2009-12-27,3.819444444,,,,687.136027076,0.0,0.0,1018.29674305,0.0,681.457772214,6160.9696652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.963940672,685.404761567,2070.48133634,677.874353972,2062.44830933,688.904977867,0.0,0.0,0.0,0.0,0.0
2010-01-03,1.364628821,,,,1958.78953087,0.0,0.0,881.860965989,0.0,585.52735794,8634.59149443,0.0,1175.39607999,588.006905131,0.0,588.184819474,0.0,0.0,586.194149626,587.829098386,589.190549853,881.062579966,1174.95428057,588.389308999,0.0,587.524637533,0.0,0.0,588.230857799
2010-01-10,0.73089701,,,,573.234991821,0.0,0.0,566.555214807,568.267896834,1734.37633003,8405.41092816,0.0,578.649107693,0.0,0.0,0.0,567.927336786,569.128391577,567.839665457,578.474447533,574.887430769,568.439734723,852.27439005,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-17,1.212440696,,,,567.670701911,0.0,0.0,570.951953754,568.544325033,850.657331663,8168.2239482,0.0,569.305011607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856.287522823,568.523403396,1137.74521104,1713.37412325,571.990048215,1136.02886456,0.0,0.0,570.434318256
2010-01-24,0.87479497,,,,1475.25631262,0.0,0.0,553.152681377,0.0,552.783716402,9053.37360902,0.0,551.472169143,553.721370026,557.209145965,0.0,554.689357846,553.870456053,549.40203441,922.998258886,739.416807827,1112.39697701,922.383707879,556.70335854,554.224295885,549.899080882,550.895876799,0.0,0.0
2010-01-31,1.017293998,,,,556.561755384,0.0,0.0,740.486216471,0.0,0.0,9646.14685223,0.0,552.73019777,0.0,0.0,0.0,0.0,0.0,0.0,552.993806748,552.49154171,0.0,828.038316394,0.0,0.0,0.0,0.0,0.0,551.399119629
2010-02-07,1.601239669,,,,1681.48263346,0.0,0.0,561.093893043,0.0,0.0,8467.78983093,570.140414013,569.449334723,0.0,1138.2088459,0.0,560.32497981,0.0,566.872640901,561.431541227,1882.54109958,562.710729396,1503.50167394,0.0,0.0,0.0,0.0,0.0,1121.6659614
2010-02-14,1.130776794,,,,570.972978025,0.0,0.0,571.437555023,0.0,568.508372792,7245.40307083,0.0,572.127280497,0.0,0.0,0.0,0.0,571.261455878,567.822959944,1332.78920787,570.485959536,0.0,855.383269876,572.384837176,0.0,0.0,0.0,0.0,572.127249976
2010-02-21,1.231671554,,,,739.832512628,0.0,0.0,556.487355919,556.066271604,553.888903673,10190.4703323,557.922075301,556.362717128,554.866049154,556.908285946,0.0,0.0,0.0,0.0,831.859422276,1112.72268543,554.238364203,555.898174182,555.910164905,0.0,0.0,0.0,0.0,557.414719671
2010-02-28,0.737100737,,,,1302.13718836,0.0,0.0,840.40034315,0.0,1687.34694199,9871.21457905,554.538391694,1116.12229631,554.035180812,565.176832647,0.0,0.0,560.323783834,552.864566183,1116.7619102,745.787757255,0.0,2417.54725589,1110.08503501,0.0,0.0,0.0,0.0,0.0
2010-03-07,1.10701107,,,,849.970156219,0.0,0.0,1425.43583985,0.0,574.250900566,10866.6354495,0.0,0.0,576.595503848,0.0,0.0,567.247447046,578.953762218,0.0,865.985365371,1907.94188528,569.434547715,1134.06514907,0.0,0.0,0.0,0.0,0.0,560.891282715
2010-03-14,0.976042591,,,,561.609831834,567.925541724,567.925541724,570.789968471,0.0,569.240312448,6601.25583914,0.0,0.0,0.0,0.0,564.240755509,0.0,849.115154757,0.0,563.899515257,845.664097231,1413.73796614,941.489561552,565.095665744,0.0,0.0,0.0,0.0,0.0
2010-03-21,0.975359343,,,,832.688220352,0.0,0.0,549.487478948,0.0,0.0,10708.085204,0.0,0.0,0.0,0.0,0.0,559.860057938,0.0,0.0,1648.41758875,739.204786019,554.371333771,1106.01076462,555.461004852,0.0,550.319279552,0.0,0.0,550.986535423
2010-03-28,0.694042799,,,,1383.47285333,0.0,0.0,1106.51005945,0.0,827.048531197,5323.96657036,0.0,543.101744185,1098.49289906,0.0,553.016924553,0.0,0.0,0.0,551.347691457,1102.94654608,547.608226741,1936.22517941,545.40581219,0.0,0.0,0.0,0.0,552.01417401
2010-04-04,1.019367992,,,,561.991257579,0.0,0.0,564.115515393,0.0,839.084758642,7321.7050503,0.0,0.0,558.381067737,566.677347888,0.0,0.0,841.792220349,0.0,562.756966213,1128.41605318,1124.83213012,2061.65400751,567.192509113,0.0,0.0,0.0,565.308148618,0.0
2010-04-11,0.610500611,,,,820.761781591,0.0,0.0,0.0,0.0,818.948356792,8417.46467365,0.0,547.863930742,550.082534952,550.466614546,0.0,0.0,0.0,0.0,0.0,732.299598008,547.175319658,1278.79739974,549.966947422,0.0,544.290907294,545.277537338,0.0,548.195017297
2010-04-18,1.349831271,,,,551.193068963,0.0,0.0,816.921199998,0.0,541.066093383,12075.0296229,0.0,0.0,544.69751607,0.0,0.0,0.0,542.867463548,0.0,0.0,1382.3298993,541.066093383,1461.55535424,542.70320713,549.863426195,0.0,541.883413766,0.0,542.047174241
2010-04-25,2.385107621,,,,831.547413317,0.0,0.0,1113.15400601,0.0,554.731809893,6872.62264176,0.0,561.100921388,550.782230178,560.761066196,0.0,558.225215731,556.260299254,551.114126671,561.100921388,928.710607195,554.365751304,1297.17458679,555.792089478,0.0,0.0,0.0,0.0,561.27100351
2010-05-02,0.490436488,,,,2716.87159106,0.0,0.0,1358.14315716,579.981137698,0.0,5830.84592777,0.0,592.500417538,574.093257331,594.835217607,0.0,0.0,0.0,0.0,0.0,1747.33843671,580.15651754,2295.67884159,1162.77430515,0.0,0.0,0.0,0.0,0.0
2010-05-09,0.653238977,,,,1771.43302344,0.0,0.0,594.045437093,0.0,591.300177105,7540.46341236,0.0,600.621482084,0.0,0.0,0.0,0.0,591.728686503,592.54952852,0.0,794.07945688,1179.53036513,792.039429243,593.213307362,594.343502267,0.0,0.0,0.0,0.0
2010-05-16,0.530785563,,,,619.436833446,0.0,0.0,618.45361651,623.863197781,617.662855583,8471.36335745,0.0,0.0,623.863197781,0.0,0.0,0.0,0.0,0.0,614.326710471,0.0,924.458460361,1237.71485462,619.479612056,0.0,0.0,0.0,0.0,625.376051852
2010-05-23,0.27605245,,,,2273.80297471,0.0,0.0,1294.71057513,0.0,0.0,6774.09889616,652.565678076,0.0,649.705034526,650.295139008,0.0,650.398340377,663.314451631,0.0,1300.40404668,651.530732899,984.75153758,1308.23161189,664.317953071,0.0,0.0,0.0,0.0,0.0
2010-05-30,0.88593577,,,,0.0,0.0,0.0,660.122261263,0.0,0.0,9742.7218706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.19904042,664.380612897,1104.85663632,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-06,0.118694362,,,,637.110139921,0.0,0.0,634.653719518,0.0,0.0,6367.33000698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.937286849,0.0,954.201232011,0.0,950.743102064,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-13,0.484848485,,,,609.616415288,0.0,0.0,621.95811026,0.0,0.0,8456.23698511,0.0,0.0,622.257659274,0.0,0.0,0.0,0.0,0.0,0.0,1838.28775138,617.518430785,1866.20865709,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-20,0.400228702,,,,0.0,0.0,0.0,623.869798588,0.0,622.176034429,5583.16932663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.822198775,622.176034429,616.61881569,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-27,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,4608.05373094,0.0,601.567079495,0.0,603.570481818,0.0,0.0,0.0,0.0,0.0,904.945576561,0.0,599.052674857,0.0,0.0,599.201887054,0.0,0.0,0.0
2010-07-04,0.203252033,,,,803.81256193,598.055983849,598.055983849,596.428866601,0.0,900.220494133,7445.97094167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.418871368,0.0,603.748977724,0.0,908.183593478,609.811733589,0.0,0.0,0.0,0.0,603.748977724
2010-07-11,0.410677618,,,,1126.74944037,0.0,0.0,1120.05071667,0.0,558.504927497,8295.3358075,0.0,559.010819642,0.0,0.0,0.0,559.010819642,0.0,0.0,0.0,943.082182362,563.034748347,1316.86935977,0.0,0.0,0.0,0.0,0.0,564.723886237
2010-07-18,0.16146394,,,,1405.09201795,0.0,0.0,554.541705116,0.0,0.0,7522.43309898,0.0,568.333397248,0.0,0.0,569.881989611,568.333397248,0.0,0.0,0.0,568.848658714,1112.77252953,839.964446276,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-25,0.419507079,,,,1662.74960419,0.0,0.0,552.121620892,0.0,549.946158718,8484.54880604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.39371244,1101.88668247,1114.84981873,828.942123761,551.610141044,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.188679245,,,,552.847746928,0.0,0.0,0.0,0.0,556.171624814,6482.73671611,554.420553534,552.579180923,0.0,559.203450752,0.0,0.0,0.0,0.0,0.0,835.660238642,555.120558949,833.728957522,1117.39170613,0.0,0.0,0.0,0.0,559.711971623
2010-08-08,0.674974039,,,,1091.96118424,0.0,0.0,545.464273958,544.924701064,0.0,8200.38744505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.759971711,727.266275005,0.0,0.0,545.584615931,0.0,0.0,0.0
2010-08-15,0.722767166,,,,555.779130746,0.0,0.0,1109.04478547,0.0,0.0,8372.41030442,0.0,559.511999813,0.0,561.14494888,0.0,0.0,0.0,0.0,0.0,1104.33487843,1102.66569029,1118.56473515,561.655080652,0.0,0.0,556.283366317,0.0,0.0
2010-08-22,0.66603235,,,,810.236313696,0.0,0.0,538.837417332,0.0,0.0,8641.61113255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.017687388,537.992016425,1080.15164941,537.992016425,810.154077289,540.36087581,0.0,0.0,0.0,0.0,540.648843185
2010-08-29,0.29342723,,,,1269.8664214,0.0,0.0,907.181784048,0.0,0.0,6906.07291931,547.274905977,546.611542455,545.45451772,0.0,0.0,0.0,539.046318924,0.0,0.0,1095.80203567,545.289628204,1088.33186616,0.0,0.0,546.744411344,0.0,0.0,537.748194134
2010-09-05,1.211305518,,,,0.0,0.0,0.0,0.0,0.0,556.369464645,9488.11314512,0.0,0.0,0.0,0.0,558.666099674,0.0,0.0,556.097809049,0.0,1117.64796036,558.58155185,1299.7274642,556.686682477,0.0,558.413101443,0.0,0.0,559.59439238
2010-09-12,0.778909527,,,,0.0,546.621853368,546.621853368,814.72880786,0.0,0.0,8909.10137149,1096.34116944,546.928490831,0.0,545.014886784,0.0,541.839236655,0.0,817.505373961,0.0,1274.10919283,544.396195444,814.891367764,1092.91292195,0.0,544.438325615,0.0,0.0,0.0
