Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.655,0.77,0.772,0.701,0.717,0.751,0.749,0.732
ARGO,,,0.644,0.785,0.74,0.75,0.778,0.771,0.746,0.723
ARGO_top10,,,0.662,0.788,0.737,0.748,0.767,0.771,0.753,0.729
ARGO_all_weighted1,,,0.691,0.802,0.688,0.75,0.785,0.766,0.741,0.727
ARGO_all_weighted2,,,0.605,0.84,0.727,0.804,0.771,0.786,0.754,0.724
ARGO_all_weighted_more_ar,,,0.558,0.827,0.723,0.814,0.795,0.787,0.746,0.703
ARGO_top10_weighted1,,,0.686,0.796,0.692,0.765,0.792,0.772,0.742,0.725
ARGO_top10_weighted2,,,0.695,0.832,0.728,0.804,0.771,0.79,0.765,0.752
ARGO_top10_weighted_more_ar,,,0.577,0.829,0.723,0.814,0.795,0.788,0.749,0.709
ARGO_ath_weight,,,0.497,0.796,0.744,0.761,0.77,0.754,0.713,0.679
ARGO_ath_deweight,,,0.641,0.785,0.737,0.762,0.733,0.766,0.746,0.721
ARGO_obs_weight,,,0.634,0.798,0.76,0.749,0.762,0.771,0.756,0.731
ARGO_top10_obs,,,0.658,0.789,0.761,0.793,0.751,0.785,0.758,0.736
ARGO_top10_weighted2_obs,,,0.587,0.828,0.747,0.804,0.776,0.788,0.752,0.721
GFT,,,0.673,0.932,0.768,,,0.669,0.669,0.791
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.611,0.74,0.61,1.034,0.825,0.717,0.622,0.654
ARGO,,,0.617,0.716,0.64,0.958,0.777,0.691,0.623,0.658
ARGO_top10,,,0.607,0.713,0.642,0.961,0.784,0.691,0.616,0.654
ARGO_all_weighted1,,,0.598,0.692,0.702,0.939,0.811,0.698,0.634,0.664
ARGO_all_weighted2,,,0.643,0.637,0.664,0.844,0.784,0.669,0.616,0.648
ARGO_all_weighted_more_ar,,,0.67,0.653,0.667,0.827,0.75,0.667,0.625,0.663
ARGO_top10_weighted1,,,0.595,0.7,0.695,0.914,0.797,0.69,0.633,0.663
ARGO_top10_weighted2,,,0.587,0.65,0.663,0.844,0.784,0.663,0.605,0.634
ARGO_top10_weighted_more_ar,,,0.669,0.649,0.667,0.826,0.75,0.666,0.623,0.662
ARGO_ath_weight,,,0.741,0.716,0.653,0.956,0.825,0.714,0.66,0.703
ARGO_ath_deweight,,,0.619,0.716,0.641,0.951,0.802,0.697,0.623,0.659
ARGO_obs_weight,,,0.627,0.697,0.622,0.964,0.793,0.692,0.615,0.649
ARGO_top10_obs,,,0.616,0.711,0.621,0.875,0.796,0.674,0.615,0.649
ARGO_top10_weighted2_obs,,,0.675,0.65,0.641,0.846,0.759,0.669,0.623,0.656
GFT,,,1.446,0.499,0.605,,,0.875,0.875,0.85
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.448,0.409,0.484,0.481,0.349,0.571,0.653,0.447
ARGO,,,0.462,0.468,0.568,0.447,0.356,0.586,0.684,0.499
ARGO_top10,,,0.489,0.45,0.556,0.436,0.365,0.582,0.673,0.498
ARGO_all_weighted1,,,0.529,0.511,0.605,0.51,0.352,0.614,0.727,0.548
ARGO_all_weighted2,,,0.531,0.457,0.579,0.448,0.359,0.601,0.722,0.523
ARGO_all_weighted_more_ar,,,0.543,0.437,0.555,0.436,0.323,0.592,0.705,0.511
ARGO_top10_weighted1,,,0.514,0.51,0.609,0.493,0.353,0.618,0.729,0.544
ARGO_top10_weighted2,,,0.514,0.466,0.579,0.448,0.359,0.596,0.713,0.52
ARGO_top10_weighted_more_ar,,,0.505,0.437,0.555,0.436,0.323,0.578,0.682,0.499
ARGO_ath_weight,,,0.77,0.444,0.592,0.417,0.354,0.62,0.764,0.602
ARGO_ath_deweight,,,0.481,0.468,0.57,0.444,0.369,0.591,0.685,0.506
ARGO_obs_weight,,,0.493,0.447,0.559,0.448,0.368,0.581,0.682,0.5
ARGO_top10_obs,,,0.493,0.444,0.549,0.426,0.372,0.579,0.676,0.495
ARGO_top10_weighted2_obs,,,0.54,0.474,0.57,0.441,0.35,0.599,0.721,0.528
GFT,,,1.213,0.352,0.737,,,0.94,0.94,0.767
