Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.673,0.932,0.768,,,0.669,0.669,0.791
AR52,,,0.655,0.77,0.772,0.701,0.717,0.751,0.749,0.732
ARGO,,,0.695,0.832,0.728,0.804,0.771,0.79,0.765,0.752
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.446,0.499,0.605,,,0.875,0.875,0.85
AR52,,,0.611,0.74,0.61,1.034,0.825,0.717,0.622,0.654
ARGO,,,0.587,0.65,0.663,0.844,0.784,0.663,0.605,0.634
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.213,0.352,0.737,,,0.94,0.94,0.767
AR52,,,0.448,0.409,0.484,0.481,0.349,0.571,0.653,0.447
ARGO,,,0.514,0.466,0.579,0.448,0.359,0.596,0.713,0.52
