Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.768,,,0.649,0.649,0.649
AR52,0.772,0.701,0.717,0.734,0.715,0.726
ARGO(gt),0.728,0.804,0.771,0.772,0.652,0.772
"ARGO(gt,ath)",0.728,0.804,0.771,0.772,0.652,0.772
Net,0.628,0.818,0.784,0.77,0.584,0.777
ARGONet,0.723,0.815,0.75,0.781,0.655,0.765
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.605,,,0.713,0.713,0.713
AR52,0.61,1.034,0.825,0.78,0.632,0.802
ARGO(gt),0.663,0.844,0.784,0.727,0.7,0.756
"ARGO(gt,ath)",0.663,0.844,0.784,0.727,0.7,0.756
Net,0.767,0.88,0.721,0.728,0.747,0.724
ARGONet,0.671,0.832,0.776,0.714,0.693,0.745
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.737,,,0.7,0.7,0.7
AR52,0.484,0.481,0.349,0.462,0.488,0.406
ARGO(gt),0.579,0.448,0.359,0.461,0.541,0.41
"ARGO(gt,ath)",0.579,0.448,0.359,0.461,0.541,0.41
Net,0.71,0.458,0.306,0.475,0.644,0.391
ARGONet,0.595,0.475,0.334,0.465,0.547,0.4
