Week,AL,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,robitussin cough,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,contagious flu,can adults get rsv,rsv in adults,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,flu children,cough and fever,flu shots,high fever,symptoms of rsv,flu remedies,do i have the flu,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,tamiflu dose,robitussin,rsv treatment,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,type b flu symptoms,flu virus,rsv baby,flu shot,rsv infection,flu like symptoms,flu contagious,is the flu contagious,flu contagious period,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,how long is rsv contagious,symptoms of the flu,early flu symptoms,flu type b,flu type a,what is rsv
2009-10-04,11.71403156,0.0452961672474,0.0501742160279,0.0501742160279,0.0,0.0,0.0,818.071561291,437.919406116,280.286004067,282.936760187,282.936760187,187.092540038,751.145316648,377.024587852,625.319326092,0.0,375.65769828,0.0,0.0,280.878072612,0.0,0.0,0.0,0.0,4637.08706297,373.282341644,187.838229127,0.0,280.286004067,0.0,283.079426968,187.830689665,374.297466059,1189.31546523,5190.16907371,0.0,188.520764375,0.0,812.814208844,282.026119968,0.0,186.416301941,187.14873303,280.088906844,500.002551684,282.281544229,282.324008233,0.0,0.0,0.0,0.0,187.657750436,437.598425478,0.0,188.987730753,188.462453247,188.930634762,187.205154113,0.0,188.006868644,0.0,0.0,188.028255805,0.0,376.301820249,0.0,1248.98012339,0.0,187.830689665,280.878072612,0.0,0.0,313.248131272,563.313725001,1634.50397812,0.0,187.432502255,0.0,249.652789083,688.609662186,0.0,187.838229127,1252.41356834,0.0,1689.99983455,752.074475718,187.43117905,187.092540038,0.0,0.0,187.09203418,0.0,1815.20021541,0.0,0.0,280.3986925,0.0,0.0,187.757924123,186.528668609,312.377031097,187.261609226,0.0,187.550267125,187.544396313,0.0,283.079426968,0.0
2009-10-11,9.333333333,0.0442062960482,0.0448760884126,0.0448760884126,0.0,0.0,189.717616529,950.313637555,378.092753317,378.044165102,378.832461542,378.832461542,378.009751455,693.022526303,0.0,377.511929708,0.0,377.493664755,0.0,0.0,188.945682705,0.0,0.0,0.0,0.0,3217.36207707,563.849674304,0.0,0.0,378.044165102,0.0,189.202131777,189.373189293,189.145833477,1196.85671214,5602.5064412,0.0,567.771309098,0.0,1070.11905199,188.887681447,0.0,188.321725574,0.0,188.573932728,283.189184392,251.971809254,0.0,188.903889115,0.0,189.05986097,0.0,189.52049982,377.009089878,0.0,315.245787415,0.0,283.669550348,283.213277784,0.0,189.116898282,0.0,0.0,0.0,0.0,629.239194058,0.0,1006.06573024,0.0,0.0,188.945682705,0.0,0.0,283.89895446,0.0,1518.25303768,189.259914197,0.0,0.0,189.031890204,756.08681546,0.0,0.0,1071.67559753,189.087602642,2268.00309144,252.429720181,188.321725574,188.916455051,0.0,0.0,0.0,188.890673386,1889.08041918,0.0,188.43524078,188.630869302,0.0,0.0,188.703710996,188.903803217,189.087256637,189.259914197,0.0,377.978525805,189.54571896,0.0,189.202131777,0.0
2009-10-18,7.273329286,0.0359364201797,0.0366275051831,0.0366275051831,0.0,0.0,188.670209034,444.228497837,380.648906347,571.663149143,569.546923329,569.546923329,188.841105962,378.566415887,381.108766095,190.037819961,188.466336932,191.189564324,0.0,188.751201407,571.663149143,0.0,0.0,190.554383048,0.0,3221.29387297,188.142486598,0.0,0.0,571.663149143,190.439348708,189.413005132,285.274082387,0.0,757.651292169,6874.14453737,0.0,189.751410028,0.0,1135.11217878,282.823899056,0.0,0.0,0.0,188.963240062,377.920061741,188.898140425,188.979713758,0.0,0.0,188.727140298,0.0,0.0,188.511303794,0.0,0.0,191.073762044,0.0,0.0,0.0,188.637152343,381.916199922,190.669556443,0.0,0.0,378.359721354,0.0,2520.35348774,0.0,0.0,571.663149143,0.0,188.580179479,570.285232543,189.241071996,951.184780879,0.0,189.323521606,0.0,188.068968149,504.926633083,190.554383048,0.0,1325.89774932,0.0,1387.9312016,853.809697563,565.32848112,190.727195366,0.0,0.0,190.554383048,0.0,1387.0534038,0.0,0.0,252.130547656,0.0,0.0,379.330727453,188.670209034,0.0,190.439348708,0.0,188.613312107,0.0,0.0,189.413005132,190.727195366
2009-10-25,7.836503799,0.0213675213675,0.0213675213675,0.0220797720798,0.0,0.0,0.0,978.172879734,0.0,181.514827439,274.804384102,274.804384102,182.549133514,486.225161358,183.825357566,364.559105597,0.0,243.537382149,0.0,0.0,182.779026783,0.0,0.0,183.99226921,182.180820362,2556.03424592,242.618266699,182.023165196,182.290932674,181.514827439,0.0,0.0,0.0,0.0,851.210268995,5892.4498768,0.0,183.194535362,0.0,668.195295907,183.271165954,0.0,182.558727705,0.0,362.718398207,181.678846563,182.438848554,181.23370076,182.586188334,0.0,182.426310625,0.0,0.0,303.560715498,0.0,0.0,0.0,181.851280138,180.960676204,0.0,181.925925051,363.564457821,181.507550414,0.0,0.0,242.783797023,0.0,2123.61075759,0.0,182.566796676,182.779026783,0.0,0.0,0.0,457.942459002,1282.59467326,0.0,0.0,0.0,180.906169976,729.356004265,183.99226921,182.023165196,1763.55802017,181.79647264,1521.18767514,791.790622111,0.0,0.0,0.0,0.0,0.0,0.0,2369.47487258,182.401178173,0.0,182.531449458,181.79647264,182.401178173,0.0,183.381736793,303.579557626,0.0,0.0,181.906120693,0.0,0.0,0.0,0.0
2009-11-01,7.175213914,0.0162774239207,0.0191082802548,0.0205237084218,0.0,0.0,0.0,685.537564595,247.921418898,745.428225515,248.40888022,248.40888022,0.0,619.765995171,186.300704079,557.721570659,0.0,556.211039773,0.0,0.0,186.101394677,0.0,0.0,372.939726627,0.0,3227.86057502,185.596750943,185.762874318,0.0,745.428225515,0.0,0.0,186.300704079,0.0,806.901587113,6134.63733427,0.0,279.817549964,372.151270546,867.053935412,185.739049861,186.80910503,185.932875454,0.0,185.790854843,557.421735992,278.859672577,186.639330018,0.0,0.0,372.28122037,0.0,0.0,433.497789555,0.0,371.865750908,186.69588739,0.0,0.0,186.77853741,372.365612365,279.281887883,186.188101659,0.0,0.0,370.854434143,0.0,1485.10104608,184.949420433,186.439351204,186.101394677,185.876770181,0.0,278.720544495,186.270219649,1557.06131261,0.0,186.77853741,0.0,0.0,558.038344164,372.939726627,185.762874318,1675.03392302,0.0,992.58870885,372.247049952,0.0,278.944555315,186.300704079,0.0,0.0,0.0,1301.22543463,0.0,0.0,185.6080412,185.730503958,0.0,185.959075973,0.0,309.799152697,185.842626206,0.0,185.795062843,187.092750801,0.0,0.0,0.0
2009-11-08,5.823701257,0.0197704081633,0.0210459183673,0.0223214285714,0.0,0.0,0.0,646.661935784,184.263921886,183.890823173,184.263231019,184.263231019,184.828828253,490.583833952,183.423067862,182.925836654,0.0,184.034478088,0.0,183.533931004,0.0,0.0,0.0,369.657656506,0.0,2516.81227311,183.258045599,0.0,0.0,183.890823173,0.0,0.0,184.71701408,0.0,797.540351787,6127.51952338,0.0,275.60626282,0.0,306.416610253,368.0831643,184.815611171,183.535647589,0.0,183.091280582,367.525433429,184.382381808,276.200182136,244.792973189,0.0,183.478482686,0.0,0.0,306.230984098,0.0,0.0,367.846019195,183.478482686,0.0,0.0,184.089968482,184.089968482,0.0,0.0,0.0,183.590929411,184.493791102,1652.61220496,0.0,184.828828253,0.0,0.0,0.0,368.098637263,276.636935538,1416.54554602,0.0,0.0,0.0,366.861130567,797.332874882,369.657656506,0.0,1717.5992764,0.0,1348.3250452,553.006966129,0.0,183.589412845,184.312635514,0.0,0.0,183.204654537,918.75181558,0.0,0.0,183.705732246,0.0,0.0,184.034385762,0.0,553.147145423,0.0,0.0,183.312338572,0.0,0.0,0.0,0.0
2009-11-15,5.567101203,0.00993377483444,0.0105960264901,0.012582781457,0.0,0.0,0.0,720.811055294,0.0,358.355858052,180.112610434,180.112610434,178.938502998,895.776722912,0.0,0.0,179.786417961,0.0,0.0,180.167090957,0.0,0.0,0.0,179.604836394,0.0,1973.53198018,0.0,0.0,0.0,358.355858052,0.0,180.385343036,180.112610434,179.732167382,717.166141812,6387.47292194,0.0,179.524257881,0.0,298.647406673,0.0,179.12382941,267.763920414,0.0,359.572835922,268.086965584,0.0,179.686450225,268.297734462,0.0,179.252391706,0.0,0.0,179.008878867,0.0,0.0,0.0,0.0,268.055732987,0.0,179.394654673,178.344740243,0.0,0.0,0.0,178.584624625,0.0,953.87627406,0.0,180.047988772,0.0,178.398555796,0.0,179.518622154,360.2145112,1499.95638423,0.0,0.0,0.0,178.995165905,716.927975019,179.604836394,0.0,1792.6725204,0.0,895.619297554,448.769023172,178.692205724,0.0,179.448918029,179.632024532,0.0,0.0,1193.72411118,179.829682633,0.0,178.874456814,0.0,179.829682633,179.481549538,0.0,179.198065219,179.069762452,0.0,538.871293158,180.878348832,0.0,180.385343036,0.0
2009-11-22,4.60196697,0.0106723585912,0.0213447171825,0.0245464247599,0.0,0.0,0.0,606.024457787,227.458836835,225.596735027,0.0,0.0,226.430047271,226.490053333,0.0,224.959761478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.615191183,225.683497327,904.973760148,224.75662699,0.0,0.0,225.596735027,0.0,0.0,0.0,0.0,451.894751062,5644.45709277,0.0,456.434985498,225.138203464,225.615191183,0.0,0.0,0.0,226.841859881,225.740341377,337.439918742,0.0,0.0,225.849641307,0.0,225.299272507,224.392712724,227.458836835,338.893326761,0.0,226.074694211,452.423252376,0.0,223.988158555,0.0,0.0,0.0,226.490053333,0.0,0.0,449.377287623,0.0,752.293489814,0.0,226.692197169,0.0,0.0,0.0,680.447503118,566.313997039,907.900638714,0.0,226.211626188,0.0,224.985177612,565.62991871,225.615191183,0.0,1507.42706789,225.615191183,678.070329681,225.801326987,0.0,677.403980961,225.937927911,0.0,0.0,0.0,339.644822451,0.0,0.0,0.0,0.0,0.0,225.52862007,224.86654349,339.274386723,0.0,0.0,225.460546234,0.0,0.0,0.0,0.0
2009-11-29,4.531722054,0.00852618757613,0.00852618757613,0.00913520097442,0.0,0.0,0.0,638.727442527,0.0,172.551439491,173.361978138,173.361978138,0.0,519.692327815,173.204899934,259.917841545,173.41514007,0.0,0.0,173.229543697,0.0,0.0,0.0,0.0,0.0,1099.06509218,172.65541746,344.998994912,0.0,172.551439491,0.0,173.992840416,173.729772922,172.70745345,346.90878859,8135.7170906,0.0,260.180856171,0.0,345.831822902,172.968104603,0.0,0.0,172.70745345,0.0,345.727499577,173.020329272,0.0,259.390533381,0.0,259.943650918,0.0,0.0,230.724662693,0.0,172.968104603,0.0,0.0,172.696602389,0.0,289.003004833,173.519890985,0.0,0.0,0.0,173.439264694,0.0,519.459626901,172.759520816,173.439264694,0.0,0.0,0.0,405.217667545,173.703139988,1739.27869737,0.0,0.0,0.0,172.603412816,982.030463459,0.0,344.998994912,1675.77434318,0.0,1096.795807,462.234203636,172.968104603,345.310834919,345.102878981,0.0,0.0,0.0,461.798698218,0.0,172.839488753,259.938707017,0.0,0.0,173.309908704,0.0,345.703813551,0.0,0.0,173.034646896,0.0,0.0,173.992840416,0.0
2009-12-06,4.525040827,0.00428396572827,0.00489596083231,0.00734394124847,172.986786718,0.0,0.0,523.761184918,0.0,350.385049403,260.935924007,260.935924007,261.622306357,636.453387271,172.568312484,346.90092161,0.0,171.737408782,0.0,0.0,175.192524702,0.0,0.0,175.192524702,0.0,984.880840867,0.0,172.255783092,171.99620536,350.385049403,0.0,172.829621255,0.0,0.0,404.691570674,8266.33692486,174.770246848,172.255783092,0.0,174.664995269,261.227241579,0.0,171.8408339,0.0,0.0,520.822857543,0.0,0.0,173.087500285,0.0,173.712233595,0.0,0.0,260.833415801,0.0,0.0,346.964767011,0.0,172.878772518,0.0,173.660816402,0.0,173.139761004,0.0,0.0,0.0,175.033931589,346.658593859,0.0,176.043231954,175.192524702,175.404429781,0.0,463.655767596,520.204616066,1220.59839069,172.930907251,0.0,0.0,349.435210414,431.989693088,175.192524702,172.255783092,1447.0924057,0.0,520.73976097,347.49693793,174.717605207,0.0,0.0,0.0,175.192524702,0.0,462.567199164,0.0,0.0,0.0,0.0,0.0,175.139628408,173.035271106,288.905549982,0.0,0.0,347.16236277,0.0,174.770246848,172.829621255,0.0
