Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.893,0.94,0.792,0.701,0.956,0.86,0.878,0.875
ARGO,,,0.905,0.951,0.842,0.673,0.947,0.867,0.897,0.899
ARGO_top10,,,0.956,0.957,0.842,0.606,0.951,0.86,0.9,0.919
ARGO_all_weighted1,,,0.911,0.935,0.892,0.546,0.886,0.816,0.889,0.913
ARGO_all_weighted2,,,0.946,0.959,0.852,0.586,0.962,0.862,0.906,0.919
ARGO_all_weighted_more_ar,,,0.95,0.959,0.849,0.583,0.962,0.86,0.905,0.919
ARGO_top10_weighted1,,,0.946,0.968,0.853,0.487,0.902,0.812,0.881,0.922
ARGO_top10_weighted2,,,0.961,0.959,0.852,0.61,0.963,0.863,0.905,0.924
ARGO_top10_weighted_more_ar,,,0.961,0.959,0.844,0.621,0.964,0.864,0.903,0.922
ARGO_ath_weight,,,0.898,0.96,0.845,0.73,0.886,0.831,0.878,0.901
ARGO_ath_deweight,,,0.882,0.941,0.836,0.679,0.953,0.866,0.893,0.886
ARGO_obs_weight,,,0.896,0.956,0.849,0.607,0.95,0.86,0.901,0.9
ARGO_top10_obs,,,0.95,0.96,0.84,0.582,0.947,0.858,0.902,0.917
ARGO_top10_weighted2_obs,,,0.955,0.961,0.868,0.598,0.96,0.868,0.916,0.928
GFT,,,0.915,0.867,0.939,,,0.837,0.837,0.907
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,1.379,0.653,2.594,3.307,3.04,2.026,1.448,1.542
ARGO,,,1.532,0.622,2.238,3.608,2.621,1.989,1.351,1.464
ARGO_top10,,,1.483,0.562,2.263,3.793,2.555,2.02,1.346,1.436
ARGO_all_weighted1,,,1.627,0.907,2.176,4.463,3.51,2.336,1.403,1.57
ARGO_all_weighted2,,,1.435,0.575,2.195,3.856,2.518,2.016,1.301,1.402
ARGO_all_weighted_more_ar,,,1.451,0.573,2.219,3.819,2.607,2.026,1.311,1.414
ARGO_top10_weighted1,,,1.706,0.615,2.377,4.465,3.358,2.343,1.464,1.566
ARGO_top10_weighted2,,,1.487,0.575,2.203,3.803,2.517,2.006,1.317,1.422
ARGO_top10_weighted_more_ar,,,1.506,0.573,2.242,3.725,2.582,2.002,1.334,1.44
ARGO_ath_weight,,,1.642,0.586,2.418,4.124,3.41,2.262,1.454,1.549
ARGO_ath_deweight,,,1.59,0.694,2.264,3.562,2.525,1.989,1.383,1.516
ARGO_obs_weight,,,1.543,0.62,2.177,3.781,2.507,2.019,1.328,1.446
ARGO_top10_obs,,,1.417,0.547,2.273,3.848,2.493,2.027,1.325,1.412
ARGO_top10_weighted2_obs,,,1.368,0.574,2.09,3.803,2.384,1.96,1.241,1.344
GFT,,,10.042,4.097,3.561,,,5.484,5.484,5.9
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.419,0.164,0.244,0.798,0.514,0.521,0.418,0.275
ARGO,,,0.602,0.165,0.274,0.673,0.437,0.545,0.51,0.347
ARGO_top10,,,0.637,0.162,0.219,0.7,0.44,0.545,0.513,0.339
ARGO_all_weighted1,,,0.663,0.239,0.232,0.806,0.536,0.614,0.589,0.378
ARGO_all_weighted2,,,0.604,0.154,0.234,0.77,0.437,0.526,0.467,0.331
ARGO_all_weighted_more_ar,,,0.589,0.156,0.206,0.784,0.476,0.524,0.45,0.317
ARGO_top10_weighted1,,,0.761,0.21,0.244,0.86,0.494,0.643,0.619,0.405
ARGO_top10_weighted2,,,0.611,0.155,0.232,0.714,0.434,0.515,0.468,0.332
ARGO_top10_weighted_more_ar,,,0.61,0.156,0.209,0.718,0.457,0.513,0.457,0.325
ARGO_ath_weight,,,0.664,0.183,0.268,0.634,0.524,0.581,0.572,0.372
ARGO_ath_deweight,,,0.585,0.198,0.279,0.684,0.397,0.552,0.513,0.354
ARGO_obs_weight,,,0.58,0.154,0.267,0.669,0.419,0.527,0.479,0.334
ARGO_top10_obs,,,0.567,0.153,0.218,0.705,0.424,0.52,0.47,0.313
ARGO_top10_weighted2_obs,,,0.54,0.151,0.226,0.72,0.426,0.492,0.431,0.305
GFT,,,2.503,1.248,0.843,,,2.084,2.084,1.531
