Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.915,0.867,0.939,,,0.837,0.837,0.907
AR52,,,0.893,0.94,0.792,0.701,0.956,0.86,0.878,0.875
ARGO,,,0.955,0.961,0.868,0.598,0.96,0.868,0.916,0.928
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,10.042,4.097,3.561,,,5.484,5.484,5.9
AR52,,,1.379,0.653,2.594,3.307,3.04,2.026,1.448,1.542
ARGO,,,1.368,0.574,2.09,3.803,2.384,1.96,1.241,1.344
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.503,1.248,0.843,,,2.084,2.084,1.531
AR52,,,0.419,0.164,0.244,0.798,0.514,0.521,0.418,0.275
ARGO,,,0.54,0.151,0.226,0.72,0.426,0.492,0.431,0.305
