Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.939,,,0.952,0.952,0.952
AR52,0.792,0.701,0.956,0.836,0.832,0.896
ARGO(gt),0.848,0.578,0.945,0.843,0.878,0.894
"ARGO(gt,ath)",0.868,0.598,0.96,0.851,0.891,0.906
Net,0.922,0.738,0.97,0.897,0.936,0.934
ARGONet,0.924,0.683,0.969,0.885,0.936,0.927
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,3.561,,,3.188,3.188,3.188
AR52,2.594,3.307,3.04,2.608,2.234,2.824
ARGO(gt),2.201,3.852,2.436,2.575,1.901,2.506
"ARGO(gt,ath)",2.09,3.803,2.384,2.522,1.812,2.453
Net,1.629,3.215,1.839,2.108,1.421,1.973
ARGONet,1.584,3.486,1.854,2.208,1.391,2.031
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.843,,,1.206,1.206,1.206
AR52,0.244,0.798,0.514,0.547,0.257,0.531
ARGO(gt),0.247,0.809,0.428,0.508,0.286,0.468
"ARGO(gt,ath)",0.226,0.72,0.426,0.494,0.3,0.46
Net,0.204,0.542,0.385,0.455,0.303,0.42
ARGONet,0.179,0.705,0.392,0.486,0.303,0.439
