Week,AR,athena_flu,athena_ILI,athena_viral,how long is the flu contagious,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,expectorant,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,type a flu,tamiflu side effects,symptoms of flu,cold,type b flu,flu shots,high fever,symptoms of rsv,flu treatment,body temperature,flu incubation period,symptoms of bronchitis,robitussin,tamiflu dosage,walking pneumonia,incubation period for flu,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,how long is flu contagious,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu type a,what is rsv
2009-10-04,11.69064748,0.0884615384615,0.0942307692308,0.117307692308,0.0,763.151421917,491.190987277,543.691339695,435.340161605,435.340161605,329.023774227,981.14874851,329.420188413,0.0,0.0,0.0,0.0,327.446000235,0.0,5674.55093041,490.007007658,325.508089924,0.0,543.691339695,0.0,0.0,1856.56457826,5447.97551897,0.0,1200.83174886,0.0,0.0,324.52497881,545.037685792,0.0,0.0,326.674204566,0.0,326.476937534,0.0,0.0,0.0,0.0,328.286276579,0.0,0.0,326.497261887,0.0,2194.9288578,0.0,325.903004198,327.155127609,1528.0876728,659.635117931,0.0,0.0,657.36626427,327.446000235,325.508089924,1417.22902738,0.0,3270.00427048,1311.95616266,330.815192235,323.7427553,0.0,0.0,0.0,2613.61698201,327.791449111,0.0,324.721125669,0.0,327.791449111,327.099068121,0.0,546.195519682,0.0,814.999881609,326.083117344,0.0,0.0
2009-10-11,15.00818628,0.106692531523,0.126091173618,0.145489815713,0.0,770.276939697,330.094472987,548.928620254,659.690540519,659.690540519,0.0,1099.51425516,330.117976968,496.814117005,0.0,0.0,0.0,328.978085604,0.0,7050.68414126,329.573341489,0.0,0.0,548.928620254,329.295504853,330.293174396,2977.03858544,6049.15110527,329.813502804,1213.15539532,329.813502804,0.0,494.5150748,0.0,494.51546496,0.0,330.170755401,0.0,329.614279909,330.913547841,0.0,0.0,0.0,660.142072109,0.0,0.0,549.757657018,0.0,2326.95612405,0.0,0.0,0.0,661.166297324,329.871777958,0.0,329.819946896,1100.64255542,328.978085604,0.0,2311.26230453,0.0,4071.02093512,1766.65020019,0.0,660.434880105,0.0,0.0,330.31696309,2638.176908,329.971376925,329.573341489,989.440508412,657.243529527,329.971376925,331.215377315,0.0,329.473982628,330.570236048,771.042070938,329.573341489,329.295504853,0.0
2009-10-18,12.16360043,0.0988805970149,0.109141791045,0.164179104478,0.0,1447.42872909,334.186808406,333.323325763,334.04203586,334.04203586,0.0,1223.39487575,0.0,334.663763163,0.0,0.0,0.0,0.0,0.0,5575.16758122,556.192093064,334.491042071,334.344518838,333.323325763,333.481560265,333.610308582,2342.07746191,6568.36616751,0.0,2231.43610501,334.647550124,0.0,334.158381461,668.323089667,501.276796642,334.417348941,335.170675861,333.409156753,334.441654421,0.0,0.0,0.0,501.074467296,333.498352697,335.153824784,0.0,666.696843263,0.0,2916.32209345,0.0,335.153824784,0.0,1895.34136263,334.344518838,0.0,334.05748823,891.170635378,0.0,334.491042071,1448.00025062,0.0,2672.14129436,1564.5486576,334.518503614,333.338366209,0.0,668.430446025,0.0,2781.699676,0.0,333.107883418,334.316255426,0.0,0.0,1002.64566904,0.0,502.141828071,0.0,501.571398834,0.0,333.481560265,0.0
2009-10-25,9.673560075,0.039644012945,0.042071197411,0.0720064724919,0.0,1631.02499406,325.452372624,976.846415115,1136.25166027,1136.25166027,0.0,541.983820086,0.0,0.0,0.0,0.0,0.0,325.4194359,0.0,5323.69080786,541.624190967,0.0,0.0,976.846415115,322.790804328,322.693490247,1194.98948612,6725.99548004,0.0,3154.36787433,323.473649788,0.0,325.076587262,542.441801874,650.903837241,0.0,324.257590776,0.0,0.0,490.097764032,0.0,0.0,322.985608675,653.001127188,0.0,0.0,541.886275128,0.0,3715.44373797,0.0,0.0,0.0,1301.00463548,326.798664838,0.0,325.91167574,977.470106979,325.4194359,0.0,1845.16569599,0.0,2823.03524672,870.721100978,542.05028454,0.0,0.0,0.0,0.0,2711.22663951,0.0,0.0,646.947299577,0.0,0.0,644.998076017,326.86578132,325.909968664,326.9943636,654.187471885,326.008252732,322.790804328,0.0
2009-11-01,7.686567164,0.0302648171501,0.0353089533417,0.0479192938209,0.0,899.993407809,0.0,337.845112595,449.437079418,449.437079418,335.903306407,504.081907381,0.0,0.0,0.0,0.0,0.0,334.322176637,0.0,3828.95798715,507.200738458,0.0,338.209926049,337.845112595,0.0,0.0,900.607227183,6859.62160275,0.0,563.164612388,0.0,0.0,337.30661809,508.11970424,338.60324321,336.550991148,680.694069052,0.0,337.313871918,337.394471134,0.0,0.0,0.0,675.603412928,0.0,339.02933229,562.042893279,0.0,2605.60501793,0.0,0.0,338.92668944,1463.60292567,0.0,339.011937529,673.773611328,1237.94594988,334.322176637,0.0,1688.23061023,0.0,2250.55008975,902.037654191,0.0,338.501223552,0.0,0.0,0.0,1911.1330624,0.0,0.0,338.414406052,0.0,0.0,0.0,340.759951765,678.554168685,671.880381603,0.0,0.0,0.0,0.0
2009-11-08,5.424769703,0.0279411764706,0.0301470588235,0.0433823529412,0.0,867.283209624,0.0,0.0,324.288132437,324.288132437,0.0,649.43325684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2496.26511874,0.0,0.0,323.399543433,0.0,325.675600717,0.0,759.834170893,7042.67761335,0.0,868.497030815,326.16602766,0.0,651.938016024,325.141350998,0.0,325.183303865,324.875611366,0.0,325.501730126,0.0,0.0,327.154599812,326.660109788,652.137382727,326.363285615,0.0,651.938016024,0.0,1092.16720667,326.167112339,325.317686233,324.434841771,1960.60202663,0.0,0.0,0.0,542.207674465,0.0,0.0,1192.88242693,0.0,1193.14681642,651.028713548,326.857726309,432.563964284,0.0,0.0,651.938016024,1407.56216171,326.857475932,0.0,0.0,0.0,326.857475932,541.326333969,327.353165159,646.019106055,650.562619366,326.363285615,0.0,325.675600717,0.0
2009-11-15,4.043486553,0.0221586847748,0.0257326661901,0.0278770550393,0.0,751.93629767,322.842517693,0.0,322.452728961,322.452728961,0.0,959.043188439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.26758441,0.0,0.0,641.100572493,0.0,322.161004538,0.0,537.498038741,5371.1658954,0.0,320.841078765,0.0,0.0,321.352751402,484.625527778,0.0,320.841078765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.584773336,0.0,1190.28404687,0.0,323.123071674,0.0,860.035224993,0.0,0.0,323.45718224,961.650858739,0.0,0.0,1397.04151959,0.0,1075.18920342,968.36988646,321.772858749,0.0,0.0,0.0,0.0,429.367890776,0.0,322.258187345,322.842517693,0.0,0.0,481.642248139,0.0,320.6471585,0.0,0.0,0.0,322.161004538,0.0
2009-11-22,5.761663856,0.0135256988278,0.0198376916141,0.0333633904418,0.0,784.860378906,0.0,781.026940141,394.222782795,394.222782795,0.0,393.39932938,0.0,391.930941831,0.0,0.0,0.0,0.0,0.0,1574.04050234,394.222782795,0.0,0.0,781.026940141,0.0,0.0,394.341703695,6418.05529695,0.0,920.222280641,394.937386027,0.0,394.222782795,392.489325729,394.937386027,0.0,0.0,0.0,394.698897267,0.0,0.0,395.415229204,0.0,0.0,0.0,0.0,784.920643942,0.0,527.764201374,0.0,0.0,0.0,656.404095113,0.0,0.0,0.0,0.0,0.0,0.0,591.078915956,0.0,1182.39966315,787.195439668,392.194894004,392.578568528,0.0,0.0,0.0,1183.02511109,0.0,392.460321971,0.0,0.0,0.0,390.395810091,0.0,393.669734157,0.0,0.0,0.0,0.0,0.0
2009-11-29,3.677085074,0.00714711137582,0.0131030375223,0.0178677784395,0.0,1154.54694518,0.0,315.088586617,314.153783824,314.153783824,0.0,943.844072528,0.0,0.0,0.0,0.0,0.0,315.589198468,0.0,1681.07093317,0.0,0.0,0.0,315.088586617,0.0,0.0,314.272321303,8287.1171437,0.0,947.593559595,316.352182327,0.0,315.06348114,629.387495407,0.0,316.591061655,315.009489829,0.0,313.866942633,0.0,0.0,315.114199675,313.487417914,419.223959607,0.0,0.0,316.161090703,0.0,739.604215315,0.0,315.630874036,0.0,1103.17272081,0.0,0.0,312.072337785,629.209095027,315.589198468,0.0,1364.93385683,0.0,628.782908216,475.06831939,471.693278539,0.0,314.589130823,0.0,0.0,419.507195969,0.0,0.0,316.352182327,0.0,0.0,626.843489989,314.152189779,525.641163739,314.604705596,0.0,0.0,0.0,0.0
2009-12-06,3.157650337,0.00654704170708,0.00945683802134,0.0184287099903,0.0,1103.06991515,0.0,313.617360971,315.737220733,315.737220733,0.0,838.5863579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,945.670518283,0.0,0.0,0.0,313.617360971,0.0,0.0,315.236268222,10490.6321952,0.0,946.784995725,628.9407094,0.0,0.0,630.092045454,313.617360971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.261856052,0.0,739.677215801,0.0,629.543590976,0.0,1051.58828219,0.0,0.0,0.0,473.330432016,0.0,0.0,1259.79401174,0.0,734.987677365,315.024199289,316.118545879,0.0,315.119545596,0.0,0.0,1260.16844772,316.118545879,0.0,0.0,0.0,316.118545879,314.882593669,0.0,787.735534105,0.0,0.0,0.0,0.0,0.0
