Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.939,0.905,0.86,0.53,,0.899,0.92,0.901
ARGO,,,0.966,0.923,0.893,0.758,,0.905,0.916,0.927
ARGO_top10,,,0.949,0.912,0.905,0.658,,0.902,0.915,0.922
ARGO_all_weighted1,,,0.95,0.929,0.885,0.481,,0.881,0.903,0.922
ARGO_all_weighted2,,,0.945,0.895,0.892,0.602,,0.898,0.914,0.911
ARGO_all_weighted_more_ar,,,0.948,0.903,0.882,0.586,,0.894,0.911,0.911
ARGO_top10_weighted1,,,0.938,0.891,0.884,0.5,,0.871,0.891,0.904
ARGO_top10_weighted2,,,0.944,0.898,0.892,0.62,,0.899,0.915,0.912
ARGO_top10_weighted_more_ar,,,0.948,0.903,0.882,0.6,,0.894,0.911,0.911
ARGO_ath_weight,,,0.946,0.924,0.874,0.726,,0.878,0.894,0.915
ARGO_ath_deweight,,,0.986,0.923,0.891,0.672,,0.912,0.925,0.933
ARGO_obs_weight,,,0.965,0.918,0.89,0.794,,0.909,0.917,0.924
ARGO_top10_obs,,,0.954,0.912,0.909,0.76,,0.913,0.923,0.925
ARGO_top10_weighted2_obs,,,0.945,0.898,0.889,0.743,,0.906,0.917,0.911
GFT,,,0.913,0.949,0.968,,,0.719,0.719,0.943
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.656,0.989,1.382,1.136,,0.926,0.894,1.009
ARGO,,,0.98,0.954,1.255,0.907,,0.905,0.921,1.063
ARGO_top10,,,1.083,1.012,1.177,0.944,,0.919,0.929,1.091
ARGO_all_weighted1,,,1.352,0.968,1.261,1.129,,1.034,1.032,1.194
ARGO_all_weighted2,,,1.004,1.068,1.23,1.01,,0.937,0.939,1.101
ARGO_all_weighted_more_ar,,,1.07,1.057,1.274,1.023,,0.961,0.967,1.134
ARGO_top10_weighted1,,,1.395,1.176,1.273,1.122,,1.08,1.091,1.281
ARGO_top10_weighted2,,,0.989,1.074,1.228,0.996,,0.932,0.935,1.097
ARGO_top10_weighted_more_ar,,,1.067,1.066,1.274,1.019,,0.961,0.967,1.136
ARGO_ath_weight,,,1.379,0.974,1.316,1.051,,1.043,1.065,1.223
ARGO_ath_deweight,,,0.72,0.958,1.27,0.925,,0.866,0.867,0.982
ARGO_obs_weight,,,0.913,0.978,1.259,0.839,,0.884,0.911,1.05
ARGO_top10_obs,,,0.979,0.986,1.142,0.844,,0.865,0.884,1.036
ARGO_top10_weighted2_obs,,,0.905,1.068,1.249,0.887,,0.899,0.919,1.074
GFT,,,7.038,0.937,0.873,,,3.454,3.454,2.949
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.428,0.262,0.361,0.516,,0.525,0.51,0.35
ARGO,,,0.528,0.247,0.359,0.34,,0.603,0.618,0.378
ARGO_top10,,,0.505,0.234,0.35,0.373,,0.566,0.575,0.363
ARGO_all_weighted1,,,0.788,0.312,0.377,0.412,,0.729,0.749,0.492
ARGO_all_weighted2,,,0.54,0.243,0.238,0.395,,0.569,0.562,0.34
ARGO_all_weighted_more_ar,,,0.502,0.252,0.295,0.387,,0.577,0.578,0.349
ARGO_top10_weighted1,,,0.771,0.298,0.336,0.394,,0.776,0.821,0.468
ARGO_top10_weighted2,,,0.535,0.253,0.244,0.376,,0.59,0.582,0.344
ARGO_top10_weighted_more_ar,,,0.51,0.255,0.294,0.377,,0.592,0.587,0.353
ARGO_ath_weight,,,0.855,0.334,0.377,0.387,,0.808,0.895,0.522
ARGO_ath_deweight,,,0.506,0.247,0.386,0.396,,0.6,0.605,0.379
ARGO_obs_weight,,,0.51,0.254,0.356,0.317,,0.587,0.607,0.373
ARGO_top10_obs,,,0.499,0.233,0.316,0.329,,0.549,0.551,0.349
ARGO_top10_weighted2_obs,,,0.529,0.243,0.226,0.33,,0.539,0.529,0.333
GFT,,,3.467,0.26,0.178,,,1.378,1.378,1.302
