Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.913,0.949,0.968,,,0.719,0.719,0.943
AR52,,,0.939,0.905,0.86,0.53,,0.899,0.92,0.901
ARGO,,,0.986,0.923,0.891,0.672,,0.912,0.925,0.933
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,7.038,0.937,0.873,,,3.454,3.454,2.949
AR52,,,0.656,0.989,1.382,1.136,,0.926,0.894,1.009
ARGO,,,0.72,0.958,1.27,0.925,,0.866,0.867,0.982
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,3.467,0.26,0.178,,,1.378,1.378,1.302
AR52,,,0.428,0.262,0.361,0.516,,0.525,0.51,0.35
ARGO,,,0.506,0.247,0.386,0.396,,0.6,0.605,0.379
