Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.968,,,0.974,0.974,0.974
AR52,0.86,0.53,,0.861,0.893,0.861
ARGO(gt),0.891,0.672,,0.893,0.913,0.893
"ARGO(gt,ath)",0.928,0.481,,0.9,0.94,0.9
Net,0.906,0.875,,0.926,0.927,0.926
ARGONet,0.909,0.875,,0.928,0.929,0.928
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.873,,,0.77,0.77,0.77
AR52,1.382,1.136,,1.125,1.195,1.125
ARGO(gt),1.27,0.925,,1.008,1.115,1.008
"ARGO(gt,ath)",1.062,1.13,,0.991,0.944,0.991
Net,1.168,0.585,,0.829,1.012,0.829
ARGONet,1.151,0.584,,0.824,1.005,0.824
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.178,,,0.402,0.402,0.402
AR52,0.361,0.516,,0.521,0.472,0.521
ARGO(gt),0.386,0.396,,0.547,0.517,0.547
"ARGO(gt,ath)",0.299,0.411,,0.574,0.499,0.574
Net,0.196,0.283,,0.308,0.26,0.308
ARGONet,0.221,0.282,,0.341,0.322,0.341
