Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.89,0.902,0.955,0.91,0.898,0.942,0.933,0.916
ARGO,,,0.94,0.948,0.944,0.934,0.893,0.95,0.952,0.944
ARGO_top10,,,0.942,0.939,0.956,0.929,0.894,0.95,0.955,0.946
ARGO_all_weighted1,,,0.95,0.937,0.93,0.941,0.852,0.937,0.945,0.939
ARGO_all_weighted2,,,0.945,0.943,0.957,0.929,0.89,0.953,0.956,0.948
ARGO_all_weighted_more_ar,,,0.937,0.939,0.956,0.935,0.892,0.949,0.95,0.944
ARGO_top10_weighted1,,,0.95,0.941,0.948,0.939,0.843,0.938,0.949,0.946
ARGO_top10_weighted2,,,0.948,0.945,0.961,0.928,0.896,0.953,0.957,0.951
ARGO_top10_weighted_more_ar,,,0.94,0.939,0.959,0.935,0.895,0.95,0.951,0.946
ARGO_ath_weight,,,0.962,0.937,0.928,0.942,0.881,0.945,0.953,0.943
ARGO_ath_deweight,,,0.919,0.942,0.942,0.928,0.893,0.947,0.946,0.934
ARGO_obs_weight,,,0.946,0.948,0.943,0.935,0.886,0.951,0.955,0.946
ARGO_top10_obs,,,0.942,0.939,0.955,0.93,0.895,0.952,0.955,0.945
ARGO_top10_weighted2_obs,,,0.949,0.946,0.961,0.932,0.896,0.955,0.959,0.952
GFT,,,0.951,0.913,0.913,,,0.847,0.847,0.926
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.502,0.258,0.258,0.509,0.367,0.353,0.302,0.339
ARGO,,,0.371,0.214,0.271,0.495,0.408,0.332,0.257,0.285
ARGO_top10,,,0.366,0.231,0.257,0.497,0.392,0.334,0.251,0.285
ARGO_all_weighted1,,,0.348,0.312,0.308,0.547,0.441,0.367,0.279,0.323
ARGO_all_weighted2,,,0.36,0.237,0.253,0.488,0.378,0.32,0.247,0.283
ARGO_all_weighted_more_ar,,,0.397,0.252,0.251,0.492,0.374,0.331,0.265,0.3
ARGO_top10_weighted1,,,0.35,0.292,0.289,0.56,0.448,0.366,0.267,0.31
ARGO_top10_weighted2,,,0.349,0.244,0.254,0.495,0.368,0.318,0.243,0.282
ARGO_top10_weighted_more_ar,,,0.387,0.254,0.255,0.494,0.37,0.329,0.262,0.299
ARGO_ath_weight,,,0.302,0.263,0.322,0.542,0.421,0.349,0.256,0.296
ARGO_ath_deweight,,,0.428,0.206,0.277,0.511,0.407,0.343,0.272,0.304
ARGO_obs_weight,,,0.354,0.211,0.273,0.482,0.406,0.326,0.25,0.279
ARGO_top10_obs,,,0.37,0.229,0.255,0.492,0.383,0.324,0.25,0.285
ARGO_top10_weighted2_obs,,,0.346,0.238,0.248,0.482,0.37,0.313,0.239,0.277
GFT,,,0.999,0.396,0.524,,,0.567,0.567,0.64
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.166,0.122,0.117,0.14,0.144,0.163,0.14,0.135
ARGO,,,0.147,0.114,0.126,0.17,0.128,0.166,0.142,0.129
ARGO_top10,,,0.142,0.115,0.098,0.161,0.134,0.159,0.126,0.118
ARGO_all_weighted1,,,0.153,0.141,0.134,0.208,0.174,0.195,0.15,0.143
ARGO_all_weighted2,,,0.158,0.119,0.104,0.157,0.14,0.158,0.129,0.127
ARGO_all_weighted_more_ar,,,0.174,0.123,0.105,0.164,0.148,0.176,0.147,0.134
ARGO_top10_weighted1,,,0.168,0.134,0.114,0.218,0.172,0.192,0.14,0.139
ARGO_top10_weighted2,,,0.155,0.121,0.098,0.16,0.138,0.156,0.125,0.124
ARGO_top10_weighted_more_ar,,,0.172,0.132,0.094,0.165,0.146,0.169,0.137,0.132
ARGO_ath_weight,,,0.133,0.13,0.15,0.202,0.143,0.182,0.142,0.138
ARGO_ath_deweight,,,0.16,0.109,0.139,0.161,0.127,0.167,0.145,0.136
ARGO_obs_weight,,,0.143,0.111,0.122,0.16,0.129,0.164,0.141,0.125
ARGO_top10_obs,,,0.139,0.111,0.103,0.16,0.135,0.155,0.122,0.118
ARGO_top10_weighted2_obs,,,0.146,0.12,0.097,0.159,0.141,0.153,0.121,0.121
GFT,,,0.296,0.208,0.169,,,0.197,0.197,0.224
