Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.951,0.913,0.913,,,0.847,0.847,0.926
AR52,,,0.89,0.902,0.955,0.91,0.898,0.942,0.933,0.916
ARGO,,,0.949,0.946,0.961,0.932,0.896,0.955,0.959,0.952
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.999,0.396,0.524,,,0.567,0.567,0.64
AR52,,,0.502,0.258,0.258,0.509,0.367,0.353,0.302,0.339
ARGO,,,0.346,0.238,0.248,0.482,0.37,0.313,0.239,0.277
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.296,0.208,0.169,,,0.197,0.197,0.224
AR52,,,0.166,0.122,0.117,0.14,0.144,0.163,0.14,0.135
ARGO,,,0.146,0.12,0.097,0.159,0.141,0.153,0.121,0.121
