Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.913,,,0.931,0.931,0.931
AR52,0.955,0.91,0.898,0.944,0.965,0.921
ARGO(gt),0.947,0.929,0.9,0.946,0.96,0.923
"ARGO(gt,ath)",0.961,0.932,0.896,0.949,0.97,0.922
Net,0.963,0.903,0.887,0.939,0.972,0.913
ARGONet,0.96,0.93,0.896,0.949,0.969,0.923
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.524,,,0.455,0.455,0.455
AR52,0.258,0.509,0.367,0.369,0.229,0.368
ARGO(gt),0.266,0.505,0.403,0.377,0.235,0.39
"ARGO(gt,ath)",0.248,0.482,0.37,0.355,0.217,0.362
Net,0.221,0.569,0.392,0.387,0.196,0.389
ARGONet,0.229,0.487,0.373,0.355,0.204,0.364
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.169,,,0.16,0.16,0.16
AR52,0.117,0.14,0.144,0.174,0.119,0.159
ARGO(gt),0.137,0.159,0.125,0.178,0.132,0.151
"ARGO(gt,ath)",0.097,0.159,0.141,0.17,0.1,0.155
Net,0.101,0.172,0.145,0.172,0.103,0.159
ARGONet,0.105,0.158,0.141,0.168,0.111,0.155
