Week,DE,athena_flu,athena_ILI,athena_viral,strep,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,flu symptoms,cold and flu,symptoms of flu,cold,flu shots,body temperature,robitussin,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,rsv baby,flu shot,rsv infection,rsv,pneumonia,bronchitis,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,cold symptoms,symptoms of the flu,what is rsv
2009-10-04,4.177718833,0.0022727273,0.0045454545,0.0090909091,1913.80834325,0,0,0,965.040617662,0,0,3517.35520908,0,959.311624167,6712.66928715,1597.3696147,1911.88101652,955.94050826,0,0,0,0,0,0,4173.85824303,0,0,957.998942939,1913.55621206,1921.9103441,956.273078624,953.058565214,0,0,0,3206.43590913,1913.80834325,0,2869.55696897,966.487243964,0
2009-10-11,6.565014824,0.0051546392,0.0051546392,0.0128865979,969.516499507,964.891921856,964.891921856,0,978.013178069,0,0,4197.85270494,966.639386852,1940.02713835,4840.88719335,3226.18919108,0,976.53447656,0,0,0,0,0,0,2592.64020987,0,0,0,0,969.134338235,2583.54177943,967.223282585,0,0,0,2590.08965701,0,0,969.121340461,0,0
2009-10-18,12.44364292,0.0227790433,0.0250569476,0.0637813212,2548.50222625,957.227434299,957.227434299,942.474379272,1436.84529616,0,0,9254.27509171,965.564849996,2558.71780933,9570.04219526,1594.54262988,961.073107981,0,1931.12969999,0,961.653290962,0,0,0,4165.54547934,0,0,1593.29625471,1595.79677003,957.901916045,4468.33924043,0,0,0,0,5121.59332493,964.693401575,0,963.689459455,0,0
2009-10-25,9.708042271,0.0243902439,0.0341463415,0.043902439,1893.20135469,945.984326648,945.984326648,1424.91081212,959.700995047,0,0,9168.68500765,0,1431.28767878,7584.96401366,2844.11200504,951.49728608,954.864703531,0,0,939.959638797,0,0,0,5395.70343927,0,0,1578.47817023,1419.90127203,952.648174845,3478.36306602,0,0,0,0,2853.29444488,948.632193379,0,956.798088226,948.744682192,0
2009-11-01,6.373462542,0.0140449438,0.0196629213,0.0308988764,934.706831151,938.380104671,938.380104671,935.551954868,943.506882752,0,0,7558.91315507,0,2853.22299703,10073.8924463,1573.97804999,949.923955164,0,0,0,0,0,0,0,3331.05676174,0,0,947.349626149,2370.08618979,1576.26179858,3151.0920334,0,0,0,0,3157.29000201,934.706831151,0,959.639638382,950.353307529,0
2009-11-08,5.004314064,0.0197183099,0.0197183099,0.0253521127,1402.5532469,2786.71635,2786.71635,0,1413.62069537,0,0,2491.1711586,0,932.842681699,4670.44067348,1867.74535629,936.953960353,0,942.543944351,0,0,0,0,0,4381.75940622,0,0,1400.86596479,1246.19978512,1869.95606086,2491.45387581,0,0,0,0,3125.16264395,0,0,934.912502004,0,0
2009-11-15,2.862254025,0.0053475936,0.0053475936,0.0080213904,935.016493095,946.369684119,946.369684119,0,0,0,0,2506.05792391,0,941.608524874,8454.38725186,940.683225273,942.245029551,0,0,0,0,0,0,0,2517.16667639,0,0,1875.27881993,936.56861394,1566.63137031,3134.29830749,934.221355204,0,0,0,2829.70942369,0,0,0,0,0
2009-11-22,1.34430727,0.0040983607,0.0040983607,0.012295082,1149.45204934,0,0,1150.4913369,1160.31636433,0,0,2308.81037128,1147.13696848,0,6141.3497296,0,0,1156.06609808,0,0,0,0,0,0,1156.71562055,0,1151.41412426,2302.56095975,1151.9733962,1151.06993564,2305.15112068,0,0,0,0,0,0,0,0,0,0
2009-11-29,0.716763006,0.012539185,0.012539185,0.012539185,917.015580397,0,0,924.00754771,931.02248506,0,0,1837.27591561,0,1369.8685398,6718.05059018,0,925.961052039,928.484870776,0,0,0,915.560545059,0,0,1844.58856774,0,0,911.693924356,910.391634645,1222.15347781,925.681474427,0,0,0,0,1531.38681751,0,0,0,0,0
2009-12-06,1.302844988,0,0,0.0027100271,1855.57110478,0,0,0,941.161014921,917.530671779,0,916.782938956,0,0,10763.4000461,912.27499413,922.162809044,0,0,0,0,0,0,0,921.091212329,0,0,1842.74858961,2293.68785946,1848.09265224,925.130484697,0,1821.25558563,0,0,938.598095365,0,0,1876.62837579,0,0
2009-12-13,1.260151218,0.0055555556,0.0055555556,0.0083333333,932.082978337,0,0,962.780189531,0,0,0,1422.28413207,0,0,7279.57294434,932.363726222,933.770006352,0,935.463152329,0,0,0,0,0,956.651742132,0,935.745940464,930.961675506,965.398811987,2849.43820711,949.477938391,0,951.747315227,0,0,953.472536946,949.45670797,0,0,934.89808851,0
2009-12-20,1.220752798,0,0.004,0.004,1339.76752558,0,0,0,0,0,0,1343.05447389,0,0,4492.87410235,0,0,0,0,1356.21368295,0,0,0,0,0,0,1345.03263375,1339.41913848,1345.89562872,1350.38211876,1343.81393913,0,0,0,0,1360.72073749,0,0,0,0,1344.21992521
2009-12-27,1.095732411,0,0,0.0052083333,1333.22315639,0,0,0,1334.84994483,0,0,1343.775831,0,0,7107.10422089,0,0,0,0,0,0,1349.06468531,0,0,2667.09790294,0,1330.00768385,1323.20764456,1346.61851181,2223.99218968,1335.79456023,0,0,0,0,2662.42990509,0,0,1331.12798514,0,0
2010-01-03,0.674036128,0,0,0,955.156644565,0,0,0,980.570385427,0,0,940.361092995,0,0,7649.02387896,0,1958.17563513,0,0,0,0,980.867437953,0,0,0,0,1895.41286717,0,1954.03947657,1595.06837638,941.496794798,976.136090649,976.430462208,0,0,949.715677354,0,0,0,0,0
2010-01-10,0.374006545,0.0052219321,0.0078328982,0.0104438642,969.673275927,0,0,0,0,0,0,951.862251348,0,972.609010943,7979.25098959,960.253713954,953.012851013,955.610402697,0,0,0,0,0,0,1947.57657663,0,0,1423.92867314,953.588863616,1596.98997232,952.725105587,950.143194732,0,0,0,0,0,0,0,0,0
2010-01-17,0.828105395,0.0028735632,0.0028735632,0.0028735632,1952.71194481,0,0,0,976.90203081,0,0,1459.30714871,0,974.46435915,6178.16182885,0,973.285690436,973.285690436,969.182709507,0,970.644082712,0,0,0,981.894003395,0,0,1622.28056583,1969.27010585,1301.35033252,972.480318519,970.351455614,0,981.668391119,0,0,0,0,0,0,0
2010-01-24,0.290979631,0,0,0,2133.04965159,0,0,0,1395.10861516,0,0,899.713470909,0,0,5185.82584998,0,0,0,0,0,0,930.74609442,0,0,927.821011218,0,1222.51514092,0,0,925.856474327,0,0,925.144252143,0,0,0,0,0,931.87461348,0,0
2010-01-31,0.3339327,0.0035587189,0.0035587189,0.0071174377,876.966525396,0,0,878.823381318,0,0,0,891.334862716,0,0,8018.96415565,0,878.557634907,0,0,0,0,0,0,0,0,0,0,1778.73676333,890.34800578,2657.45372767,0,875.908983611,900.593754541,0,0,0,0,0,0,0,0
2010-02-07,0.14179369,0,0,0,968.17697059,0,0,0,962.632373387,0,0,1893.62838306,0,0,6677.899358,0,0,947.767610276,0,0,0,973.453139368,0,0,0,0,960.116485687,2390.99220498,958.561421971,1907.70102711,970.807886271,0,0,0,0,946.908606399,0,0,0,0,948.53047103
