Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.927,0.702,0.81,0.623,0.692,0.887,0.875,0.813
ARGO,,,0.96,0.766,0.776,0.845,0.829,0.901,0.886,0.834
ARGO_top10,,,0.961,0.771,0.771,0.852,0.833,0.906,0.891,0.834
ARGO_all_weighted1,,,0.944,0.773,0.793,0.74,0.835,0.888,0.879,0.837
ARGO_all_weighted2,,,0.956,0.764,0.807,0.847,0.852,0.91,0.897,0.842
ARGO_all_weighted_more_ar,,,0.958,0.742,0.816,0.843,0.844,0.911,0.898,0.839
ARGO_top10_weighted1,,,0.944,0.769,0.774,0.824,0.837,0.89,0.875,0.829
ARGO_top10_weighted2,,,0.955,0.769,0.808,0.848,0.838,0.911,0.897,0.844
ARGO_top10_weighted_more_ar,,,0.957,0.732,0.815,0.842,0.841,0.91,0.897,0.835
ARGO_obs_weight,,,0.961,0.767,0.789,0.799,0.812,0.905,0.894,0.839
ARGO_top10_obs,,,0.961,0.774,0.791,0.859,0.816,0.912,0.899,0.842
ARGO_top10_weighted2_obs,,,0.961,0.757,0.827,0.861,0.823,0.916,0.904,0.848
GFT,,,0.938,0.623,0.712,,,0.766,0.766,0.758
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.665,0.667,0.602,0.352,0.186,0.518,0.629,0.645
ARGO,,,0.57,0.678,0.74,0.259,0.224,0.526,0.649,0.662
ARGO_top10,,,0.574,0.63,0.746,0.252,0.224,0.516,0.638,0.65
ARGO_all_weighted1,,,0.725,0.671,0.776,0.447,0.291,0.599,0.709,0.724
ARGO_all_weighted2,,,0.615,0.644,0.683,0.263,0.218,0.513,0.632,0.648
ARGO_all_weighted_more_ar,,,0.594,0.692,0.657,0.274,0.211,0.514,0.632,0.648
ARGO_top10_weighted1,,,0.724,0.672,0.818,0.344,0.29,0.594,0.722,0.738
ARGO_top10_weighted2,,,0.634,0.626,0.684,0.261,0.225,0.513,0.632,0.648
ARGO_top10_weighted_more_ar,,,0.611,0.698,0.662,0.275,0.213,0.521,0.641,0.657
ARGO_obs_weight,,,0.586,0.663,0.686,0.317,0.204,0.518,0.632,0.645
ARGO_top10_obs,,,0.59,0.631,0.679,0.249,0.2,0.5,0.619,0.633
ARGO_top10_weighted2_obs,,,0.589,0.646,0.637,0.251,0.196,0.492,0.608,0.624
GFT,,,0.709,1.186,0.733,,,0.883,0.883,0.876
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.486,0.889,2.346,1.26,1.978,1.363,1.193,1.24
ARGO,,,1.162,1.068,3.396,1.195,2.155,1.764,1.824,1.875
ARGO_top10,,,0.834,0.78,3.604,1.146,1.992,1.657,1.716,1.739
ARGO_all_weighted1,,,0.738,0.942,3.547,1.99,1.947,1.839,1.752,1.742
ARGO_all_weighted2,,,0.693,0.895,2.409,1.092,1.734,1.349,1.307,1.332
ARGO_all_weighted_more_ar,,,0.611,0.954,2.448,1.19,1.97,1.413,1.302,1.338
ARGO_top10_weighted1,,,0.726,0.769,3.674,1.386,2.023,1.707,1.709,1.723
ARGO_top10_weighted2,,,0.655,0.811,2.492,1.094,1.927,1.38,1.293,1.319
ARGO_top10_weighted_more_ar,,,0.625,0.896,2.536,1.193,1.949,1.412,1.306,1.352
ARGO_obs_weight,,,0.662,1.102,2.775,1.353,2.14,1.604,1.509,1.513
ARGO_top10_obs,,,0.623,0.865,3.229,1.031,2.128,1.566,1.557,1.572
ARGO_top10_weighted2_obs,,,0.64,0.893,2.342,0.97,2.128,1.377,1.263,1.292
GFT,,,1.072,1.068,2.747,,,1.59,1.59,1.629
