Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.938,0.623,0.712,,,0.766,0.766,0.758
AR52,,,0.927,0.702,0.81,0.623,0.692,0.887,0.875,0.813
ARGO,,,0.961,0.757,0.827,0.861,0.823,0.916,0.904,0.848
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.709,1.186,0.733,,,0.883,0.883,0.876
AR52,,,0.665,0.667,0.602,0.352,0.186,0.518,0.629,0.645
ARGO,,,0.589,0.646,0.637,0.251,0.196,0.492,0.608,0.624
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.072,1.068,2.747,,,1.59,1.59,1.629
AR52,,,0.486,0.889,2.346,1.26,1.978,1.363,1.193,1.24
ARGO,,,0.64,0.893,2.342,0.97,2.128,1.377,1.263,1.292
