Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.712,,,0.712,0.712,0.712
AR52,0.81,0.623,0.692,0.795,0.81,0.743
ARGO(gt),0.869,0.7,0.785,0.847,0.869,0.816
"ARGO(gt,ath)",0.827,0.861,0.823,0.845,0.827,0.834
Net,0.895,0.762,0.441,0.857,0.895,0.649
ARGONet,0.841,0.84,0.614,0.843,0.841,0.729
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.733,,,0.733,0.733,0.733
AR52,0.602,0.352,0.186,0.412,0.602,0.299
ARGO(gt),0.544,0.335,0.172,0.378,0.544,0.275
"ARGO(gt,ath)",0.637,0.251,0.196,0.405,0.637,0.3
Net,0.553,0.367,0.304,0.418,0.553,0.361
ARGONet,0.614,0.271,0.23,0.404,0.614,0.317
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,2.747,,,2.747,2.747,2.747
AR52,2.346,1.26,1.978,1.851,2.346,1.914
ARGO(gt),2.403,1.385,1.78,1.844,2.403,1.812
"ARGO(gt,ath)",2.342,0.97,2.128,1.802,2.342,1.965
Net,3.216,1.403,3.496,2.694,3.216,3.095
ARGONet,2.399,1.097,2.693,2.056,2.399,2.374
