Week,GA,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how to reduce fever,braun thermoscan,sinus infections,how long flu,upper respiratory,strep throat,generic tamiflu,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,can dogs get the flu from humans,rsv symptoms in adults,tylenol sinus,flu in children,how long does it take to get over the flu,over the counter flu,how to treat flu,medicine for the flu,contagious flu,flu care,flu or cold,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,signs of rsv,oscillococcinum,type a influenza,flu symptoms,flu incubation,how to get over the flu,cold and flu,acute bronchitis,fever flu,what is flu a,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,dangerous fever,do i have the flu,how to cure the flu,rsv contagious,flu treatment,body temperature,biaxin side effects,flu incubation period,flu test,symptoms of bronchitis,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,oscillo,how to treat the flu,break a fever,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,type b flu symptoms,flu virus,is tamiflu an antibiotic,rsv baby,flu shot,chest cold,remedies for flu,rsv infection,flu like symptoms,flu contagious,flu while pregnant,is the flu contagious,type a flu symptoms,flu contagious period,incubation period for the flu,flu cough,what is influenza,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,tamiflu generic,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,tamiflu and alcohol,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,when is the flu no longer contagious,rsv symptoms,flu symptoms in toddlers,oseltamivir,how long is flu contagious,home remedies for flu,flu a and b,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,cure flu,how to get rid of flu,normal body,flu medicine,cold symptoms,flu type,what is type a flu,stomach flu symptoms,how long does rsv last,how long is rsv contagious,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2009-10-04,5.756566778,0.0230617423175,0.0324217648717,0.0419509444601,0.0,0.0,47.3270442616,0.0,46.2268422282,0.0,751.480110772,62.2863096095,202.190008939,326.786091728,0.0,47.0847069868,124.591656573,326.786091728,77.8191084421,436.367066791,46.9584436499,0.0,94.4539137137,109.100936154,46.0325534887,186.84017212,46.7882529752,140.123786728,94.0308986956,46.3246029218,0.0,0.0,46.2826548962,140.501011135,0.0,0.0,46.904561832,0.0,93.4929350334,77.823801146,46.0325534887,0.0,0.0,46.3386024996,69.9879995389,0.0,69.9953810204,46.6305883299,4233.58756388,171.143099836,0.0,62.2440412259,47.3844277648,202.190008939,77.9272647321,0.0,140.616345107,163.848223194,93.6613697708,1088.82164425,5353.02765276,0.0,46.2547317258,281.266864328,46.7644930258,94.482458263,953.88923727,46.6305883299,93.4929095245,0.0,233.627002601,0.0,0.0,70.3437514265,0.0,0.0,156.649093009,296.430540183,47.2555100351,234.182406913,164.385506917,92.6212236007,78.2011230358,0.0,62.3099122121,46.1850709852,186.930551268,0.0,0.0,46.4990802453,93.4225414467,69.9953810204,124.864674903,46.701791845,46.8165323666,124.530526809,124.427094281,70.0623706919,78.0214537846,47.39879539,0.0,202.589468118,0.0,0.0,1586.71688371,46.7741260873,0.0,0.0,46.4782903618,93.4929350334,46.7346804319,46.9782588164,47.2984045979,0.0,0.0,70.3647131539,47.2840977605,109.588761834,46.1294932825,934.734942919,0.0,46.745897888,46.9584436499,0.0,140.194641722,46.4509044747,451.298163197,0.0,69.9879995389,62.2440412259,1325.14945442,46.7998127369,1843.33973705,621.981425136,46.9215987081,187.637975049,46.7535136518,0.0,46.7317965614,47.5284971712,46.6754762281,70.4212920608,0.0,0.0,1820.00686455,93.8219669482,124.483460502,70.280004251,124.483460502,46.6052664263,93.8219669482,47.2269568568,46.8873806298,117.512999249,77.988437231,124.441268421,155.718038157,0.0,46.7300047537,0.0,0.0,46.2966291277,250.306302889,47.0563597821,0.0,0.0,140.616345107,0.0,141.852293281
2009-10-11,5.05170019,0.0134170217667,0.0206725786019,0.0284463894967,46.7208469378,46.2005905451,46.3119843741,0.0,0.0,46.7856729103,624.531748997,77.6623231221,170.623053725,325.99435743,46.9362589446,46.8514343802,93.091857371,325.99435743,77.6107514198,388.518815018,0.0,0.0,46.7349705415,77.6810651793,46.26233306,372.502780881,0.0,124.217482932,0.0,77.7843646246,46.2840855883,0.0,46.8373267517,171.242370299,0.0,0.0,69.9047784514,0.0,108.774106927,93.3625290712,46.26233306,0.0,0.0,0.0,92.6798336267,0.0,70.0907010184,46.3598660781,4003.8329063,139.051603324,0.0,93.1198150188,94.2993404925,170.623053725,139.79683498,0.0,46.5271907741,124.434480837,93.5247419795,1023.84203547,6552.29515075,46.5058036961,46.7068213929,327.065514917,140.351254448,46.7314915515,1154.00458638,46.3598660781,93.2557600494,0.0,232.912382889,93.1808397729,47.0071810645,46.381878706,46.6466023752,0.0,140.59823533,202.241156735,0.0,140.182223518,108.59189665,46.3937752621,93.8080603175,0.0,92.5681711766,140.167208134,124.344181442,0.0,0.0,46.9646020961,124.166219058,140.067025132,93.3544819798,139.01975044,46.5620210472,46.4789598945,170.618303456,0.0,93.3402918827,0.0,0.0,186.403948451,0.0,0.0,1846.06481372,69.7653098853,46.9040538395,0.0,62.1300211004,108.774106927,46.7270573128,0.0,0.0,46.4357226176,92.7596192928,170.78209571,46.3737878031,93.8233096796,124.18950804,1087.22950537,0.0,46.6567106282,0.0,0.0,139.792098469,46.8827241295,481.136979029,0.0,92.6798336267,93.1198150188,1290.69163653,0.0,1915.9367979,697.772579068,46.3877895354,171.766668145,46.4788326642,0.0,46.8655505099,47.293025887,0.0,46.6785272992,46.7882561935,46.4098955461,1908.24725315,93.1884303099,124.240961318,93.2360880641,124.240961318,93.3008154908,93.1884303099,69.5258732561,0.0,140.162591955,139.984544109,186.165005918,62.1251322639,0.0,93.2585257476,0.0,0.0,46.8616135046,187.260791145,92.7637574121,187.745035778,46.5058036961,46.5271907741,46.9929794992,70.2106994857
2009-10-18,5.902007361,0.0143842825401,0.0222780961291,0.0306981639574,46.9328729425,46.4058923678,46.588537418,46.6827909282,46.3220767886,46.8711162479,749.42339097,139.863926413,310.488587495,341.586699809,46.3779201603,0.0,155.251510221,341.586699809,155.302743271,498.081964401,46.8671397381,0.0,62.3089957897,93.4066172921,46.3360250201,434.890116791,93.3643305843,124.260945319,46.9754360075,46.7105725327,0.0,0.0,46.3779201603,233.670654364,0.0,92.8958280059,0.0,0.0,93.2660454066,162.598891249,46.3360250201,0.0,0.0,46.9612397439,46.5650933568,0.0,116.356769915,62.1024312245,3881.59732787,310.549587065,46.9187023891,46.5791330818,94.0646139907,310.488587495,108.812740471,46.9754360075,93.3466358741,186.576061571,62.2337205964,1319.33318745,6478.42431173,46.4479140029,0.0,296.125937612,94.0361526854,46.6263596306,1404.3738007,62.1024312245,116.342570369,0.0,248.517694356,62.2008904403,0.0,46.5040613756,0.0,0.0,125.086147036,404.791776349,0.0,218.081482462,256.910584356,186.505438522,202.851056048,0.0,46.6354901286,77.6210299182,140.023575354,0.0,0.0,0.0,93.272876368,46.4299199572,93.444768896,187.448422573,0.0,93.304014424,108.644063033,46.8946904233,46.5181194352,0.0,0.0,186.452623189,0.0,46.3639466983,2607.99212213,46.6751146725,46.9066429839,0.0,162.934779828,93.2660454066,46.4479140029,0.0,46.9612397439,46.5744559995,0.0,108.742391935,46.7650418922,140.307004589,116.167144068,963.935680058,46.3499816541,46.6663428677,46.8671397381,46.9754360075,186.513266483,93.1770748361,714.323698179,0.0,46.5650933568,46.5791330818,1337.91243785,46.3360250201,2290.56808496,977.292902861,93.1489345902,155.980690053,46.4900118102,0.0,0.0,0.0,46.9754360075,46.4058923678,0.0,0.0,1847.16640476,70.0207196945,201.900813486,93.7242112863,201.900813486,46.6122731171,70.0207196945,116.356578923,0.0,280.037600945,46.5440409225,232.722767961,77.7052597692,0.0,46.9328729425,0.0,0.0,0.0,343.578251784,46.4759707314,93.3743074228,46.4479140029,93.3466358741,0.0,46.4900118102
2009-10-25,5.64204395,0.0135199808567,0.021955013161,0.0294927016033,0.0,0.0,90.684787105,0.0,0.0,45.5207448736,932.182337331,121.589920618,212.650567587,364.751433934,0.0,0.0,182.332379981,364.751433934,136.77423021,684.965208975,0.0,45.4392142923,45.5895813548,91.2715446409,45.4597345455,152.045850372,45.8951911896,136.810918571,45.8665855433,45.4519824191,0.0,0.0,45.7983658917,137.15119357,90.9314365713,0.0,46.0063512045,0.0,91.4567534753,75.9861925496,45.4597345455,0.0,0.0,68.4050382069,91.129406076,0.0,60.8433277374,45.5624520598,4148.81540606,182.368805277,45.4245355698,91.1706183068,68.6296514688,212.650567587,137.198845424,0.0,159.506178431,152.304311291,68.3155429836,1184.91719582,5516.19432259,0.0,45.6242453728,259.344392833,45.5552624258,0.0,1114.51686554,45.5624520598,60.8660711367,0.0,197.645179432,114.198440633,137.644001838,45.9229308035,0.0,0.0,183.070883696,182.809737251,0.0,182.878868177,167.18489346,45.7569942874,183.197386979,0.0,91.0419277152,91.5967317834,121.814946248,0.0,45.7491193571,45.728374631,91.2670402,76.1154815251,45.8390386548,114.296734505,45.9229308035,197.659119499,106.300075108,91.0690446775,114.322786298,0.0,0.0,227.908364869,0.0,0.0,2794.58401911,113.939775631,91.0690446775,0.0,45.5969889737,91.4567534753,0.0,0.0,0.0,0.0,45.5213086271,136.746788546,68.3569334857,91.5763727863,45.6174610593,1126.0170843,0.0,60.7926858222,0.0,0.0,182.492522273,0.0,623.033822144,0.0,91.129406076,91.1706183068,1294.05705013,45.7693811537,2196.19976243,956.477450029,113.936922875,137.571903785,68.294905889,0.0,0.0,45.8181276002,45.5895646902,0.0,45.5621023038,45.493910909,2567.12643721,90.9314365713,243.179957162,45.4112080229,243.179957162,91.3881739506,90.9314365713,45.6037611103,45.5213086271,182.694715772,91.4001746119,182.249841411,136.852180538,45.6863904354,45.8674850675,0.0,0.0,91.345175801,152.852904544,45.603727953,114.670941404,0.0,159.506178431,0.0,68.51906438
2009-11-01,5.468195468,0.0114121101324,0.0176167525345,0.0232120104149,45.8954462384,0.0,0.0,0.0,0.0,46.2113793061,676.279048418,76.4270654546,213.752576719,183.294171309,0.0,45.472353739,168.143577679,183.294171309,122.225177829,627.468615392,46.3516262843,0.0,46.1974012725,107.051425979,45.8678067044,275.042503664,91.6142981128,229.225809431,0.0,114.618361028,0.0,0.0,46.099791309,260.539192551,0.0,45.9785650665,68.8876064788,0.0,207.071813298,137.509659043,45.8678067044,0.0,0.0,45.6649166405,91.6009952721,0.0,68.8992749017,0.0,3250.88407608,152.748219167,46.1137103281,106.940713266,0.0,213.752576719,76.4917185086,0.0,45.8539994176,159.846215665,92.3389411165,1068.86507167,6327.23062242,68.6106153354,0.0,214.704822564,45.9552643459,92.4033885747,859.496797925,0.0,107.143826894,0.0,198.823311379,45.7519493416,45.6235159908,0.0,0.0,0.0,76.867652753,398.205153356,0.0,199.220742362,76.3858203357,45.9975511887,122.785189293,0.0,45.9646910276,0.0,168.295677281,46.1457091988,0.0,0.0,61.142634262,46.1596927471,107.264283418,91.4761333248,46.2954254643,46.073993041,137.403772597,46.2253658011,45.945869603,0.0,46.0898596264,168.272619455,0.0,0.0,1679.82933472,69.0656021224,0.0,0.0,69.0520572833,207.071813298,0.0,0.0,46.1786364718,68.9753816813,68.5763655234,61.1010975738,45.8816223088,199.635576582,61.0643229055,994.399277742,0.0,91.4073399408,46.3516262843,0.0,152.895584113,46.2673761305,626.158342597,0.0,91.6009952721,106.940713266,1239.71094186,0.0,1809.05144989,961.666312686,114.353621453,230.212550746,68.7627164796,0.0,0.0,45.900946918,45.8954462384,45.9369680535,0.0,0.0,2015.61971267,138.466553587,91.7254190788,61.059746747,91.7254190788,45.6097324512,138.466553587,0.0,0.0,290.844050449,138.508411675,244.307902566,61.1471601615,0.0,69.0725524731,0.0,0.0,45.6097324512,230.425991149,45.7704864462,91.7413333186,68.6106153354,45.8539994176,45.6097324512,45.9018636356
2009-11-08,5.040311957,0.00905085149458,0.0151244492081,0.020959866619,45.0536298351,0.0,0.0,0.0,45.0791826423,67.7655417511,981.382471325,135.237547927,150.009577351,180.030564682,0.0,0.0,240.158698352,180.030564682,75.0477382397,857.012290458,0.0,0.0,0.0,90.1443112375,45.0520019473,60.064500223,67.6029537826,60.0554004226,45.3817898097,67.8245635374,0.0,0.0,90.085274021,135.425481678,0.0,135.405672281,45.2840880179,0.0,67.701692772,45.0731892307,45.0520019473,0.0,0.0,0.0,75.0025260352,0.0,44.9668506361,45.0520019473,2380.18596069,165.006593088,0.0,75.016093784,0.0,150.009577351,45.0430878589,45.0430878589,45.0129432338,67.5048491476,45.1549052818,554.948684085,6035.0821033,0.0,45.1754146638,225.721297948,0.0,45.3542606681,753.842318848,45.0520019473,105.200131997,0.0,240.213065013,0.0,0.0,44.9751085533,0.0,0.0,67.9242431072,165.514307017,135.523721698,75.2838594045,67.5591630998,0.0,271.14423248,0.0,67.7153616172,45.1004360754,150.431227684,0.0,45.1609218674,0.0,45.0869069674,112.932853395,120.451560699,60.0508669197,0.0,112.398144689,89.9858296237,0.0,45.136773025,0.0,0.0,150.236289014,0.0,0.0,1425.29695755,44.9256228842,0.0,0.0,45.1200152352,67.701692772,0.0,45.1472780843,45.0294755628,45.011292307,44.9977387712,44.9795707898,90.0801189294,286.661438425,67.4728682431,1081.698943,0.0,0.0,0.0,0.0,67.5553535871,0.0,585.241314975,0.0,75.0025260352,75.016093784,1548.62611573,0.0,1324.94359273,419.691771006,45.0087643109,105.487190361,45.0022756379,0.0,90.0861757177,0.0,45.0483494811,0.0,0.0,0.0,1184.94076488,67.5521056881,60.064511129,67.464065051,60.064511129,45.0665946419,67.5521056881,60.0645847881,45.2581711328,90.2260213499,90.2893177521,194.959722344,45.1003868118,0.0,45.0520019473,0.0,0.0,0.0,120.734517809,67.5725940284,90.6810172364,0.0,45.0129432338,45.0536298351,45.2019027402
2009-11-15,4.163136192,0.00745086535641,0.0139630390144,0.0190085068935,45.21568128,44.7737645452,45.3524252964,44.9682197373,67.2583695429,0.0,967.721688561,112.173997475,105.163383134,150.368707935,45.4343297695,0.0,135.39428209,150.368707935,60.1302209919,632.369770836,0.0,0.0,45.7959381486,89.4295741358,45.5753012891,150.318841519,60.2210343293,135.321354286,0.0,44.8771894423,0.0,0.0,44.995366263,136.016096326,45.5890287895,0.0,44.9315860355,0.0,105.303934445,90.342443005,45.5753012891,0.0,0.0,45.0497577604,44.8141394647,0.0,89.6729567083,44.780421287,1976.37642667,135.312322375,91.3431355348,67.8905018903,45.1179323333,105.163383134,44.902144166,0.0,45.1134140411,45.1332184881,60.2346943616,540.796669749,5365.88471304,0.0,0.0,135.730862659,45.837545603,45.2000146844,483.090692874,44.780421287,89.7432308573,0.0,165.357281213,45.0361475617,45.6991472165,45.1748275921,0.0,0.0,90.9250999524,226.04159315,67.3871036337,165.852570792,90.4382373036,67.7417080021,105.704895766,45.520473859,0.0,67.7688188938,165.638665959,0.0,0.0,45.0089518204,0.0,44.8481879721,89.5916821252,44.7147870679,0.0,150.323784833,158.408849867,44.9158204805,45.0906377584,44.9588338136,0.0,150.437027027,0.0,0.0,901.532342007,44.5401723993,45.1179323333,0.0,45.2565303459,105.303934445,44.7552773671,45.6577905222,0.0,44.6609138305,0.0,67.7347381302,89.9093175086,181.261984605,135.66521179,1067.93638043,0.0,89.6148844784,0.0,45.0633761878,60.1755879134,0.0,646.196065925,0.0,44.8141394647,67.8905018903,1385.37997304,44.995366263,1115.99011088,390.319411789,135.808340363,75.5194981012,0.0,0.0,45.6577905222,0.0,91.205529124,44.7417724554,0.0,0.0,991.39568572,67.7279326295,105.213241431,45.0422757228,105.213241431,44.8615250065,67.7279326295,45.2360234002,0.0,150.677735907,44.7687904339,270.28974444,67.9860811228,44.8093786392,90.0450911684,0.0,0.0,45.0089518204,90.7083024571,89.2680517262,44.7417724554,0.0,45.1134140411,0.0,75.3229211799
2009-11-22,5.091103966,0.00542650418888,0.0116146230008,0.0178027418126,54.9846592901,54.4280490878,54.461911231,0.0,0.0,54.6761335747,750.230548327,81.946481096,109.132626574,90.9758858444,54.3952413427,54.7693579134,236.339954117,90.9758858444,90.9648554237,418.846952813,0.0,0.0,109.869648503,0.0,109.637786115,145.577907456,82.1289765781,72.8026259089,54.7749349849,0.0,0.0,0.0,54.5636102653,137.073487643,0.0,0.0,0.0,0.0,54.9348242515,54.4116402699,109.637786115,0.0,0.0,0.0,90.8936142544,0.0,108.759928658,0.0,1753.3862528,108.659488727,54.7034501421,81.8806457408,54.8003777828,109.132626574,54.4444678055,0.0,0.0,108.528809847,54.6265482057,509.180165051,6768.0999556,54.3472545758,54.5111980285,109.589798557,54.6588161039,109.483415696,274.167883635,0.0,82.0619950632,0.0,218.623406354,54.526710204,0.0,54.5441054828,0.0,0.0,54.9958676541,291.793657241,54.4937834466,137.023733202,109.122515534,54.6476364187,192.110557235,0.0,0.0,81.6100455195,145.847353742,0.0,0.0,0.0,0.0,0.0,54.7880006803,54.4444678055,0.0,109.21840289,90.8990732577,54.6926820413,54.7885109313,0.0,0.0,136.367450502,0.0,0.0,690.90128054,54.5107047488,0.0,0.0,54.9016510484,54.9348242515,0.0,54.7589762014,0.0,54.6398757665,0.0,109.571719357,55.0012910685,201.467907362,54.5362391762,964.946788293,54.8850794665,0.0,0.0,0.0,81.7496060237,0.0,782.228901185,0.0,90.8936142544,81.8806457408,1257.50632132,0.0,657.131271174,254.332646388,81.6428931694,109.086377017,54.526710204,0.0,54.6145273228,54.7338839771,54.9680375672,54.5107444798,0.0,0.0,509.097955507,54.6812303891,54.4937834466,54.3788522974,54.4937834466,0.0,54.6812303891,54.4286794698,54.6257296535,164.340722825,109.803302097,272.670056687,54.5276467907,0.0,54.5770526924,0.0,54.8023713901,0.0,146.416983096,0.0,54.7251093921,54.3472545758,0.0,0.0,54.5601052505
2009-11-29,4.036070741,0.00309119010819,0.00794877456392,0.0118679620225,0.0,0.0,0.0,0.0,0.0,110.995567949,695.340494796,44.238883296,102.902564396,132.656648358,44.0915697092,0.0,161.891899462,132.656648358,65.979205371,545.207276734,0.0,0.0,44.0492281642,88.0209858586,44.3607101035,117.72525682,73.6743545588,44.1441607809,44.7107490907,0.0,0.0,0.0,43.9773594321,66.4026884002,0.0,0.0,0.0,0.0,0.0,131.749169159,44.3607101035,0.0,0.0,44.0092923272,0.0,0.0,44.1239920163,0.0,1387.99683047,110.319945378,0.0,110.587207968,44.5619837428,102.902564396,44.0915697092,0.0,44.3473564882,0.0,44.5350417937,249.900731586,6947.00951752,0.0,44.4678292344,132.437800203,89.2319311046,0.0,133.034444468,0.0,88.0474980697,0.0,235.433067468,0.0,0.0,0.0,0.0,0.0,66.7980812751,250.686956723,0.0,88.5948963548,66.3086291322,66.4286086667,221.670274085,132.474580251,44.0305886892,0.0,162.127311923,0.0,0.0,43.9694288378,44.3607101035,66.4830630069,44.0569925737,88.4977630648,0.0,73.6835446929,65.9394388971,134.295276439,44.090304487,0.0,0.0,65.952709043,0.0,44.3874414745,735.145008828,87.8857865484,44.3054766575,0.0,44.1181950532,0.0,0.0,0.0,0.0,0.0,0.0,43.9163897198,44.0570890252,325.544029006,66.1295034523,1177.88641476,0.0,0.0,0.0,0.0,44.0915697092,0.0,661.999292892,0.0,0.0,110.587207968,1576.89267397,43.9561570512,708.526384374,279.169203509,44.1131353289,73.955997529,44.0782690849,0.0,44.2322218205,0.0,44.3874414745,0.0,44.3054766575,0.0,558.653081401,66.3017023546,44.1397603042,43.9163897198,44.1397603042,44.3206733615,66.3017023546,0.0,0.0,88.4707010057,89.0431660645,235.144650816,0.0,0.0,43.9827086411,0.0,0.0,0.0,44.2920466858,0.0,89.3401566123,0.0,44.3473564882,44.2656499865,0.0
2009-12-06,3.429259635,0.00221716552891,0.00676818950931,0.0105023630317,0.0,0.0,0.0,0.0,44.4390830633,89.6064545896,772.933617281,44.4926564004,73.8680828821,66.509611942,44.5008260237,0.0,88.6346697801,66.509611942,88.6701843019,384.901999796,0.0,0.0,44.3750381477,44.5732590388,88.5627833999,132.996415949,132.696790213,66.408559977,0.0,44.6001915216,0.0,0.0,88.4912290504,0.0,44.4658535953,0.0,44.6947120607,0.0,44.2456145252,44.5060699235,88.5627833999,0.0,0.0,0.0,73.8413615896,0.0,0.0,0.0,1068.1860653,44.3286122369,44.5463590635,103.387717002,133.568999335,73.8680828821,44.5329212478,0.0,0.0,0.0,0.0,265.743656544,7898.31567747,0.0,44.442171337,74.1632798915,44.2947455575,44.4468529175,237.534355768,0.0,155.521667912,0.0,162.55637831,59.1864117457,0.0,0.0,0.0,0.0,44.7034354716,162.984975057,44.4018670704,44.4894662534,0.0,155.233848503,103.929092462,0.0,0.0,0.0,88.5670680296,0.0,0.0,0.0,0.0,110.49908623,44.2589737083,73.908163518,0.0,221.027926601,88.6078408596,66.4555381513,44.3392985245,0.0,0.0,118.314863391,0.0,44.47925096,295.365556339,66.2157331599,44.5320647941,0.0,44.348241627,44.2456145252,0.0,0.0,0.0,44.2189203385,0.0,44.2055853203,44.2055853203,163.255412779,44.0991940199,991.177282331,0.0,178.185436254,0.0,0.0,44.2456145252,0.0,546.877533128,0.0,73.8413615896,103.387717002,1347.11458825,0.0,534.161160035,250.977214348,66.5835122996,103.92051364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.230124556,66.6368199358,0.0,88.3231366619,0.0,0.0,66.6368199358,0.0,0.0,88.8264843725,59.2355224487,206.793407349,0.0,0.0,0.0,0.0,0.0,44.7760491163,44.6153893573,44.586721213,44.7624723882,0.0,0.0,0.0,0.0
