Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.95,0.895,0.815,0.676,0.847,0.913,0.907,0.887
ARGO,,,0.978,0.959,0.894,0.709,0.91,0.93,0.935,0.944
ARGO_top10,,,0.971,0.956,0.904,0.786,0.914,0.926,0.932,0.944
ARGO_all_weighted1,,,0.959,0.975,0.927,0.55,0.887,0.91,0.938,0.954
ARGO_all_weighted2,,,0.972,0.952,0.914,0.615,0.906,0.929,0.94,0.946
ARGO_all_weighted_more_ar,,,0.969,0.962,0.904,0.729,0.906,0.933,0.94,0.945
ARGO_top10_weighted1,,,0.966,0.972,0.912,0.477,0.898,0.907,0.937,0.95
ARGO_top10_weighted2,,,0.97,0.953,0.909,0.602,0.914,0.926,0.937,0.944
ARGO_top10_weighted_more_ar,,,0.97,0.961,0.905,0.733,0.915,0.931,0.938,0.945
ARGO_obs_weight,,,0.977,0.954,0.89,0.779,0.914,0.934,0.935,0.94
ARGO_top10_obs,,,0.972,0.954,0.897,0.798,0.924,0.931,0.933,0.941
ARGO_top10_weighted2_obs,,,0.97,0.954,0.903,0.69,0.919,0.933,0.939,0.942
GFT,,,0.91,0.956,0.879,,,0.843,0.843,0.915
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.429,0.532,1.048,0.454,0.806,0.607,0.597,0.67
ARGO,,,0.457,0.381,0.833,0.499,0.736,0.55,0.519,0.557
ARGO_top10,,,0.503,0.404,0.847,0.513,0.748,0.565,0.528,0.585
ARGO_all_weighted1,,,0.618,0.287,0.766,0.729,0.982,0.636,0.513,0.557
ARGO_all_weighted2,,,0.49,0.38,0.798,0.611,0.771,0.56,0.498,0.556
ARGO_all_weighted_more_ar,,,0.46,0.325,0.834,0.564,0.76,0.551,0.491,0.54
ARGO_top10_weighted1,,,0.554,0.319,0.813,0.783,0.949,0.642,0.519,0.562
ARGO_top10_weighted2,,,0.521,0.374,0.806,0.62,0.761,0.569,0.509,0.567
ARGO_top10_weighted_more_ar,,,0.465,0.341,0.836,0.561,0.759,0.555,0.497,0.547
ARGO_obs_weight,,,0.445,0.391,0.843,0.449,0.679,0.533,0.518,0.56
ARGO_top10_obs,,,0.48,0.392,0.863,0.488,0.697,0.548,0.524,0.578
ARGO_top10_weighted2_obs,,,0.486,0.365,0.818,0.547,0.729,0.543,0.5,0.556
GFT,,,5.371,1.413,1.784,,,2.763,2.763,2.856
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.153,0.208,0.265,0.194,0.187,0.238,0.258,0.209
ARGO,,,0.185,0.273,0.322,0.228,0.2,0.403,0.49,0.26
ARGO_top10,,,0.208,0.268,0.355,0.226,0.207,0.448,0.547,0.277
ARGO_all_weighted1,,,0.236,0.229,0.314,0.324,0.256,0.45,0.519,0.26
ARGO_all_weighted2,,,0.188,0.201,0.308,0.246,0.208,0.36,0.419,0.232
ARGO_all_weighted_more_ar,,,0.198,0.162,0.326,0.218,0.205,0.33,0.376,0.229
ARGO_top10_weighted1,,,0.227,0.259,0.337,0.334,0.251,0.502,0.594,0.274
ARGO_top10_weighted2,,,0.211,0.233,0.319,0.247,0.209,0.413,0.492,0.254
ARGO_top10_weighted_more_ar,,,0.205,0.236,0.331,0.218,0.206,0.347,0.399,0.257
ARGO_obs_weight,,,0.189,0.246,0.302,0.205,0.185,0.376,0.456,0.246
ARGO_top10_obs,,,0.195,0.288,0.339,0.21,0.198,0.408,0.495,0.274
ARGO_top10_weighted2_obs,,,0.193,0.224,0.296,0.225,0.202,0.367,0.436,0.238
GFT,,,1.911,1.078,0.782,,,1.889,1.889,1.257
