Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.91,0.956,0.879,,,0.843,0.843,0.915
AR52,,,0.95,0.895,0.815,0.676,0.847,0.913,0.907,0.887
ARGO,,,0.959,0.975,0.927,0.55,0.887,0.91,0.938,0.954
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,5.371,1.413,1.784,,,2.763,2.763,2.856
AR52,,,0.429,0.532,1.048,0.454,0.806,0.607,0.597,0.67
ARGO,,,0.618,0.287,0.766,0.729,0.982,0.636,0.513,0.557
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.911,1.078,0.782,,,1.889,1.889,1.257
AR52,,,0.153,0.208,0.265,0.194,0.187,0.238,0.258,0.209
ARGO,,,0.236,0.229,0.314,0.324,0.256,0.45,0.519,0.26
