Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.879,,,0.9,0.9,0.9
AR52,0.815,0.676,0.847,0.875,0.845,0.861
ARGO(gt),0.907,0.555,0.914,0.92,0.921,0.917
"ARGO(gt,ath)",0.927,0.864,0.931,0.941,0.933,0.936
Net,0.82,0.762,0.907,0.893,0.849,0.9
ARGONet,0.957,0.711,0.936,0.945,0.964,0.941
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.784,,,1.543,1.543,1.543
AR52,1.048,0.454,0.806,0.748,0.905,0.777
ARGO(gt),0.797,0.671,0.746,0.703,0.714,0.725
"ARGO(gt,ath)",0.781,0.61,0.76,0.68,0.701,0.72
Net,1.037,0.405,0.64,0.687,0.894,0.664
ARGONet,0.639,0.473,0.589,0.532,0.553,0.561
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.782,,,0.711,0.711,0.711
AR52,0.265,0.194,0.187,0.213,0.238,0.2
ARGO(gt),0.312,0.309,0.189,0.304,0.353,0.246
"ARGO(gt,ath)",0.327,0.263,0.221,0.281,0.333,0.251
Net,0.246,0.183,0.166,0.194,0.219,0.18
ARGONet,0.211,0.196,0.163,0.19,0.188,0.176
