Week,ID,athena_flu,athena_ILI,athena_viral,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,how long contagious,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,cold and flu,fever flu,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,flu shot,rsv infection,symptoms of influenza,what is influenza,rsv,pneumonia,bronchitis,cough fever,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,a influenza,human temperature,influenza a,influenza b,flu medicine,cold symptoms,symptoms of the flu,what is rsv
2009-10-04,11.33617626,,,,554.631988704,548.445810826,1673.35001632,1673.35001632,1096.56043457,552.985776835,0.0,0.0,0.0,557.378333323,0.0,0.0,10525.5952511,559.573400979,548.445810826,1851.18708124,7371.39988476,1475.14618607,0.0,0.0,549.109186466,0.0,557.714914442,557.909754477,0.0,0.0,549.441476443,548.445810826,548.280217284,4431.44980921,0.0,0.0,547.949330007,553.143483036,921.389854167,550.81059326,0.0,2762.8188326,3687.38219799,0.0,0.0,0.0,0.0,2591.27048573,0.0,0.0,0.0,0.0,0.0,548.77729817,553.764094209,0.0
2009-10-11,11.30892171,,,,562.139181197,561.048464455,939.530903973,939.530903973,0.0,843.690495405,0.0,562.336107468,0.0,0.0,561.458831204,0.0,14443.9295828,564.387085573,561.048464455,3393.95942008,6928.44540119,2997.0286002,562.845931681,847.036866267,563.186328374,562.675887593,561.65777682,561.827206013,0.0,0.0,0.0,565.238091432,565.57921279,2812.01903271,0.0,0.0,0.0,565.920746131,2056.56141192,839.503191472,561.458831204,1687.27621766,3933.01123081,0.0,0.0,0.0,0.0,3007.00085437,564.047400297,561.458831204,564.047400297,0.0,563.868358442,1972.13915339,1312.31655105,0.0
2009-10-18,9.019843656,,,,547.322344479,1087.03013146,1095.16128372,1095.16128372,548.138013184,543.92763288,0.0,0.0,0.0,545.704537309,547.190570845,0.0,10909.9561613,1095.70726243,1087.03013146,2916.73549928,4720.8661529,1089.58558668,0.0,544.337078835,0.0,0.0,0.0,0.0,543.515065729,0.0,0.0,0.0,0.0,5270.97174151,0.0,0.0,547.025056455,547.64151136,1092.85131135,725.588115504,547.190570845,725.261242479,4179.0400869,0.0,0.0,0.0,0.0,5101.39319709,546.859642166,0.0,546.859642166,0.0,0.0,1088.12565382,817.16261129,0.0
2009-10-25,7.393966886,,,,1095.24937555,548.666996072,1088.38982683,1088.38982683,0.0,2734.71035046,0.0,0.0,0.0,543.209648031,0.0,543.209648031,5653.21764167,0.0,548.666996072,2011.51487287,7649.04471638,818.257536999,544.688887617,912.933949646,0.0,0.0,543.537673181,0.0,0.0,0.0,0.0,0.0,0.0,2004.78611916,0.0,0.0,0.0,545.514173811,822.882201316,816.697188854,0.0,1999.96124758,1824.27227797,731.208141148,547.931711956,0.0,0.0,2741.89495173,0.0,0.0,0.0,0.0,0.0,545.31574126,0.0,0.0
2009-11-01,4.770992366,,,,910.757062765,817.591658272,543.331135857,543.331135857,542.872228989,1080.77427626,0.0,544.019603869,0.0,0.0,0.0,0.0,4536.91924435,545.8324532,817.591658272,2182.82132741,6527.79140462,816.736065006,542.510145927,548.644727875,547.982513357,0.0,0.0,1089.68426248,0.0,0.0,549.142440056,0.0,0.0,1452.06708811,0.0,0.0,0.0,0.0,1814.0538216,543.295075423,0.0,2172.31035991,2177.88362418,549.474750156,0.0,0.0,0.0,1273.44113035,0.0,0.0,0.0,0.0,0.0,1088.86435314,544.34831662,0.0
2009-11-08,4.379562044,,,,1598.42142067,0.0,0.0,0.0,530.510327411,1058.97247532,0.0,0.0,0.0,0.0,530.444583789,0.0,3006.78454085,0.0,0.0,532.040159366,7774.07534822,1591.83476137,0.0,531.245859595,0.0,530.764803882,0.0,531.098348884,0.0,0.0,532.705303041,0.0,0.0,1593.34565816,0.0,0.0,0.0,0.0,1059.18216372,529.812520832,530.444583789,1412.69301612,1327.4752227,532.049559837,530.938186535,0.0,0.0,1330.86397075,0.0,0.0,0.0,0.0,533.027861504,530.7730038,530.778120756,0.0
2009-11-15,2.497477296,,,,532.059373771,534.763185852,535.896158703,535.896158703,0.0,530.132204291,0.0,0.0,0.0,0.0,534.924745727,0.0,1951.06372104,530.616455678,534.763185852,533.324233656,6553.63128068,534.279091236,0.0,535.5719626,0.0,0.0,0.0,0.0,0.0,0.0,535.734011605,0.0,0.0,1587.99999351,0.0,0.0,0.0,0.0,1239.18115471,1586.56548583,534.924745727,1768.92650286,796.49824006,0.0,0.0,0.0,0.0,1335.49590533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-22,2.364149612,,,,1984.7613632,0.0,661.435706309,661.435706309,0.0,657.506660877,0.0,0.0,0.0,0.0,0.0,0.0,879.122176745,0.0,0.0,661.435706309,6806.02343627,0.0,661.034550163,659.366188672,0.0,658.841733501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.907901098,1315.6996015,0.0,876.674417322,877.536822509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.036008547,0.0
2009-11-29,2.288853285,,,,1027.70354793,0.0,510.94992215,510.94992215,0.0,765.321081779,0.0,513.7105205,0.0,0.0,0.0,0.0,1707.07004652,0.0,0.0,0.0,9205.41257797,0.0,0.0,517.692792936,517.536248397,766.475065624,0.0,506.707465877,0.0,517.45453887,507.782299896,516.91101584,0.0,516.443081909,0.0,0.0,506.860734923,518.319919275,1194.36108294,1017.89842852,0.0,1361.95572834,1023.52541599,517.692792936,0.0,0.0,0.0,512.452588013,0.0,0.0,0.0,0.0,514.952492143,504.116001701,0.0,0.0
2009-12-06,1.864115771,,,,975.544909477,0.0,486.866520069,486.866520069,0.0,647.276442719,489.129340134,486.180112879,0.0,0.0,0.0,0.0,809.840004002,485.594530088,0.0,0.0,11164.2570955,485.7407935,0.0,486.471452499,0.0,0.0,0.0,0.0,0.0,972.150322214,487.650267439,486.08165872,0.0,487.208288345,0.0,0.0,0.0,487.161411965,807.990436282,726.703187102,0.0,1292.70088853,808.86660829,0.0,486.033584817,0.0,488.344560506,487.405800017,486.810079706,0.0,486.810079706,0.0,0.0,484.956904317,0.0,0.0
2009-12-13,1.495140792,,,,833.745237334,0.0,0.0,0.0,0.0,746.176606265,0.0,497.087430268,0.0,0.0,0.0,0.0,999.584711996,0.0,0.0,498.856366061,5475.94075095,663.780126098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.782210534,0.0,0.0,0.0,498.592843442,497.588202637,0.0,0.0,1160.41642792,497.627748485,0.0,0.0,0.0,0.0,666.139315052,0.0,499.460125657,0.0,0.0,0.0,995.076197671,0.0,0.0
2009-12-20,2.356602935,,,,1670.62322946,0.0,0.0,0.0,0.0,665.067150344,0.0,666.23705573,0.0,0.0,0.0,0.0,674.425016409,0.0,0.0,0.0,5763.32706195,990.989884098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.832277893,667.64814783,0.0,0.0,1315.86011504,0.0,0.0,0.0,0.0,667.887101114,2019.01039239,0.0,1328.50923827,663.233281809,0.0,0.0,0.0,0.0,672.029680966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-27,2.96325563,,,,636.879225159,0.0,0.0,0.0,0.0,634.87991411,0.0,0.0,0.0,0.0,0.0,0.0,950.982064616,0.0,0.0,638.649045264,3165.47252626,636.721920806,0.0,0.0,0.0,637.491373279,0.0,0.0,0.0,0.0,637.072218863,0.0,0.0,0.0,0.0,0.0,0.0,638.052236609,1265.22995159,629.062140724,0.0,1475.69120031,1260.02247741,0.0,0.0,0.0,0.0,639.229459422,0.0,0.0,0.0,0.0,0.0,628.683301735,0.0,0.0
2010-01-03,1.74512987,,,,850.702326991,0.0,0.0,0.0,0.0,846.039748128,0.0,507.45271638,0.0,0.0,0.0,0.0,848.442634695,0.0,0.0,0.0,7113.16265935,509.345578436,0.0,0.0,507.146468513,0.0,0.0,508.219956653,0.0,0.0,509.297998985,509.320278787,510.267749067,510.884386831,0.0,0.0,0.0,509.934980195,759.388819321,1270.88391981,0.0,507.420025246,1018.17330667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.19220729,0.0,0.0
