Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.812,0.802,0.897,0.368,,0.862,0.871,0.837
ARGO,,,0.84,0.84,0.897,0.278,,0.869,0.88,0.859
ARGO_top10,,,0.856,0.826,0.916,0.431,,0.874,0.885,0.866
ARGO_all_weighted1,,,0.844,0.855,0.898,0.026,,0.848,0.877,0.866
ARGO_all_weighted2,,,0.852,0.848,0.908,0.337,,0.877,0.891,0.869
ARGO_all_weighted_more_ar,,,0.835,0.848,0.905,0.341,,0.878,0.893,0.863
ARGO_top10_weighted1,,,0.864,0.836,0.905,0.206,,0.857,0.881,0.868
ARGO_top10_weighted2,,,0.851,0.842,0.911,0.321,,0.875,0.89,0.868
ARGO_top10_weighted_more_ar,,,0.834,0.845,0.907,0.367,,0.878,0.892,0.862
ARGO_obs_weight,,,0.835,0.847,0.903,0.351,,0.88,0.887,0.862
ARGO_top10_obs,,,0.857,0.843,0.914,0.521,,0.886,0.893,0.871
ARGO_top10_weighted2_obs,,,0.851,0.858,0.918,0.407,,0.888,0.898,0.876
GFT,,,0.862,0.903,0.956,,,0.638,0.638,0.907
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.742,1.176,0.87,0.65,,0.818,0.868,0.93
ARGO,,,0.793,1.039,0.88,0.715,,0.801,0.834,0.904
ARGO_top10,,,0.74,1.081,0.822,0.689,,0.791,0.821,0.881
ARGO_all_weighted1,,,0.794,0.994,0.952,0.93,,0.857,0.851,0.913
ARGO_all_weighted2,,,0.722,1.012,0.81,0.738,,0.777,0.796,0.848
ARGO_all_weighted_more_ar,,,0.716,1.01,0.828,0.738,,0.772,0.791,0.851
ARGO_top10_weighted1,,,0.738,1.049,0.911,0.867,,0.838,0.838,0.899
ARGO_top10_weighted2,,,0.727,1.032,0.812,0.737,,0.783,0.803,0.857
ARGO_top10_weighted_more_ar,,,0.718,1.02,0.833,0.722,,0.772,0.795,0.857
ARGO_obs_weight,,,0.784,1.015,0.838,0.644,,0.77,0.81,0.879
ARGO_top10_obs,,,0.722,1.032,0.801,0.606,,0.752,0.793,0.852
ARGO_top10_weighted2_obs,,,0.715,0.984,0.767,0.656,,0.742,0.771,0.822
GFT,,,3.833,0.932,0.793,,,2.083,2.083,1.853
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.636,0.375,0.218,0.748,,0.884,0.794,0.409
ARGO,,,0.786,0.455,0.23,0.848,,0.955,0.878,0.491
ARGO_top10,,,0.736,0.468,0.204,0.852,,0.993,0.869,0.47
ARGO_all_weighted1,,,0.907,0.482,0.233,1.101,,1.091,0.971,0.541
ARGO_all_weighted2,,,0.762,0.46,0.203,0.878,,0.909,0.812,0.475
ARGO_all_weighted_more_ar,,,0.67,0.487,0.211,0.9,,0.847,0.718,0.456
ARGO_top10_weighted1,,,0.815,0.485,0.217,1.092,,1.091,0.92,0.506
ARGO_top10_weighted2,,,0.772,0.491,0.203,0.923,,0.934,0.817,0.489
ARGO_top10_weighted_more_ar,,,0.671,0.505,0.212,0.89,,0.847,0.72,0.463
ARGO_obs_weight,,,0.754,0.455,0.224,0.747,,0.891,0.807,0.478
ARGO_top10_obs,,,0.686,0.434,0.206,0.729,,0.892,0.787,0.442
ARGO_top10_weighted2_obs,,,0.724,0.482,0.2,0.817,,0.861,0.759,0.468
GFT,,,2.677,0.843,0.228,,,2.303,2.303,1.249
