Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.862,0.903,0.956,,,0.638,0.638,0.907
AR52,,,0.812,0.802,0.897,0.368,,0.862,0.871,0.837
ARGO,,,0.851,0.858,0.918,0.407,,0.888,0.898,0.876
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,3.833,0.932,0.793,,,2.083,2.083,1.853
AR52,,,0.742,1.176,0.87,0.65,,0.818,0.868,0.93
ARGO,,,0.715,0.984,0.767,0.656,,0.742,0.771,0.822
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.677,0.843,0.228,,,2.303,2.303,1.249
AR52,,,0.636,0.375,0.218,0.748,,0.884,0.794,0.409
ARGO,,,0.724,0.482,0.2,0.817,,0.861,0.759,0.468
