Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.956,,,0.953,0.953,0.953
AR52,0.897,0.368,,0.897,0.916,0.897
ARGO(gt),0.91,0.321,,0.887,0.93,0.887
"ARGO(gt,ath)",0.918,0.407,,0.905,0.934,0.905
Net,0.924,0.656,,0.934,0.935,0.934
ARGONet,0.931,0.697,,0.929,0.933,0.929
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.793,,,0.749,0.749,0.749
AR52,0.87,0.65,,0.728,0.805,0.728
ARGO(gt),0.831,0.737,,0.752,0.784,0.752
"ARGO(gt,ath)",0.767,0.656,,0.692,0.735,0.692
Net,0.806,0.429,,0.633,0.752,0.633
ARGONet,0.703,0.453,,0.614,0.703,0.614
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.228,,,0.495,0.495,0.495
AR52,0.218,0.748,,0.742,0.372,0.742
ARGO(gt),0.207,0.923,,0.801,0.362,0.801
"ARGO(gt,ath)",0.2,0.817,,0.752,0.375,0.752
Net,0.221,0.495,,0.789,0.425,0.789
ARGONet,0.197,0.526,,0.787,0.414,0.787
