Week,KS,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,ear thermometer,expectorant,influenza a treatment,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,type a flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,symptoms of rsv,flu treatment,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,symptoms of influenza,symptoms of influenza b,what is influenza,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,what is rsv,incubation period for influenza
2009-10-04,7.996502791,0.00815533980583,0.012427184466,0.0211650485437,0.0,0.0,0.0,1121.62711041,212.332221499,281.424389902,491.576534481,491.576534481,0.0,843.084685668,0.0,211.746279376,209.948719774,0.0,0.0,210.155367675,0.0,7072.99042168,317.310930144,316.2541036,0.0,281.424389902,210.726614522,0.0,1750.91032684,9230.42669811,1542.16463791,280.914844126,0.0,281.552242506,421.278511122,211.648122163,315.268045811,210.925200754,492.253342345,0.0,0.0,281.318065143,211.434681915,0.0,210.662989336,490.664848793,0.0,2250.23052895,0.0,210.329291472,0.0,422.614162042,210.265767071,281.084312736,1476.99433294,0.0,0.0,420.617414924,773.231368995,210.155367675,316.2541036,631.216308542,0.0,0.0,2465.14374969,0.0,631.134773704,0.0,0.0,211.690346585,0.0,209.380437525,1407.01722215,0.0,423.106539958,211.143992919,423.106539958,0.0,0.0,0.0,316.958824492,0.0,634.304045746,211.112179833,0.0,211.621419679
2009-10-11,10.73266037,0.0175746924429,0.0212849052919,0.0349541105253,0.0,0.0,209.992591263,1122.59548467,0.0,423.711648464,840.631181521,840.631181521,0.0,1124.77892737,0.0,213.666366241,0.0,0.0,209.486585019,213.214503835,0.0,7364.72595026,530.586757394,209.929206841,0.0,423.711648464,213.666366241,425.272677129,2595.05853097,8604.19559946,2245.78447266,421.508245778,0.0,210.287289753,351.954198879,0.0,316.909286329,209.400229579,281.465168793,209.629652612,423.135730886,210.437356207,209.819534544,0.0,213.407924915,560.897341795,0.0,2604.06361536,0.0,0.0,0.0,0.0,421.752107453,317.096223493,1688.94018031,212.9571538,210.327572158,629.597582013,422.293317043,213.214503835,209.929206841,1474.16517508,0.0,0.0,3171.71955041,0.0,1123.02355407,213.79582178,0.0,210.310088377,0.0,212.252633893,2183.91761792,0.0,318.445642844,0.0,318.445642844,317.387683511,0.0,317.196543997,423.775876182,351.31644633,0.0,844.162031159,209.42350565,0.0
2009-10-18,11.28638498,0.0199075005027,0.024532475367,0.0361954554595,207.077335326,0.0,0.0,1034.41665387,206.266001583,899.444897495,1034.56756865,1034.56756865,207.548616774,621.349381552,0.0,208.898749233,0.0,0.0,207.163686659,206.764529684,208.491733785,6343.1706894,486.078824615,414.530946852,0.0,899.444897495,207.862039633,413.5209385,2549.64331067,7486.62723622,1310.40616164,207.26236529,0.0,833.714370956,415.339309042,208.040967849,206.963313359,0.0,207.982864717,0.0,207.726801482,208.050548133,206.452667648,0.0,207.307210574,275.69802954,0.0,4082.33347533,0.0,0.0,0.0,0.0,0.0,207.736556965,1383.78038052,206.514964772,0.0,310.971846564,1037.5632869,206.764529684,414.530946852,1518.08253032,0.0,0.0,3325.14552163,0.0,2206.31674434,346.742034127,0.0,0.0,0.0,0.0,2838.94635751,208.040967849,346.951582547,0.0,346.951582547,310.725972383,208.040967849,345.507111727,0.0,207.025595019,0.0,207.450103476,0.0,0.0
2009-10-25,8.196823419,0.00714604734256,0.00982581509603,0.0178651183564,0.0,0.0,0.0,1018.70193839,307.619269886,272.657498277,544.391287996,544.391287996,408.61865855,339.922854264,0.0,204.716617987,0.0,0.0,204.247734663,307.059294793,205.237726712,4138.1736863,410.151010049,410.622813604,0.0,272.657498277,0.0,0.0,1492.96357832,6757.84420265,1494.00044912,204.097262036,0.0,205.175571131,408.646783786,205.872537279,204.32412005,204.382956063,204.201308094,203.808260342,204.9390161,204.629720875,204.50626403,0.0,0.0,271.365424985,0.0,3544.30985587,0.0,0.0,204.629720875,0.0,511.158555718,203.602682339,1090.03261311,0.0,0.0,0.0,681.262395194,307.059294793,410.622813604,1902.62221113,0.0,0.0,2659.74704617,0.0,1087.08017427,205.373603532,0.0,0.0,0.0,203.891207597,2045.31498474,0.0,341.570480503,0.0,341.570480503,0.0,0.0,203.868452229,306.456958108,203.898835056,202.561706219,408.728778103,0.0,0.0
2009-11-01,6.575290551,0.00754630688315,0.00891836268008,0.0155499656986,0.0,0.0,0.0,618.36907086,205.283822403,513.822924765,412.303982545,412.303982545,0.0,482.000761272,408.851705389,0.0,0.0,0.0,0.0,207.368911327,412.307338215,2473.50633864,205.940291831,418.858110769,0.0,513.822924765,0.0,204.17963065,1373.28132011,6837.24298981,549.749084262,204.302667487,204.796301235,207.462193911,275.872160301,0.0,311.146746055,205.345710802,275.55952958,209.872492586,0.0,0.0,207.274692537,204.118167787,0.0,206.931948966,0.0,1723.91709828,0.0,205.779976656,0.0,207.556292224,206.234168069,204.672669299,1447.12422315,205.5316001,0.0,206.742960791,965.019861317,207.368911327,418.858110769,1443.86216957,0.0,0.0,1656.23401749,206.153669108,922.078687786,204.92008262,0.0,0.0,0.0,0.0,1862.52836422,0.0,205.940291831,0.0,205.940291831,0.0,0.0,205.779976656,0.0,205.039290657,0.0,517.74712392,0.0,0.0
2009-11-08,4.440810988,0.00287769784173,0.00503597122302,0.00983213429257,0.0,0.0,0.0,937.774546437,0.0,302.186914674,399.340626009,399.340626009,0.0,404.109195466,202.9523614,408.366989847,0.0,0.0,0.0,199.008754739,0.0,1405.94195399,201.5092077,202.078426703,0.0,302.186914674,0.0,0.0,535.436319234,7002.5523201,804.098273976,201.144125856,0.0,0.0,403.031449293,203.689253483,0.0,201.164596013,0.0,0.0,199.549702728,302.582907483,201.174404908,0.0,0.0,198.590040797,0.0,1142.0251894,0.0,203.074806263,0.0,0.0,202.237599954,406.394797925,604.729412094,203.197398962,0.0,199.369060269,335.818579691,199.008754739,202.078426703,1273.34870154,0.0,0.0,1278.60441687,0.0,334.707247922,0.0,0.0,201.468286526,0.0,202.464054966,1345.04402483,0.0,204.121583615,199.791069166,204.121583615,0.0,0.0,202.573672294,201.657878481,201.346700354,203.258750834,200.686105246,0.0,0.0
2009-11-15,3.227340671,0.00277456647399,0.00369942196532,0.00809248554913,0.0,0.0,0.0,1117.4091499,0.0,198.449169645,197.731667375,197.731667375,590.976541384,724.128766607,0.0,0.0,198.209424348,0.0,0.0,198.149578508,0.0,1905.48904651,0.0,196.992180461,0.0,198.449169645,0.0,0.0,656.519594471,7200.34656117,262.816341901,296.462400042,0.0,197.958002398,396.538258561,197.409284292,198.060840178,197.313224694,296.786972655,395.109262581,197.11117302,0.0,0.0,0.0,0.0,196.163238313,0.0,1187.67483735,0.0,0.0,0.0,0.0,0.0,0.0,923.223623863,0.0,0.0,0.0,461.492028681,198.149578508,196.992180461,1052.09635193,0.0,0.0,726.040296603,0.0,196.340280947,198.299374243,0.0,197.611100939,196.813960756,0.0,857.775777225,0.0,0.0,0.0,0.0,0.0,0.0,197.540097918,0.0,197.491842579,0.0,592.048769762,0.0,0.0
2009-11-22,2.098742604,0.00282828282828,0.00323232323232,0.0129292929293,0.0,0.0,0.0,927.803697083,0.0,309.860118242,231.450327128,231.450327128,231.463630807,464.089395812,0.0,0.0,0.0,0.0,0.0,230.975605079,0.0,1003.1781619,0.0,234.090031326,0.0,309.860118242,0.0,231.017873299,462.903683475,5898.78760458,580.191194087,231.345345458,0.0,232.347170571,232.206524584,0.0,232.325865603,0.0,0.0,0.0,231.645639259,0.0,233.172031203,0.0,231.533517169,0.0,0.0,309.837253886,0.0,0.0,0.0,0.0,346.547841664,0.0,697.021290718,0.0,0.0,0.0,774.415872893,230.975605079,234.090031326,1081.70750879,0.0,0.0,853.546315962,0.0,462.482999147,231.855653438,0.0,0.0,0.0,0.0,542.982351601,0.0,232.445895381,0.0,232.445895381,0.0,0.0,231.995874577,0.0,0.0,233.948330338,0.0,0.0,0.0
2009-11-29,1.737767035,0.00164822227455,0.00235460324935,0.00423828584883,0.0,0.0,0.0,1166.31192617,388.749163269,0.0,291.664985916,291.664985916,389.134850403,973.714099077,0.0,0.0,0.0,0.0,0.0,194.157192679,0.0,1101.52946263,195.316433029,194.605303277,194.491816002,0.0,194.684953094,0.0,388.047449978,8272.37866786,291.586157012,194.722570709,0.0,195.725079401,260.145161991,0.0,583.878514215,194.663919332,583.827575616,194.979394947,0.0,0.0,388.548450689,0.0,194.626171405,193.748686412,0.0,649.783876013,0.0,194.95753007,0.0,0.0,194.812722099,195.075222512,1559.59245812,0.0,0.0,194.316017434,715.000346636,194.157192679,194.605303277,1491.20102654,0.0,0.0,846.244372173,0.0,387.888911037,0.0,0.0,0.0,0.0,0.0,390.601678723,0.0,195.316433029,194.7267095,195.316433029,195.547416697,0.0,0.0,0.0,259.595320351,0.0,0.0,0.0,0.0
2009-12-06,1.421664141,0.000765696784074,0.00127616130679,0.00587034201123,0.0,0.0,0.0,1080.968935,0.0,0.0,191.32290696,191.32290696,0.0,445.828990301,0.0,0.0,0.0,0.0,0.0,0.0,192.366170312,571.453522358,192.5411547,191.207686902,0.0,0.0,0.0,0.0,191.651372583,9524.13463068,192.113740189,379.05722747,0.0,0.0,288.664181126,193.455561028,255.27208966,192.055822269,575.703289394,0.0,0.0,191.385686785,476.712557943,0.0,0.0,188.674111419,0.0,829.56503386,0.0,0.0,0.0,0.0,190.553798297,379.51557962,1084.66020138,0.0,0.0,0.0,574.060201625,0.0,191.207686902,1336.08341406,0.0,0.0,638.679625595,0.0,570.598161375,191.901096465,192.307912841,192.345761614,0.0,0.0,763.813120628,0.0,192.92827452,0.0,192.92827452,0.0,0.0,189.128884812,0.0,287.851241061,578.434469552,189.815170454,191.785179161,0.0
