Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.918,0.897,0.949,0.588,0.909,0.933,0.946,0.921
ARGO,,,0.907,0.931,0.934,0.814,0.969,0.949,0.939,0.924
ARGO_top10,,,0.918,0.937,0.937,0.787,0.972,0.952,0.943,0.931
ARGO_all_weighted1,,,0.877,0.944,0.933,0.704,0.971,0.934,0.925,0.918
ARGO_all_weighted2,,,0.922,0.934,0.948,0.777,0.957,0.95,0.948,0.935
ARGO_all_weighted_more_ar,,,0.946,0.937,0.95,0.78,0.96,0.955,0.954,0.945
ARGO_top10_weighted1,,,0.932,0.95,0.933,0.721,0.971,0.949,0.944,0.939
ARGO_top10_weighted2,,,0.921,0.934,0.943,0.763,0.965,0.951,0.946,0.933
ARGO_top10_weighted_more_ar,,,0.947,0.939,0.95,0.764,0.966,0.957,0.955,0.945
ARGO_obs_weight,,,0.895,0.94,0.939,0.806,0.971,0.95,0.94,0.925
ARGO_top10_obs,,,0.909,0.941,0.925,0.817,0.973,0.949,0.938,0.925
ARGO_top10_weighted2_obs,,,0.915,0.942,0.938,0.795,0.964,0.95,0.944,0.931
GFT,,,0.88,0.954,0.957,,,0.886,0.886,0.931
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.835,0.78,0.865,0.646,1.153,0.728,0.682,0.827
ARGO,,,0.914,0.678,0.984,0.362,0.651,0.642,0.724,0.859
ARGO_top10,,,0.881,0.661,0.966,0.4,0.624,0.624,0.704,0.836
ARGO_all_weighted1,,,1.064,0.786,1.053,0.628,0.641,0.735,0.815,0.968
ARGO_all_weighted2,,,0.87,0.699,0.883,0.483,0.791,0.641,0.682,0.817
ARGO_all_weighted_more_ar,,,0.679,0.735,0.84,0.479,0.774,0.604,0.631,0.751
ARGO_top10_weighted1,,,0.837,0.686,0.974,0.572,0.647,0.649,0.706,0.832
ARGO_top10_weighted2,,,0.872,0.697,0.919,0.504,0.709,0.638,0.692,0.83
ARGO_top10_weighted_more_ar,,,0.682,0.69,0.849,0.498,0.711,0.591,0.623,0.741
ARGO_obs_weight,,,0.987,0.653,0.935,0.374,0.639,0.642,0.727,0.858
ARGO_top10_obs,,,0.936,0.647,1.032,0.372,0.626,0.645,0.737,0.871
ARGO_top10_weighted2_obs,,,0.937,0.667,0.942,0.439,0.731,0.647,0.71,0.849
GFT,,,2.558,0.582,0.957,,,1.322,1.322,1.366
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.391,0.286,0.189,0.307,0.251,0.421,0.421,0.289
ARGO,,,0.354,0.293,0.23,0.193,0.183,0.468,0.502,0.292
ARGO_top10,,,0.312,0.26,0.218,0.22,0.174,0.446,0.463,0.263
ARGO_all_weighted1,,,0.422,0.363,0.341,0.361,0.174,0.643,0.622,0.375
ARGO_all_weighted2,,,0.312,0.25,0.229,0.244,0.19,0.443,0.43,0.264
ARGO_all_weighted_more_ar,,,0.303,0.333,0.224,0.252,0.194,0.459,0.479,0.287
ARGO_top10_weighted1,,,0.296,0.303,0.236,0.321,0.18,0.536,0.529,0.278
ARGO_top10_weighted2,,,0.306,0.246,0.238,0.258,0.181,0.442,0.421,0.263
ARGO_top10_weighted_more_ar,,,0.26,0.317,0.218,0.264,0.182,0.442,0.45,0.265
ARGO_obs_weight,,,0.399,0.27,0.22,0.194,0.185,0.469,0.515,0.297
ARGO_top10_obs,,,0.23,0.258,0.222,0.211,0.179,0.437,0.451,0.236
ARGO_top10_weighted2_obs,,,0.324,0.242,0.245,0.233,0.176,0.435,0.419,0.27
GFT,,,0.882,0.292,0.285,,,0.688,0.688,0.486
