Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.88,0.954,0.957,,,0.886,0.886,0.931
AR52,,,0.918,0.897,0.949,0.588,0.909,0.933,0.946,0.921
ARGO,,,0.946,0.937,0.95,0.78,0.96,0.955,0.954,0.945
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.558,0.582,0.957,,,1.322,1.322,1.366
AR52,,,0.835,0.78,0.865,0.646,1.153,0.728,0.682,0.827
ARGO,,,0.679,0.735,0.84,0.479,0.774,0.604,0.631,0.751
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.882,0.292,0.285,,,0.688,0.688,0.486
AR52,,,0.391,0.286,0.189,0.307,0.251,0.421,0.421,0.289
ARGO,,,0.303,0.333,0.224,0.252,0.194,0.459,0.479,0.287
