Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.957,,,0.962,0.962,0.962
AR52,0.949,0.588,0.909,0.934,0.962,0.922
ARGO(gt),0.954,0.72,0.961,0.958,0.964,0.96
"ARGO(gt,ath)",0.951,0.765,0.962,0.958,0.962,0.96
Net,0.955,0.848,0.927,0.955,0.966,0.941
ARGONet,0.96,0.86,0.961,0.965,0.97,0.963
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.957,,,0.829,0.829,0.829
AR52,0.865,0.646,1.153,0.781,0.748,0.967
ARGO(gt),0.836,0.52,0.757,0.623,0.725,0.69
"ARGO(gt,ath)",0.848,0.498,0.759,0.623,0.734,0.691
Net,0.825,0.324,0.979,0.656,0.712,0.817
ARGONet,0.779,0.343,0.769,0.573,0.673,0.671
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.285,,,0.347,0.347,0.347
AR52,0.189,0.307,0.251,0.37,0.266,0.31
ARGO(gt),0.216,0.248,0.201,0.402,0.282,0.302
"ARGO(gt,ath)",0.23,0.252,0.191,0.409,0.318,0.3
Net,0.195,0.165,0.226,0.293,0.277,0.26
ARGONet,0.191,0.203,0.205,0.315,0.264,0.26
