Week,KY,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,contagious flu,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,symptoms of flu,cold,type b flu,treatment for flu,flu shots,high fever,symptoms of rsv,do i have the flu,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,tamiflu dose,robitussin,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,type b flu symptoms,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,is the flu contagious,type a flu symptoms,flu contagious period,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu a and b,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,what is type a flu,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv
2009-10-04,10.12332045,0.0396980710092,0.0521386636847,0.0946323734973,179.672973994,0.0,0.0,0.0,0.0,1010.35513508,474.654586673,357.297489565,889.947741035,889.947741035,0.0,445.313794182,178.028927933,1071.92709871,177.334067068,267.337776839,0.0,710.303955861,0.0,0.0,0.0,179.02237783,178.842376265,8129.29113477,714.269071109,178.914402934,178.031177099,357.297489565,0.0,177.630617985,355.310261114,2910.20721161,6330.16783895,0.0,178.282482956,1127.69551418,177.601539266,0.0,0.0,179.02237783,415.454767811,535.979183165,477.406702737,355.339231858,179.455583826,357.090261109,177.844953572,176.960956617,0.0,358.369169512,177.577114787,237.712326935,0.0,177.547980297,267.392381013,267.93756929,178.383062357,0.0,0.0,415.994068218,0.0,2491.5532085,178.752684582,0.0,267.39818294,710.303955861,0.0,0.0,0.0,237.568954058,178.591258317,1367.64949715,0.0,237.748248689,0.0,536.834094931,533.427494629,179.02237783,178.914402934,952.775707861,0.0,3444.49162875,1842.5075187,177.630617985,178.431812151,0.0,266.23685706,267.531131339,0.0,177.601539266,2553.97003778,177.791321198,178.968374096,357.476781977,0.0,177.791321198,177.911331276,0.0,414.954336948,0.0,179.238719072,594.703749485,177.669712847,267.365820866,0.0,177.630617985,0.0
2009-10-11,5.202038779,0.048309178744,0.063193628411,0.111502807155,0.0,0.0,0.0,0.0,0.0,932.150028359,437.933329632,175.164827385,698.176237195,698.176237195,260.4665369,757.464813104,173.844926481,1048.28642337,0.0,437.596442105,264.055496294,698.633098736,0.0,0.0,173.6655585,176.293011652,174.613687118,6517.29565687,408.505216058,174.837758436,174.603683075,175.164827385,0.0,407.502022573,173.818827963,1980.23026436,7850.4811843,0.0,173.299616625,1513.93573198,175.310865703,0.0,176.880121288,290.604977167,291.025407883,407.872412534,292.507163029,0.0,353.439226022,0.0,173.949794495,260.258013953,0.0,175.337299776,349.630263353,291.32392121,353.760242576,0.0,0.0,173.560846074,0.0,0.0,0.0,407.680146394,0.0,2152.76411434,174.917037642,0.0,173.822864259,698.633098736,0.0,0.0,0.0,174.445432003,351.736929931,1632.68150816,0.0,0.0,0.0,291.852831654,697.390006362,176.293011652,174.837758436,1283.92526603,0.0,3611.54023866,1397.58624261,0.0,260.597346348,0.0,260.544880716,176.239831256,0.0,0.0,2155.69339768,348.049656376,173.875362859,408.999742446,352.479662513,348.049656376,174.107699052,0.0,232.28816998,0.0,0.0,524.172870858,174.28746753,351.842842887,0.0,407.502022573,0.0
2009-10-18,5.80268881,0.0597701149425,0.0791826309068,0.141634738186,0.0,0.0,0.0,0.0,0.0,1149.85037833,803.804175522,518.03021061,573.92802207,573.92802207,257.919636666,689.164262228,345.347597543,576.291455524,172.725997281,344.64241921,174.152171082,401.841713215,0.0,0.0,172.507411486,258.958923289,346.832853574,8840.2347384,518.290051109,345.660223726,0.0,518.03021061,0.0,688.93532297,344.139244447,2527.52900515,7221.51946948,0.0,258.178472595,1206.00919223,257.620848463,0.0,0.0,172.035340542,574.395742567,690.324905123,288.590801688,171.884453635,0.0,520.092456624,171.335622064,171.842011536,173.731005009,517.187769216,173.993994723,259.349494481,171.232314484,0.0,345.608952471,172.399505054,0.0,172.960600955,0.0,632.465978431,0.0,3613.55698272,173.521184955,0.0,345.745786579,401.841713215,0.0,170.974589748,173.103061617,257.698226026,0.0,1610.71279105,0.0,432.309985089,0.0,517.682312099,917.671990511,258.958923289,345.660223726,1555.06676416,0.0,3389.60877196,2068.6841749,172.311810332,229.685590503,0.0,0.0,0.0,172.998845445,173.364152208,2758.34212745,173.207403427,172.946784403,258.582173551,172.830064653,173.207403427,230.136795291,0.0,458.300508511,0.0,172.559528528,258.114197512,0.0,171.987967308,0.0,688.93532297,0.0
2009-10-25,4.904061799,0.0662215560703,0.0745333151656,0.133669437253,0.0,0.0,0.0,0.0,0.0,1005.42592306,166.312777768,503.169881763,501.500082192,501.500082192,278.013699274,724.520613005,166.387896396,751.806889368,0.0,167.609708891,0.0,332.876030401,0.0,0.0,0.0,332.374560033,0.0,7633.9538355,167.705914384,418.934733557,0.0,503.169881763,0.0,222.967373588,168.646642273,2454.02143196,7629.02208085,0.0,169.155841073,1003.53828647,166.187280016,0.0,0.0,389.74904351,390.184733117,419.238602779,336.106533387,332.574966762,0.0,166.53856258,168.697424159,498.488840776,0.0,249.770071899,0.0,333.278186982,169.616756171,0.0,167.508327932,251.756616111,0.0,166.53856258,0.0,417.114166431,0.0,2006.05647455,0.0,0.0,499.615563745,332.876030401,0.0,166.388319962,0.0,249.770253948,166.137223607,2345.36741763,168.748236636,169.002758863,0.0,335.277268944,835.48331283,332.374560033,418.934733557,1397.43492333,166.840805274,3737.1028321,1338.95187421,166.187280016,169.002758863,0.0,0.0,0.0,0.0,0.0,3124.50641512,251.465424183,0.0,335.733258054,167.96422602,251.465424183,223.388545048,252.061036959,334.739531849,166.890971872,0.0,614.163084327,251.870401305,166.538541905,0.0,222.967373588,0.0
2009-11-01,3.94198363,0.0474098757952,0.0602847621933,0.106785822478,338.635783942,0.0,0.0,0.0,166.902153973,1006.61952683,169.222215846,251.111464154,390.906220396,390.906220396,168.556540343,894.474867021,330.372846246,617.121051705,0.0,253.35727113,0.0,675.022854558,0.0,0.0,0.0,164.987343372,169.988890714,4915.03984937,336.198900674,337.97723714,0.0,251.111464154,0.0,168.912106985,279.026733789,1229.63675373,7534.02646696,0.0,168.937718439,782.402399097,0.0,0.0,0.0,253.17798546,584.85311071,391.953932857,169.26663012,169.324372331,0.0,280.293529437,169.273278676,167.483686502,0.0,223.675989641,168.857650042,168.653900238,250.909279441,0.0,165.136608158,279.280378494,0.0,169.222215846,0.0,506.306594559,0.0,1563.91489364,168.912291378,0.0,250.770360298,675.022854558,168.603039592,169.426652229,0.0,422.726739283,253.050390875,1623.14214164,0.0,0.0,0.0,224.065193348,613.859735559,164.987343372,337.97723714,1457.07004051,0.0,2684.01264316,1173.88496338,167.129687251,168.653900238,0.0,166.651037216,0.0,0.0,0.0,1509.27015903,168.552209613,0.0,224.336120987,0.0,168.552209613,167.888096123,167.129883761,557.935687994,0.0,169.116168769,418.101712963,0.0,250.845665481,0.0,168.912106985,0.0
2009-11-08,2.936841531,0.0288602402578,0.0360386756519,0.073542338119,166.985596853,0.0,0.0,0.0,0.0,1273.33495776,249.334607134,332.674633544,442.077876921,442.077876921,330.754090386,608.543237179,329.423738464,499.103673013,166.349214949,331.960530289,165.61029761,165.517868504,0.0,0.0,0.0,166.349214949,0.0,3979.25173994,166.076903601,166.399350336,221.398246758,332.674633544,0.0,166.349214949,331.052935168,1604.57062744,5620.03187087,0.0,0.0,940.009672337,499.047644846,0.0,167.104432329,164.31568915,331.202710286,276.768651242,250.694066189,221.047518239,0.0,167.205646401,164.910676558,221.047868693,0.0,333.063389193,0.0,165.060097285,0.0,0.0,166.499711826,165.744083296,0.0,0.0,0.0,332.306617497,0.0,1988.51598008,165.567791061,0.0,165.718645757,165.517868504,0.0,0.0,166.600194452,331.452456474,494.582789242,1218.49832135,0.0,0.0,0.0,0.0,939.577462545,166.349214949,166.399350336,1053.91536787,0.0,2765.62700277,1106.43946628,0.0,166.330751375,0.0,0.0,166.330751375,166.65048126,0.0,2268.74729726,166.230461504,0.0,0.0,0.0,166.230461504,165.259746632,329.523052223,332.029796852,0.0,164.960453399,166.077836078,0.0,166.365300526,0.0,166.349214949,0.0
2009-11-15,2.477147049,0.0228367251825,0.0284293925742,0.0567034332764,0.0,0.0,0.0,163.015364048,162.806320418,705.292685864,162.622674222,486.596379833,433.287194818,433.287194818,162.427037922,705.232143328,162.708185204,489.545522389,0.0,163.447096127,0.0,325.576275066,0.0,0.0,0.0,486.449549302,162.985927246,3141.60667414,408.101999154,326.005892818,0.0,486.596379833,0.0,162.788063555,162.904574082,921.649037441,6052.18120192,0.0,162.708185204,704.768136012,0.0,163.249397795,0.0,487.039394269,324.758949207,325.772507973,163.756792326,162.953745399,0.0,325.710864861,162.917013904,325.478681371,0.0,162.904574082,163.447096127,162.100935786,162.747954181,0.0,270.89267188,162.512269268,163.409954944,162.855432431,0.0,161.662034335,0.0,1029.42877226,0.0,0.0,0.0,325.576275066,0.0,0.0,0.0,243.838679297,162.427749554,1574.09197762,0.0,163.163112112,0.0,271.531407971,865.761421908,486.449549302,326.005892818,1358.2815577,0.0,1898.16066999,487.724995371,162.720669205,162.561204007,0.0,162.561204007,0.0,162.512269268,161.710683758,1626.59713212,162.003196301,162.100935786,163.181501595,0.0,162.003196301,163.249397795,0.0,648.370504478,0.0,326.01830811,325.46081888,0.0,0.0,0.0,162.788063555,162.904574082
2009-11-22,1.725861265,0.0172133809678,0.0235466060409,0.0430334524196,0.0,0.0,0.0,0.0,0.0,569.796096706,189.62416581,190.036808035,315.851144629,315.851144629,189.236048037,568.480524714,189.452715389,190.321824409,0.0,0.0,190.681375944,0.0,0.0,0.0,0.0,189.281574725,0.0,1200.50509645,190.140384047,0.0,189.684589707,190.036808035,0.0,0.0,189.303786232,506.056316966,7565.31094863,0.0,0.0,189.692555118,0.0,0.0,0.0,188.997026356,252.856354775,190.1228103,190.71726628,189.654441979,0.0,284.854894799,0.0,188.940219315,190.219957006,0.0,0.0,0.0,189.5669812,0.0,473.617515045,189.224596526,0.0,0.0,0.0,190.082887711,0.0,694.033911116,189.665659953,0.0,0.0,0.0,0.0,0.0,0.0,474.302840559,189.442314653,1456.07174898,0.0,0.0,0.0,284.782688655,441.481972073,189.281574725,0.0,1457.58750862,0.0,759.122884117,379.247477097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.370206274,0.0,189.167652621,0.0,0.0,0.0,316.672329998,189.95118677,377.887268557,0.0,0.0,190.03656498,0.0,0.0,0.0,0.0,189.570218535
2009-11-29,1.601792215,0.0079632878931,0.0117424753678,0.0337427453098,0.0,0.0,0.0,157.33614968,313.20199639,523.823667463,157.28247739,157.535053964,156.684039141,156.684039141,312.520260505,680.552425848,156.600998195,0.0,0.0,0.0,0.0,157.098696994,0.0,0.0,0.0,0.0,157.861080722,1464.15844376,0.0,0.0,156.600998195,157.535053964,0.0,0.0,156.518920558,418.581333401,7579.42222095,0.0,157.146130175,418.391803691,157.28247739,0.0,0.0,156.271014153,314.091212378,0.0,0.0,156.625935342,0.0,236.081649857,0.0,261.052924406,0.0,0.0,157.107907641,157.003916483,157.404833989,0.0,235.549390362,315.244084276,0.0,0.0,0.0,156.578815626,0.0,574.992975754,157.424943402,157.478966154,0.0,157.098696994,0.0,0.0,0.0,470.359308966,0.0,943.11559324,0.0,0.0,0.0,157.478966154,469.643899662,0.0,0.0,1731.00158882,0.0,732.900492022,418.725493785,157.377426063,313.996635078,156.873185417,0.0,0.0,0.0,0.0,785.047500306,157.140269002,0.0,157.122369557,0.0,157.140269002,156.553772321,157.574321266,365.567459405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-06,1.388888889,0.00473061760841,0.00762155059133,0.0215505913272,0.0,0.0,0.0,0.0,156.241436836,997.62503953,157.812296576,0.0,157.9639928,157.9639928,0.0,733.574180498,0.0,157.402808384,157.074124045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.663799998,236.175607863,473.749153814,0.0,0.0,0.0,156.194319394,0.0,367.316390358,8756.71034396,0.0,157.726238446,157.717142946,157.145337815,0.0,0.0,0.0,157.192527576,0.0,317.748067992,157.907565092,0.0,313.523222222,157.859916461,0.0,0.0,0.0,236.009342568,0.0,315.927985601,0.0,316.02325942,314.959520259,0.0,0.0,0.0,157.462745695,157.916384605,576.271122942,0.0,0.0,158.202465012,0.0,0.0,0.0,0.0,367.300399424,157.821254253,1103.08974211,0.0,0.0,0.0,157.620585896,628.552453651,0.0,473.749153814,1262.68497177,0.0,472.037584901,471.794233846,0.0,157.168818296,235.83623855,158.01162971,0.0,0.0,0.0,785.607498981,157.272001631,156.241436836,156.761611111,0.0,157.272001631,156.524739532,0.0,235.221350981,0.0,0.0,158.002948701,0.0,0.0,0.0,156.194319394,156.053137424
