Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.91,0.908,0.92,0.8,0.896,0.935,0.929,0.913
ARGO,,,0.862,0.955,0.952,0.858,0.914,0.943,0.931,0.923
ARGO_top10,,,0.93,0.963,0.949,0.863,0.903,0.939,0.95,0.947
ARGO_all_weighted1,,,0.855,0.948,0.922,0.757,0.872,0.91,0.91,0.908
ARGO_all_weighted2,,,0.921,0.963,0.949,0.841,0.919,0.946,0.948,0.944
ARGO_all_weighted_more_ar,,,0.936,0.966,0.938,0.836,0.911,0.943,0.947,0.947
ARGO_top10_weighted1,,,0.888,0.959,0.925,0.771,0.859,0.902,0.921,0.924
ARGO_top10_weighted2,,,0.921,0.967,0.949,0.841,0.918,0.946,0.948,0.946
ARGO_top10_weighted_more_ar,,,0.937,0.966,0.946,0.837,0.908,0.941,0.951,0.95
ARGO_obs_weight,,,0.862,0.952,0.955,0.864,0.933,0.954,0.935,0.923
ARGO_top10_obs,,,0.934,0.961,0.945,0.866,0.926,0.951,0.952,0.947
ARGO_top10_weighted2_obs,,,0.926,0.96,0.949,0.854,0.92,0.948,0.951,0.945
GFT,,,0.902,0.922,0.959,,,0.856,0.856,0.928
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.225,0.221,0.374,0.394,1.28,0.549,0.241,0.273
ARGO,,,0.329,0.162,0.311,0.359,1.153,0.506,0.238,0.267
ARGO_top10,,,0.236,0.144,0.305,0.377,1.24,0.526,0.204,0.228
ARGO_all_weighted1,,,0.327,0.168,0.406,0.586,1.486,0.648,0.27,0.301
ARGO_all_weighted2,,,0.255,0.147,0.302,0.389,1.145,0.496,0.208,0.235
ARGO_all_weighted_more_ar,,,0.217,0.137,0.336,0.399,1.196,0.514,0.209,0.23
ARGO_top10_weighted1,,,0.307,0.151,0.385,0.565,1.557,0.664,0.253,0.281
ARGO_top10_weighted2,,,0.252,0.14,0.302,0.389,1.145,0.496,0.206,0.232
ARGO_top10_weighted_more_ar,,,0.214,0.138,0.316,0.398,1.207,0.516,0.201,0.223
ARGO_obs_weight,,,0.32,0.166,0.298,0.346,1.016,0.459,0.232,0.261
ARGO_top10_obs,,,0.218,0.147,0.308,0.357,1.09,0.473,0.2,0.224
ARGO_top10_weighted2_obs,,,0.229,0.153,0.299,0.365,1.139,0.49,0.201,0.227
GFT,,,1.449,0.311,0.479,,,0.757,0.757,0.746
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.515,0.54,0.477,0.378,0.399,1.122,1.103,0.511
ARGO,,,0.758,0.556,0.435,0.277,0.35,1.389,1.64,0.583
ARGO_top10,,,0.746,0.431,0.53,0.267,0.367,1.091,1.344,0.569
ARGO_all_weighted1,,,0.557,0.542,0.472,0.362,0.439,1.069,1.095,0.524
ARGO_all_weighted2,,,0.617,0.461,0.429,0.261,0.327,0.819,0.924,0.502
ARGO_all_weighted_more_ar,,,0.386,0.388,0.484,0.272,0.318,0.772,0.856,0.419
ARGO_top10_weighted1,,,0.651,0.462,0.473,0.361,0.411,0.895,1.059,0.529
ARGO_top10_weighted2,,,0.654,0.432,0.421,0.261,0.322,0.819,0.924,0.502
ARGO_top10_weighted_more_ar,,,0.425,0.37,0.452,0.268,0.321,0.779,0.87,0.415
ARGO_obs_weight,,,0.782,0.559,0.447,0.282,0.352,1.285,1.513,0.596
ARGO_top10_obs,,,0.664,0.429,0.469,0.255,0.341,1.075,1.256,0.521
ARGO_top10_weighted2_obs,,,0.585,0.43,0.426,0.255,0.323,0.786,0.883,0.48
GFT,,,2.661,0.531,0.854,,,2.075,2.075,1.349
