Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.902,0.922,0.959,,,0.856,0.856,0.928
AR52,,,0.91,0.908,0.92,0.8,0.896,0.935,0.929,0.913
ARGO,,,0.937,0.966,0.946,0.837,0.908,0.941,0.951,0.95
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.449,0.311,0.479,,,0.757,0.757,0.746
AR52,,,0.225,0.221,0.374,0.394,1.28,0.549,0.241,0.273
ARGO,,,0.214,0.138,0.316,0.398,1.207,0.516,0.201,0.223
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.661,0.531,0.854,,,2.075,2.075,1.349
AR52,,,0.515,0.54,0.477,0.378,0.399,1.122,1.103,0.511
ARGO,,,0.425,0.37,0.452,0.268,0.321,0.779,0.87,0.415
