Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.959,,,0.963,0.963,0.963
AR52,0.92,0.8,0.896,0.931,0.929,0.913
ARGO(gt),0.944,0.846,0.895,0.934,0.95,0.914
"ARGO(gt,ath)",0.946,0.837,0.908,0.938,0.952,0.923
Net,0.924,0.926,0.893,0.934,0.933,0.913
ARGONet,0.94,0.923,0.907,0.941,0.947,0.924
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.479,,,0.422,0.422,0.422
AR52,0.374,0.394,1.28,0.7,0.329,0.99
ARGO(gt),0.309,0.357,1.259,0.677,0.275,0.968
"ARGO(gt,ath)",0.316,0.398,1.207,0.663,0.278,0.935
Net,0.359,0.283,1.252,0.677,0.317,0.964
ARGONet,0.325,0.276,1.197,0.644,0.288,0.921
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.854,,,1.626,1.626,1.626
AR52,0.477,0.378,0.399,0.955,0.545,0.677
ARGO(gt),0.588,0.285,0.387,1.074,1.523,0.731
"ARGO(gt,ath)",0.452,0.268,0.321,0.783,1.08,0.552
Net,0.45,0.24,0.362,1.003,1.197,0.682
ARGONet,0.461,0.209,0.324,0.857,1.323,0.591
