Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.922,0.852,0.94,0.615,0.933,0.937,0.938,0.905
ARGO,,,0.963,0.933,0.964,0.802,0.943,0.961,0.963,0.953
ARGO_top10,,,0.968,0.935,0.965,0.824,0.942,0.962,0.963,0.956
ARGO_all_weighted1,,,0.956,0.956,0.957,0.801,0.943,0.959,0.961,0.956
ARGO_all_weighted2,,,0.952,0.935,0.958,0.863,0.94,0.956,0.956,0.948
ARGO_all_weighted_more_ar,,,0.957,0.935,0.97,0.826,0.935,0.958,0.959,0.954
ARGO_top10_weighted1,,,0.96,0.957,0.959,0.805,0.938,0.959,0.962,0.959
ARGO_top10_weighted2,,,0.958,0.934,0.961,0.845,0.939,0.958,0.959,0.951
ARGO_top10_weighted_more_ar,,,0.959,0.935,0.97,0.809,0.934,0.959,0.961,0.954
ARGO_obs_weight,,,0.963,0.925,0.966,0.827,0.945,0.961,0.962,0.951
ARGO_top10_obs,,,0.963,0.931,0.967,0.839,0.947,0.962,0.963,0.953
ARGO_top10_weighted2_obs,,,0.957,0.937,0.96,0.875,0.946,0.961,0.961,0.951
GFT,,,0.904,0.947,0.978,,,0.856,0.856,0.943
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.762,0.939,0.566,0.501,0.465,0.563,0.638,0.756
ARGO,,,0.686,0.658,0.457,0.33,0.438,0.466,0.529,0.601
ARGO_top10,,,0.711,0.631,0.449,0.321,0.443,0.458,0.517,0.597
ARGO_all_weighted1,,,0.81,0.536,0.529,0.318,0.435,0.486,0.554,0.625
ARGO_all_weighted2,,,0.896,0.63,0.551,0.27,0.452,0.514,0.6,0.692
ARGO_all_weighted_more_ar,,,0.862,0.645,0.446,0.303,0.456,0.492,0.567,0.651
ARGO_top10_weighted1,,,0.824,0.54,0.524,0.327,0.472,0.489,0.551,0.629
ARGO_top10_weighted2,,,0.897,0.637,0.529,0.283,0.462,0.51,0.591,0.687
ARGO_top10_weighted_more_ar,,,0.835,0.639,0.439,0.315,0.466,0.485,0.553,0.637
ARGO_obs_weight,,,0.686,0.687,0.451,0.306,0.431,0.465,0.532,0.608
ARGO_top10_obs,,,0.713,0.648,0.443,0.301,0.428,0.455,0.518,0.601
ARGO_top10_weighted2_obs,,,0.825,0.623,0.562,0.26,0.44,0.49,0.57,0.67
GFT,,,4.331,0.699,0.477,,,2.074,2.074,1.836
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.135,0.118,0.094,0.163,0.109,0.119,0.12,0.115
ARGO,,,0.11,0.12,0.099,0.121,0.116,0.131,0.143,0.11
ARGO_top10,,,0.118,0.094,0.08,0.121,0.109,0.119,0.123,0.097
ARGO_all_weighted1,,,0.126,0.097,0.104,0.123,0.119,0.138,0.145,0.109
ARGO_all_weighted2,,,0.125,0.092,0.098,0.102,0.112,0.124,0.136,0.105
ARGO_all_weighted_more_ar,,,0.134,0.111,0.077,0.112,0.116,0.12,0.13,0.107
ARGO_top10_weighted1,,,0.136,0.094,0.093,0.129,0.12,0.133,0.137,0.108
ARGO_top10_weighted2,,,0.127,0.084,0.088,0.106,0.114,0.117,0.123,0.099
ARGO_top10_weighted_more_ar,,,0.133,0.1,0.074,0.116,0.115,0.118,0.124,0.102
ARGO_obs_weight,,,0.12,0.117,0.091,0.109,0.115,0.125,0.136,0.109
ARGO_top10_obs,,,0.114,0.096,0.075,0.113,0.104,0.113,0.117,0.095
ARGO_top10_weighted2_obs,,,0.128,0.088,0.088,0.1,0.106,0.114,0.121,0.102
GFT,,,0.667,0.154,0.103,,,0.252,0.252,0.308
