Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.904,0.947,0.978,,,0.856,0.856,0.943
AR52,,,0.922,0.852,0.94,0.615,0.933,0.937,0.938,0.905
ARGO,,,0.96,0.957,0.959,0.805,0.938,0.959,0.962,0.959
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,4.331,0.699,0.477,,,2.074,2.074,1.836
AR52,,,0.762,0.939,0.566,0.501,0.465,0.563,0.638,0.756
ARGO,,,0.824,0.54,0.524,0.327,0.472,0.489,0.551,0.629
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.667,0.154,0.103,,,0.252,0.252,0.308
AR52,,,0.135,0.118,0.094,0.163,0.109,0.119,0.12,0.115
ARGO,,,0.136,0.094,0.093,0.129,0.12,0.133,0.137,0.108
