Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.978,,,0.983,0.983,0.983
AR52,0.94,0.615,0.933,0.948,0.961,0.941
ARGO(gt),0.972,0.661,0.928,0.962,0.979,0.945
"ARGO(gt,ath)",0.96,0.825,0.949,0.965,0.974,0.957
Net,0.945,0.703,0.923,0.938,0.952,0.93
ARGONet,0.955,0.796,0.958,0.963,0.968,0.96
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.477,,,0.416,0.416,0.416
AR52,0.566,0.501,0.465,0.442,0.495,0.454
ARGO(gt),0.465,0.413,0.482,0.397,0.411,0.439
"ARGO(gt,ath)",0.509,0.33,0.435,0.383,0.453,0.409
Net,0.727,0.425,0.548,0.509,0.639,0.529
ARGONet,0.53,0.364,0.392,0.386,0.47,0.389
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.103,,,0.102,0.102,0.102
AR52,0.094,0.163,0.109,0.114,0.106,0.111
ARGO(gt),0.082,0.142,0.116,0.109,0.095,0.113
"ARGO(gt,ath)",0.108,0.122,0.11,0.117,0.127,0.114
Net,0.115,0.144,0.127,0.137,0.138,0.132
ARGONet,0.089,0.134,0.101,0.114,0.111,0.107
