Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.825,0.817,0.86,0.868,0.903,0.895,0.885,0.834
ARGO,,,0.962,0.869,0.963,0.954,0.978,0.96,0.957,0.931
ARGO_top10,,,0.965,0.938,0.972,0.953,0.988,0.966,0.966,0.958
ARGO_all_weighted1,,,0.969,0.964,0.973,0.96,0.99,0.966,0.965,0.969
ARGO_all_weighted2,,,0.968,0.956,0.969,0.961,0.985,0.965,0.965,0.964
ARGO_all_weighted_more_ar,,,0.966,0.958,0.966,0.963,0.988,0.965,0.964,0.963
ARGO_top10_weighted1,,,0.966,0.97,0.97,0.96,0.99,0.966,0.965,0.969
ARGO_top10_weighted2,,,0.966,0.955,0.963,0.962,0.985,0.964,0.963,0.961
ARGO_top10_weighted_more_ar,,,0.965,0.946,0.966,0.963,0.987,0.965,0.964,0.959
ARGO_obs_weight,,,0.961,0.886,0.961,0.958,0.979,0.961,0.958,0.936
ARGO_top10_obs,,,0.964,0.945,0.974,0.951,0.988,0.967,0.967,0.961
ARGO_top10_weighted2_obs,,,0.965,0.939,0.964,0.961,0.986,0.966,0.964,0.956
GFT,,,0.737,0.802,0.931,,,0.711,0.711,0.823
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.492,0.239,0.358,0.251,0.279,0.288,0.315,0.363
ARGO,,,0.301,0.204,0.189,0.161,0.135,0.191,0.211,0.231
ARGO_top10,,,0.294,0.157,0.164,0.16,0.102,0.171,0.187,0.205
ARGO_all_weighted1,,,0.308,0.144,0.165,0.157,0.104,0.176,0.192,0.205
ARGO_all_weighted2,,,0.315,0.147,0.18,0.153,0.12,0.18,0.198,0.214
ARGO_all_weighted_more_ar,,,0.317,0.14,0.189,0.152,0.111,0.18,0.197,0.215
ARGO_top10_weighted1,,,0.298,0.136,0.173,0.156,0.105,0.174,0.189,0.202
ARGO_top10_weighted2,,,0.308,0.158,0.19,0.151,0.119,0.18,0.198,0.218
ARGO_top10_weighted_more_ar,,,0.316,0.155,0.185,0.153,0.113,0.181,0.199,0.219
ARGO_obs_weight,,,0.304,0.195,0.195,0.153,0.134,0.189,0.21,0.231
ARGO_top10_obs,,,0.293,0.149,0.156,0.16,0.103,0.169,0.184,0.199
ARGO_top10_weighted2_obs,,,0.292,0.168,0.187,0.145,0.116,0.174,0.192,0.215
GFT,,,2.409,0.25,0.259,,,1.148,1.148,0.973
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.168,0.135,0.137,0.167,0.15,0.166,0.157,0.147
ARGO,,,0.122,0.137,0.097,0.135,0.087,0.152,0.148,0.119
ARGO_top10,,,0.119,0.096,0.085,0.129,0.076,0.134,0.119,0.1
ARGO_all_weighted1,,,0.126,0.083,0.077,0.124,0.071,0.138,0.125,0.096
ARGO_all_weighted2,,,0.118,0.082,0.077,0.119,0.08,0.136,0.122,0.092
ARGO_all_weighted_more_ar,,,0.126,0.081,0.086,0.117,0.075,0.135,0.118,0.098
ARGO_top10_weighted1,,,0.123,0.082,0.074,0.123,0.072,0.138,0.125,0.093
ARGO_top10_weighted2,,,0.117,0.097,0.082,0.113,0.08,0.135,0.122,0.098
ARGO_top10_weighted_more_ar,,,0.126,0.1,0.081,0.118,0.076,0.138,0.124,0.102
ARGO_obs_weight,,,0.127,0.128,0.103,0.124,0.089,0.147,0.144,0.119
ARGO_top10_obs,,,0.119,0.097,0.081,0.128,0.076,0.132,0.119,0.099
ARGO_top10_weighted2_obs,,,0.112,0.106,0.08,0.109,0.078,0.13,0.119,0.099
GFT,,,0.642,0.157,0.181,,,0.319,0.319,0.327
