Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.737,0.802,0.931,,,0.711,0.711,0.823
AR52,,,0.825,0.817,0.86,0.868,0.903,0.895,0.885,0.834
ARGO,,,0.969,0.964,0.973,0.96,0.99,0.966,0.965,0.969
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.409,0.25,0.259,,,1.148,1.148,0.973
AR52,,,0.492,0.239,0.358,0.251,0.279,0.288,0.315,0.363
ARGO,,,0.308,0.144,0.165,0.157,0.104,0.176,0.192,0.205
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.642,0.157,0.181,,,0.319,0.319,0.327
AR52,,,0.168,0.135,0.137,0.167,0.15,0.166,0.157,0.147
ARGO,,,0.126,0.083,0.077,0.124,0.071,0.138,0.125,0.096
