Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.931,,,0.946,0.946,0.946
AR52,0.86,0.868,0.903,0.909,0.891,0.906
ARGO(gt),0.946,0.921,0.951,0.949,0.94,0.95
"ARGO(gt,ath)",0.97,0.96,0.99,0.975,0.974,0.982
Net,0.906,0.916,0.934,0.937,0.926,0.935
ARGONet,0.966,0.929,0.976,0.967,0.97,0.971
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.259,,,0.226,0.226,0.226
AR52,0.358,0.251,0.279,0.264,0.312,0.272
ARGO(gt),0.277,0.194,0.194,0.203,0.245,0.199
"ARGO(gt,ath)",0.173,0.156,0.105,0.15,0.159,0.128
Net,0.296,0.2,0.227,0.223,0.259,0.225
ARGONet,0.194,0.185,0.139,0.164,0.177,0.151
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.181,,,0.159,0.159,0.159
AR52,0.137,0.167,0.15,0.165,0.131,0.157
ARGO(gt),0.161,0.139,0.138,0.159,0.155,0.148
"ARGO(gt,ath)",0.074,0.123,0.072,0.135,0.084,0.104
Net,0.139,0.149,0.13,0.165,0.133,0.148
ARGONet,0.095,0.131,0.088,0.135,0.104,0.111
