Week,MD,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how to reduce fever,how long flu,upper respiratory,strep throat,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,contagious flu,flu care,flu or cold,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,flu incubation,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,cough and fever,flu shots,high fever,flu cold,flu remedies,dangerous fever,do i have the flu,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,robitussin,influenza symptoms,tamiflu dosage,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,is the flu contagious,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu vaccine,cold vs flu,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv
2009-10-04,6.635822868,0.0141587092526,0.0159697069476,0.0368784985183,98.7131382607,0.0,0.0,98.7465822715,0.0,982.328775547,146.904515421,163.882600602,327.369886414,0.0,327.369886414,147.445430643,524.029826212,196.94925743,98.2120542117,97.2469818861,359.830425355,0.0,245.946470264,98.0599986992,0.0,98.8060860872,163.586420995,97.2469818861,0.0,0.0,98.8358648956,98.2965015601,5103.41171,229.446001883,98.1715605249,99.2847107852,163.882600602,0.0,147.208021416,98.178107701,97.2176906265,1636.3754831,6614.92257769,0.0,0.0,3476.06596842,146.986322395,490.11832094,394.136591931,0.0,97.5926313632,228.91276272,425.2759742,196.867442567,327.864307693,0.0,98.1423348737,97.2469818861,0.0,197.891627552,0.0,97.5703545586,97.5703545586,98.4763708669,97.1884170069,0.0,261.876064183,0.0,98.9253091172,443.74527208,0.0,3966.91716799,97.3056173892,0.0,146.934124299,98.8060860872,98.6397443411,148.153270454,97.8280514816,818.218226978,97.1591610114,98.8656616592,196.817979333,0.0,425.078683916,98.8358648956,98.1715605249,1145.19224665,97.1299226241,2452.32123233,1144.73864369,0.0,148.272697734,97.1007018291,0.0,0.0,98.8656616592,0.0,3669.69685242,292.18111003,0.0,294.830541106,0.0,292.18111003,246.823247733,97.857588926,393.041639477,197.850618234,345.239388224,99.0747431189,97.1591610114,0.0,147.208021416,98.3558056335
2009-10-11,5.710760553,0.0299898339546,0.0310064384954,0.0494747543206,0.0,0.0,0.0,0.0,0.0,956.401402585,164.983805015,428.908092325,527.341199021,0.0,527.341199021,197.881427687,658.941533924,99.1898956985,346.345909256,197.954326409,625.705238319,98.9792764847,131.550093795,99.036841928,98.9938931173,165.013988027,246.735248828,197.954326409,0.0,0.0,393.437574364,99.2198624343,6884.51665564,131.877751278,247.455135773,99.1863540686,428.908092325,0.0,494.885816022,197.553182496,197.553182496,1878.30811572,7482.71029943,0.0,98.3001409442,3202.61186972,197.775559708,592.18315009,0.0,0.0,0.0,296.047254935,296.34515824,148.575659574,330.167070606,98.5078381934,164.755475122,98.5078381934,164.516849344,132.137081454,99.036841928,99.3062892005,99.3062892005,131.738493909,0.0,99.0984568112,99.0104747234,0.0,148.654997455,247.032923586,98.9771632044,4687.70345112,148.152898264,0.0,197.253833747,165.013988027,0.0,164.874759673,99.0403331296,1285.07443061,148.460963742,0.0,231.037350028,98.4484066168,691.53143226,393.437574364,247.455135773,1416.22511837,0.0,3324.65879208,1152.26206417,164.775000512,197.934620177,98.8776477304,0.0,99.1300164979,198.020949447,98.6524075937,3661.92561761,0.0,99.126495074,197.930874769,148.12751184,0.0,99.0003914813,197.755349577,494.653048141,98.7565610313,296.951149439,99.2198624343,98.8877798541,0.0,494.885816022,0.0
2009-10-18,7.830826549,0.0460483344219,0.0494774657087,0.0752775963423,96.8467487501,97.1069633286,0.0,0.0,96.4963836657,710.115024638,242.01133609,258.348567041,806.548061559,0.0,806.548061559,129.067733437,355.10557197,0.0,161.174701394,193.76581095,805.944888026,145.513496161,386.366266243,96.6789414637,193.32029079,290.8355206,257.949717384,193.76581095,96.774508752,96.9413390732,96.8140749884,96.9791678339,7705.08719946,516.581143238,387.999372802,194.369388756,258.348567041,0.0,161.134894718,145.323496753,161.124954994,2322.54699294,7293.08173767,0.0,97.0965050001,3554.66066778,289.731280359,611.781731969,193.641399358,0.0,192.702290559,451.065087208,451.298517476,388.021211682,484.689051732,194.075601893,387.565403598,96.7330437242,128.87276079,161.778615337,0.0,193.79599298,0.0,145.133656211,0.0,96.8432710303,322.531557624,96.774508752,194.11683597,580.636883006,96.4382357997,6205.06262332,242.533136195,0.0,194.292825849,290.8355206,145.33793189,290.338951938,145.011162154,1644.76658213,193.203780095,0.0,161.670732098,0.0,902.703577528,96.8140749884,387.999372802,1418.6879807,96.9498778406,3867.2972094,2030.61464883,242.473657013,289.140473911,193.841211069,96.7881779919,96.8543495361,128.989305902,96.4091881383,4682.19218977,96.7857225284,145.157163283,581.823493877,0.0,96.7857225284,226.311480344,145.172459422,451.939811561,144.982020042,451.969128358,96.8542434214,96.7040214943,0.0,161.134894718,0.0
2009-10-25,7.977126519,0.0517071569271,0.0546618516087,0.0743598161523,97.3889755056,0.0,0.0,0.0,145.054247109,739.280235955,484.424052132,289.603593591,482.106551689,96.4213208669,482.106551689,96.1755482605,579.013740284,0.0,143.799147484,96.2769753595,674.503371736,96.5940873059,192.397700732,97.0366487929,160.518218342,387.610053632,192.728391809,96.2769753595,0.0,0.0,144.001385045,97.0366487929,7643.43891001,578.635726085,288.874864207,0.0,289.603593591,0.0,192.30773981,287.858408429,289.694793683,2281.54477065,6590.64025718,0.0,96.9172023827,2382.75389461,96.3244713288,513.192325885,144.597201308,96.5066718422,96.5066718422,289.003105209,417.410171199,515.296512573,387.97552536,96.5669608004,289.390607265,144.480871838,96.2761253032,96.6938044552,96.6688679972,194.156592867,97.3006541857,95.9286639727,0.0,128.552074509,194.131823912,0.0,193.013343684,435.25047526,0.0,4602.8864705,0.0,0.0,192.949575503,387.610053632,96.8322996529,225.003220286,0.0,1703.04792005,128.368126376,192.896965425,289.925232522,96.6545702918,931.570681007,144.001385045,288.874864207,1574.02864818,95.7014217633,3596.34684393,1765.90317448,144.466435815,160.790013813,160.770417276,97.3300768207,97.3595172553,96.4484827124,0.0,4278.42859157,96.4212740713,95.6725525561,289.399757804,0.0,96.4212740713,225.284218818,144.334936223,321.559752963,0.0,579.24636753,96.5087176893,144.262257119,0.0,192.30773981,0.0
2009-11-01,7.488151659,0.0355506399115,0.0379206825723,0.0513509243166,95.6993786619,0.0,0.0,96.4420591233,96.4420591233,1023.1590302,127.933077572,287.943595138,351.41336942,0.0,351.41336942,192.424521685,830.828598007,127.942719044,255.463676317,0.0,415.114871438,191.901628963,143.460223598,0.0,143.589769641,160.01087335,319.461873146,0.0,0.0,0.0,95.5647320898,0.0,4375.28785206,191.856736422,143.589882701,0.0,287.943595138,0.0,95.9218525693,239.034569691,192.245236795,1054.33637758,5944.92436742,0.0,95.3819199269,1792.42668317,127.701768495,191.014317264,192.942409005,95.8639811651,95.9209203879,96.4420591233,414.846326234,192.243167601,335.364705182,0.0,127.615898759,95.2957054769,0.0,143.980156079,0.0,96.2122608423,191.761251119,95.4394829444,0.0,95.6513335412,192.159673143,0.0,0.0,239.924603052,0.0,3264.23754684,143.686721723,96.5587464302,0.0,160.01087335,0.0,143.749056175,96.0363484217,1277.53905713,95.2096467422,0.0,160.030081259,0.0,894.13550789,95.5647320898,143.589882701,1373.13311582,0.0,2394.02174224,1085.4985195,95.6080979566,95.2383157114,95.9508144814,0.0,96.2541576666,0.0,0.0,2781.66916405,143.469637689,96.037805247,95.8660590529,95.3244263043,143.469637689,159.96250285,144.264811798,351.606432642,0.0,287.963047148,96.2385335237,192.76764233,0.0,95.9218525693,0.0
2009-11-08,5.622634709,0.019591565665,0.0210858376224,0.0340361945874,0.0,0.0,0.0,0.0,0.0,665.334184124,95.2732365158,95.2603984199,569.948884162,0.0,569.948884162,0.0,475.454820783,0.0,158.406995669,95.1010040907,348.025183358,94.7994228747,95.1583456668,0.0,0.0,237.472212335,0.0,95.1010040907,0.0,95.3020025896,95.0179248304,94.5993637971,2625.60430225,126.703247837,284.78212834,95.4494322092,95.2603984199,0.0,0.0,189.754002915,0.0,822.858529907,7283.97892203,0.0,0.0,1205.11011013,189.198727594,379.222236868,0.0,0.0,0.0,316.772718415,410.876667853,142.690053165,95.3051616043,190.776810261,94.2866856115,94.9067212901,0.0,253.991422523,94.9035143248,0.0,95.0214037593,95.2444878023,95.1169381611,190.449027821,142.445905629,95.0465705719,95.029655728,158.204643718,0.0,2093.71998477,94.5423590585,0.0,0.0,237.472212335,0.0,237.514378091,94.5993637971,1423.9670141,95.0151211851,0.0,95.2188083924,0.0,569.663505757,95.0179248304,284.78212834,1582.40817552,0.0,1548.87057587,727.514097016,189.849456515,95.1745234076,284.873856116,94.713579751,95.4749644818,189.141705675,0.0,1838.74451691,189.31287464,94.6564373198,126.77960942,189.57875802,189.31287464,333.793038403,94.9353076207,411.839958994,94.684999914,126.789210101,0.0,0.0,0.0,0.0,0.0
2009-11-15,3.776369477,0.0140381282496,0.0152512998267,0.0223570190641,94.5911071257,0.0,0.0,0.0,0.0,787.144963269,94.889236436,330.017335297,220.407970174,0.0,220.407970174,94.3713140677,661.747558637,95.152146676,0.0,94.1180689542,125.880936094,93.8671661634,0.0,0.0,94.3344701576,220.360940561,93.9905525571,94.1180689542,0.0,93.7256720932,190.017431288,95.0087156439,2170.39601209,125.995105121,93.8388331823,0.0,330.017335297,0.0,0.0,94.3752157647,0.0,377.766300448,7307.23135908,0.0,94.0375239967,1009.23490625,0.0,329.928912466,0.0,0.0,0.0,187.169207907,408.694194929,189.950720622,0.0,95.2384133548,125.919443312,94.1890586168,0.0,188.531263998,0.0,0.0,189.664131701,0.0,94.2886500282,187.394848905,94.5991952969,0.0,0.0,142.276567358,0.0,1545.40810905,141.858220984,0.0,0.0,220.360940561,94.5706499755,220.550928305,187.507873542,1291.00962109,0.0,0.0,94.6277578559,0.0,912.939711189,190.017431288,93.8388331823,1384.65260156,0.0,1226.22579773,566.412036043,93.8671661634,94.8942817799,94.6849347489,0.0,0.0,94.4566407531,94.4566407531,1259.94454304,187.507873542,0.0,94.5271086859,93.4720548205,187.507873542,157.596043622,190.017431288,283.552983203,0.0,94.2033680713,0.0,0.0,0.0,0.0,0.0
2009-11-22,3.994190269,0.010374010374,0.012012012012,0.018564018564,0.0,0.0,0.0,0.0,0.0,980.974001592,113.46160043,113.46160043,264.237474232,0.0,264.237474232,340.029816926,340.388738902,0.0,341.287042621,0.0,113.222229965,112.872777304,0.0,0.0,0.0,0.0,169.818219898,0.0,0.0,0.0,0.0,0.0,1358.06555851,0.0,0.0,0.0,113.46160043,0.0,0.0,113.176442559,0.0,169.775192064,6531.35663519,0.0,0.0,302.420858363,113.256363891,112.960779503,0.0,112.949897482,0.0,113.495878859,169.876224638,0.0,226.69501463,113.418550782,282.445779315,0.0,112.906734217,113.503591911,0.0,0.0,113.290518403,113.188116609,113.109717801,113.350040633,188.658060834,0.0,0.0,113.281613201,0.0,566.944091699,0.0,0.0,112.86982366,0.0,0.0,188.772457895,0.0,867.45081386,0.0,0.0,0.0,0.0,641.190919746,0.0,0.0,1093.82345202,0.0,640.872984131,339.478300388,0.0,0.0,113.495878859,0.0,0.0,0.0,0.0,717.716506506,113.324693522,0.0,113.286042988,0.0,113.324693522,113.337424941,113.14500589,264.283203501,169.672804757,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-29,2.810670137,0.00840636737614,0.00965837953854,0.0168127347523,0.0,0.0,0.0,0.0,273.347146675,755.976871618,0.0,136.555525725,226.319192863,0.0,226.319192863,120.941075574,453.414226602,0.0,90.6738393323,90.6757449729,211.386343882,90.894900852,135.205415411,0.0,0.0,0.0,91.2532694768,90.6757449729,0.0,0.0,0.0,0.0,1237.70894534,90.6737674223,0.0,90.3175701441,136.555525725,0.0,0.0,0.0,90.5938337309,227.354629501,6285.97621976,0.0,0.0,423.731015901,0.0,211.059085045,0.0,0.0,0.0,0.0,361.543817688,91.2808301139,90.4954845642,121.050303584,271.209845391,90.8125933656,0.0,242.394312457,0.0,91.3636120033,90.837184191,90.6484247726,0.0,135.838038796,0.0,90.8125933656,89.9906287137,135.43641439,0.0,846.896243497,91.1157155584,0.0,89.8010036683,0.0,0.0,392.361836026,91.1706873324,1117.64936711,0.0,0.0,90.0993458732,90.7578044706,633.842051654,0.0,0.0,1570.1504519,0.0,724.252077286,241.553159666,0.0,90.9498554474,0.0,0.0,91.0324120485,0.0,0.0,816.475491007,0.0,90.1538030178,91.1981981011,0.0,0.0,182.037530514,90.8125933656,181.420192298,0.0,90.7273447479,0.0,0.0,0.0,0.0,0.0
2009-12-06,3.405693488,0.010267693436,0.012467913458,0.018701870187,0.0,0.0,0.0,91.6405938705,0.0,760.807108916,91.9451396507,136.59414733,91.7234515503,0.0,91.7234515503,91.4486547622,334.933501918,90.6985224575,91.114286969,0.0,0.0,91.8896172234,136.406522669,0.0,0.0,0.0,90.4799059527,0.0,0.0,0.0,91.5304797537,0.0,942.18156418,0.0,91.5306460852,0.0,136.59414733,0.0,91.8618811482,183.723762296,0.0,212.940538556,7942.77566991,0.0,92.0563860387,457.101072803,91.7787732943,137.178569298,90.7533417519,0.0,0.0,90.7259238238,303.889829231,91.7795173231,0.0,0.0,182.53016912,0.0,0.0,136.745579338,0.0,0.0,91.5868782428,0.0,0.0,183.007788117,228.915900807,0.0,91.4210601169,91.1387970338,0.0,883.580871084,137.468709167,0.0,91.4486547622,0.0,0.0,212.831409529,0.0,973.205227982,91.7511040832,0.0,0.0,91.502829899,638.804146306,91.5304797537,91.5306460852,1671.92138872,0.0,516.601535773,212.683944911,90.9621972313,0.0,0.0,0.0,0.0,0.0,0.0,730.984291797,91.4210601169,90.5890823098,91.2763860231,0.0,91.4210601169,121.84581286,0.0,273.799148447,182.676752021,91.5592001291,0.0,0.0,0.0,91.8618811482,0.0
