Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.358,0.567,0.545,0.717,0.836,0.572,0.477,0.49
ARGO,,,0.322,0.527,0.862,0.628,0.892,0.61,0.521,0.57
ARGO_top10,,,0.361,0.601,0.901,0.684,0.878,0.63,0.555,0.621
ARGO_all_weighted1,,,0.362,0.439,0.915,0.507,0.901,0.616,0.544,0.572
ARGO_all_weighted2,,,0.383,0.45,0.911,0.62,0.906,0.653,0.569,0.581
ARGO_all_weighted_more_ar,,,0.399,0.498,0.905,0.589,0.902,0.661,0.585,0.601
ARGO_top10_weighted1,,,0.401,0.434,0.911,0.653,0.89,0.637,0.567,0.582
ARGO_top10_weighted2,,,0.416,0.505,0.913,0.706,0.905,0.673,0.59,0.611
ARGO_top10_weighted_more_ar,,,0.397,0.513,0.906,0.635,0.905,0.668,0.589,0.606
ARGO_obs_weight,,,0.183,0.61,0.876,0.663,0.9,0.539,0.422,0.556
ARGO_top10_obs,,,0.311,0.589,0.896,0.687,0.894,0.602,0.511,0.599
ARGO_top10_weighted2_obs,,,0.324,0.391,0.906,0.677,0.911,0.619,0.518,0.54
GFT,,,-0.58,-0.87,-0.926,,,-0.693,-0.693,-0.792
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,1.994,0.662,0.95,0.615,0.79,0.987,1.15,1.202
ARGO,,,1.976,0.743,0.558,0.671,0.671,0.956,1.115,1.092
ARGO_top10,,,2.031,0.688,0.48,0.615,0.702,0.95,1.111,1.066
ARGO_all_weighted1,,,2.0,0.84,0.483,0.751,0.669,0.984,1.141,1.108
ARGO_all_weighted2,,,1.882,0.78,0.492,0.667,0.621,0.92,1.073,1.051
ARGO_all_weighted_more_ar,,,1.869,0.751,0.522,0.702,0.631,0.916,1.065,1.047
ARGO_top10_weighted1,,,2.048,0.854,0.528,0.646,0.704,0.992,1.164,1.143
ARGO_top10_weighted2,,,1.834,0.761,0.482,0.599,0.628,0.898,1.051,1.026
ARGO_top10_weighted_more_ar,,,1.872,0.75,0.519,0.66,0.631,0.911,1.065,1.047
ARGO_obs_weight,,,2.417,0.676,0.531,0.649,0.64,1.071,1.279,1.208
ARGO_top10_obs,,,2.269,0.68,0.487,0.616,0.651,1.014,1.207,1.145
ARGO_top10_weighted2_obs,,,2.168,0.792,0.492,0.628,0.61,1.002,1.192,1.151
GFT,,,1.883,1.381,1.412,,,1.523,1.523,1.558
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.523,0.541,0.25,0.204,0.329,0.409,0.498,0.438
ARGO,,,0.53,0.632,0.249,0.258,0.344,0.464,0.567,0.47
ARGO_top10,,,0.565,0.547,0.2,0.224,0.349,0.426,0.515,0.437
ARGO_all_weighted1,,,0.571,0.696,0.226,0.278,0.378,0.469,0.561,0.498
ARGO_all_weighted2,,,0.519,0.616,0.235,0.243,0.309,0.413,0.5,0.457
ARGO_all_weighted_more_ar,,,0.515,0.585,0.245,0.255,0.302,0.41,0.501,0.448
ARGO_top10_weighted1,,,0.604,0.678,0.229,0.247,0.397,0.46,0.554,0.504
ARGO_top10_weighted2,,,0.509,0.602,0.215,0.237,0.323,0.412,0.495,0.442
ARGO_top10_weighted_more_ar,,,0.523,0.586,0.227,0.237,0.305,0.403,0.494,0.445
ARGO_obs_weight,,,0.601,0.566,0.238,0.244,0.329,0.45,0.556,0.468
ARGO_top10_obs,,,0.605,0.538,0.206,0.211,0.327,0.423,0.522,0.449
ARGO_top10_weighted2_obs,,,0.535,0.581,0.213,0.224,0.307,0.411,0.502,0.443
GFT,,,0.67,1.308,0.94,,,1.213,1.213,0.973
