Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,-0.58,-0.87,-0.926,,,-0.693,-0.693,-0.792
AR52,,,0.358,0.567,0.545,0.717,0.836,0.572,0.477,0.49
ARGO,,,0.361,0.601,0.901,0.684,0.878,0.63,0.555,0.621
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.883,1.381,1.412,,,1.523,1.523,1.558
AR52,,,1.994,0.662,0.95,0.615,0.79,0.987,1.15,1.202
ARGO,,,2.031,0.688,0.48,0.615,0.702,0.95,1.111,1.066
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.67,1.308,0.94,,,1.213,1.213,0.973
AR52,,,0.523,0.541,0.25,0.204,0.329,0.409,0.498,0.438
ARGO,,,0.565,0.547,0.2,0.224,0.349,0.426,0.515,0.437
