Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,-0.926,,,-0.814,-0.814,-0.814
AR52,0.545,0.717,0.836,0.714,0.5,0.775
ARGO(gt),0.905,0.724,0.895,0.819,0.808,0.857
"ARGO(gt,ath)",0.901,0.684,0.878,0.819,0.824,0.848
Net,0.83,0.731,0.896,0.837,0.798,0.866
ARGONet,0.842,0.718,0.885,0.824,0.784,0.855
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.412,,,1.296,1.296,1.296
AR52,0.95,0.615,0.79,0.726,0.876,0.758
ARGO(gt),0.476,0.658,0.657,0.595,0.593,0.626
"ARGO(gt,ath)",0.48,0.615,0.702,0.592,0.574,0.647
Net,0.626,0.597,0.658,0.582,0.592,0.62
ARGONet,0.604,0.589,0.664,0.589,0.618,0.627
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.94,,,0.829,0.829,0.829
AR52,0.25,0.204,0.329,0.26,0.254,0.295
ARGO(gt),0.23,0.216,0.329,0.267,0.271,0.298
"ARGO(gt,ath)",0.2,0.224,0.349,0.266,0.237,0.308
Net,0.237,0.229,0.253,0.244,0.228,0.248
ARGONet,0.222,0.224,0.26,0.244,0.233,0.252
