Week,ME,athena_flu,athena_ILI,athena_viral,influenza b symptoms,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,flu symptoms,cold and flu,fever flu,tamiflu side effects,symptoms of flu,cold,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,flu shot,rsv infection,rsv,pneumonia,bronchitis,cough fever,flu and cold,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,cold symptoms,symptoms of the flu,what is rsv
2009-10-04,0.369458128,,,,0.0,1019.30210005,0.0,386.251653779,386.251653779,0.0,895.842101218,0.0,3829.2633075,0.0,0.0,383.90808053,961.016503442,5875.45769683,2038.0821214,0.0,382.73968377,0.0,0.0,0.0,0.0,0.0,388.012144452,0.0,0.0,0.0,384.275644716,1919.73027406,0.0,383.386387532,1025.4809172,766.555302789,386.134855577,0.0,638.043737833,895.337481043,0.0,0.0,0.0,0.0,2816.46973033,0.0,0.0,574.843725907,0.0,0.0
2009-10-11,0.735710243,,,,0.0,1378.09946962,393.126120335,395.653702995,395.653702995,0.0,791.082530413,0.0,4206.66006355,395.970900069,393.126120335,0.0,592.832903816,6842.8083495,1312.11034359,0.0,1191.14560444,0.0,392.7706,0.0,393.435395631,0.0,0.0,393.529832231,0.0,0.0,394.701718188,3558.35134387,0.0,0.0,924.355456428,526.10116209,0.0,395.970900069,1051.52635282,1976.42786009,0.0,0.0,0.0,0.0,2239.54469889,0.0,0.0,395.236058949,395.283136571,0.0
2009-10-18,1.120923913,,,,0.0,1273.67383901,544.580243914,547.266177956,547.266177956,0.0,729.652681863,0.0,5585.86088529,366.14522192,544.580243914,0.0,1580.19914367,9112.22841049,1332.22094547,0.0,363.626940207,0.0,0.0,0.0,364.273066746,0.0,363.626940207,0.0,0.0,367.254416776,0.0,3531.03407128,0.0,363.83365412,975.940973093,364.766347226,0.0,366.14522192,850.071857722,2798.54932394,0.0,364.606050081,364.713542038,364.163114115,2070.19440714,365.372413013,367.588486894,0.0,608.092801567,0.0
2009-10-25,1.390568319,,,,0.0,1121.5087751,373.050504284,374.065455007,374.065455007,374.872080378,1317.26032445,0.0,5244.60882726,0.0,373.050504284,0.0,1500.23917912,9498.27249906,2116.26695944,373.854635045,500.648060516,373.967411707,376.55576011,375.303144722,0.0,373.036136901,0.0,0.0,0.0,0.0,374.448995322,4006.61384034,0.0,0.0,1504.44517922,560.75935461,374.872080378,0.0,998.612593444,3378.88354766,377.238132372,0.0,0.0,374.193169275,4506.40420392,374.645503115,0.0,374.193169275,375.596536305,0.0
2009-11-01,2.665121669,,,,0.0,731.404907267,551.041689459,733.83602838,733.83602838,0.0,734.207397428,0.0,9648.64991452,366.068471861,551.041689459,365.593685767,1834.29492129,6846.05067554,1582.94362329,0.0,736.872411595,364.240275637,363.582208292,369.927520421,550.487989912,0.0,552.041227737,365.593419057,365.517329928,0.0,549.577167535,3795.91452039,0.0,0.0,1103.60868894,366.438486448,367.268809673,366.068471861,976.910225187,3793.9151023,0.0,0.0,0.0,0.0,2571.54262978,731.254851019,367.731915387,731.075837015,611.174108668,0.0
2009-11-08,2.948275862,,,,0.0,1002.13974177,878.223247073,502.773651117,502.773651117,0.0,1132.15546752,373.358736993,9788.37912217,377.877346516,878.223247073,0.0,3392.24188761,6656.13809774,1502.76347588,564.289191668,880.045700646,379.564348268,0.0,0.0,0.0,0.0,378.562631454,374.261660178,374.374832739,0.0,500.882908997,2893.91523482,0.0,0.0,1764.81627574,879.285117386,379.106075586,377.877346516,1125.51093433,2640.93031212,627.443544027,0.0,0.0,373.696822176,1886.8523862,0.0,0.0,937.388199886,1313.23748437,0.0
2009-11-15,3.231292517,,,,0.0,1253.90752859,358.346008901,598.627276444,598.627276444,359.139051771,1256.9953273,359.930888903,6812.93235066,358.042549655,358.346008901,359.301656098,1915.1378879,6579.30129309,1073.60324351,0.0,537.767109641,358.413108047,536.36295119,0.0,0.0,0.0,719.426553032,0.0,0.0,359.143401913,477.17255965,1677.5689913,0.0,358.133111528,1680.03953789,717.37748721,0.0,358.042549655,896.265750179,2515.42963655,0.0,0.0,0.0,358.709260599,1438.12265296,0.0,0.0,537.983350998,1197.65649456,0.0
2009-11-22,2.790207949,,,,0.0,804.268428142,0.0,1211.78178401,1211.78178401,405.097666275,810.414857486,0.0,2829.88885026,0.0,0.0,404.594777656,1615.40339242,9170.44681457,402.046312959,403.496661553,405.75811143,0.0,0.0,405.207428743,402.531436715,0.0,403.505204932,404.474148453,0.0,0.0,404.049626831,812.495754566,0.0,0.0,1083.4360279,1078.20355515,404.594777656,0.0,1077.63286682,1890.9818901,404.350235633,0.0,0.0,0.0,1080.20301577,404.350235633,0.0,403.561274423,404.23862851,0.0
2009-11-29,1.614022909,,,,0.0,692.205593956,350.158670135,348.371865293,348.371865293,0.0,524.380763178,0.0,2789.78112999,0.0,350.158670135,691.036808562,1048.02050311,5232.8685761,521.808432586,0.0,353.036557185,688.955372391,689.578485481,0.0,0.0,0.0,348.687896619,345.309757901,0.0,0.0,0.0,932.201253772,0.0,692.29171802,1284.25527852,1045.68213375,344.893220196,0.0,1162.18391564,931.884190401,0.0,0.0,0.0,0.0,345.205529179,0.0,0.0,344.893220196,0.0,0.0
2009-12-06,1.168907072,,,,0.0,1158.67342471,0.0,0.0,0.0,351.70888868,814.935889515,0.0,812.826252799,0.0,0.0,0.0,464.988627345,10110.9183063,698.15460395,349.586324476,698.229223513,0.0,347.641299289,348.018878962,347.798571452,0.0,694.354474349,1048.44260571,0.0,0.0,0.0,582.247073723,0.0,0.0,816.240827564,524.076649666,349.691844043,0.0,928.819303941,1225.43461213,0.0,0.0,0.0,0.0,698.522343792,0.0,0.0,464.567536836,0.0,0.0
2009-12-13,0.982091277,,,,0.0,474.963204219,0.0,361.988140903,361.988140903,712.269440413,476.723328948,0.0,1784.39897702,0.0,0.0,0.0,595.54282384,8689.17779433,353.436097859,354.804249649,357.506566397,0.0,531.403904942,0.0,353.878663155,354.306181927,0.0,355.554137857,710.893633917,0.0,357.989207913,1192.38259076,0.0,0.0,1074.93753843,355.018180459,0.0,0.0,1189.57560296,953.805150584,355.661523583,356.091715931,0.0,0.0,954.49345758,0.0,0.0,355.125242637,355.554137857,0.0
2009-12-20,1.123889179,,,,0.0,1179.15926329,0.0,445.603526264,445.603526264,0.0,1549.1092552,0.0,1546.96932626,445.253063827,0.0,0.0,0.0,9605.86072178,0.0,0.0,663.985537428,0.0,444.447661842,0.0,0.0,0.0,0.0,443.280633497,0.0,0.0,0.0,664.788422754,0.0,0.0,1630.88419975,0.0,0.0,445.253063827,1328.77112004,446.224227344,0.0,440.422706642,0.0,0.0,446.764941342,0.0,0.0,590.713827622,445.118627515,0.0
2009-12-27,0.702947846,,,,0.0,696.199566929,0.0,418.693632478,418.693632478,421.351930939,1047.24712947,0.0,1394.75166848,0.0,0.0,0.0,626.189592329,10189.1800528,826.968470564,420.83553119,558.610289446,414.978756614,417.694391022,0.0,415.228894502,0.0,416.484120907,0.0,0.0,0.0,416.804789023,419.506015443,0.0,420.83553119,980.74221495,1252.00207573,415.479334125,0.0,1951.97084653,1677.30822814,832.213513717,0.0,0.0,0.0,415.855560507,0.0,0.0,417.144825201,0.0,0.0
2010-01-03,0.689259047,,,,0.0,835.663610644,359.33247738,0.0,0.0,0.0,718.727183194,0.0,598.281665332,0.0,359.33247738,0.0,360.724927655,8741.81008808,721.844687405,357.762106135,1080.60522756,0.0,0.0,0.0,718.664954759,0.0,358.73541282,0.0,0.0,0.0,0.0,359.061157594,0.0,478.655398652,721.284313651,718.307418081,0.0,0.0,717.764808368,538.34735383,359.007583639,0.0,0.0,0.0,897.302544281,0.0,0.0,0.0,0.0,0.0
2010-01-10,0.61156736,,,,0.0,714.975875342,357.761528392,0.0,0.0,0.0,1438.93705657,0.0,537.003800882,0.0,357.761528392,0.0,358.735470847,8716.44391109,1074.53982285,0.0,478.437849225,358.410234699,0.0,0.0,0.0,0.0,357.590719133,537.707132248,0.0,0.0,0.0,717.991297158,0.0,357.653638908,1079.36734977,715.976829901,0.0,0.0,1073.69465688,539.111591618,357.266716669,0.0,0.0,358.410234699,360.518629227,0.0,0.0,716.820469399,0.0,0.0
2010-01-17,0.434044159,,,,0.0,835.89456927,0.0,0.0,0.0,0.0,598.97661405,0.0,597.999135119,0.0,0.0,0.0,362.133524254,6463.33219521,538.570614848,361.259333489,541.042230992,0.0,359.281379431,0.0,361.150356315,0.0,359.283001891,359.769353544,0.0,0.0,359.391752478,357.761076921,0.0,478.458236995,1442.79278942,358.843251325,0.0,0.0,1072.45606647,539.98220405,360.823818922,0.0,0.0,0.0,362.682045193,0.0,0.0,539.627312392,0.0,0.0
2010-01-24,0.689655172,,,,0.0,680.836397245,0.0,0.0,0.0,0.0,570.025925109,0.0,341.051638901,0.0,0.0,0.0,338.226011097,6711.73998755,339.710547175,337.51202374,511.767279972,340.938416623,0.0,0.0,342.382287795,0.0,342.175194434,338.328255961,0.0,0.0,342.071787002,0.0,0.0,455.194946126,860.340226026,454.747389643,0.0,0.0,909.32253654,569.749258594,0.0,342.278664405,341.24677214,0.0,683.317563047,0.0,0.0,688.503243682,0.0,0.0
