Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.792,0.807,0.814,0.18,0.734,0.807,0.839,0.804
ARGO,,,0.805,0.813,0.871,0.357,0.82,0.82,0.844,0.83
ARGO_top10,,,0.803,0.784,0.879,0.398,0.844,0.816,0.842,0.822
ARGO_all_weighted1,,,0.789,0.842,0.843,0.321,0.85,0.775,0.795,0.825
ARGO_all_weighted2,,,0.801,0.838,0.889,0.494,0.86,0.83,0.846,0.843
ARGO_all_weighted_more_ar,,,0.807,0.834,0.876,0.311,0.872,0.821,0.841,0.839
ARGO_top10_weighted1,,,0.779,0.812,0.847,0.378,0.857,0.772,0.792,0.813
ARGO_top10_weighted2,,,0.801,0.842,0.889,0.503,0.861,0.831,0.846,0.844
ARGO_top10_weighted_more_ar,,,0.808,0.839,0.875,0.344,0.863,0.822,0.842,0.841
ARGO_obs_weight,,,0.795,0.828,0.867,0.367,0.816,0.811,0.832,0.83
ARGO_top10_obs,,,0.779,0.793,0.882,0.411,0.839,0.806,0.826,0.818
ARGO_top10_weighted2_obs,,,0.778,0.846,0.884,0.486,0.851,0.811,0.823,0.836
GFT,,,0.861,0.77,0.913,,,0.805,0.805,0.848
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.551,0.279,0.404,0.351,0.319,0.346,0.366,0.411
ARGO,,,0.607,0.321,0.359,0.31,0.275,0.349,0.388,0.429
ARGO_top10,,,0.605,0.357,0.361,0.293,0.258,0.353,0.397,0.441
ARGO_all_weighted1,,,0.729,0.296,0.461,0.322,0.256,0.395,0.452,0.495
ARGO_all_weighted2,,,0.614,0.284,0.35,0.271,0.248,0.336,0.378,0.416
ARGO_all_weighted_more_ar,,,0.604,0.284,0.376,0.326,0.23,0.342,0.38,0.421
ARGO_top10_weighted1,,,0.737,0.332,0.454,0.301,0.247,0.398,0.459,0.508
ARGO_top10_weighted2,,,0.614,0.285,0.351,0.269,0.246,0.335,0.378,0.417
ARGO_top10_weighted_more_ar,,,0.603,0.285,0.377,0.308,0.241,0.341,0.38,0.422
ARGO_obs_weight,,,0.714,0.309,0.361,0.308,0.275,0.375,0.426,0.461
ARGO_top10_obs,,,0.711,0.34,0.35,0.291,0.259,0.374,0.429,0.467
ARGO_top10_weighted2_obs,,,0.744,0.273,0.351,0.274,0.254,0.369,0.425,0.456
GFT,,,0.831,0.469,0.662,,,0.597,0.597,0.654
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.199,0.235,0.201,0.26,0.214,0.255,0.231,0.211
ARGO,,,0.26,0.267,0.196,0.223,0.227,0.263,0.256,0.241
ARGO_top10,,,0.226,0.29,0.191,0.201,0.208,0.264,0.26,0.236
ARGO_all_weighted1,,,0.276,0.255,0.249,0.211,0.201,0.277,0.275,0.26
ARGO_all_weighted2,,,0.211,0.234,0.199,0.179,0.203,0.24,0.23,0.215
ARGO_all_weighted_more_ar,,,0.218,0.234,0.212,0.212,0.178,0.247,0.233,0.221
ARGO_top10_weighted1,,,0.241,0.271,0.244,0.199,0.19,0.276,0.273,0.252
ARGO_top10_weighted2,,,0.21,0.228,0.199,0.178,0.197,0.237,0.229,0.212
ARGO_top10_weighted_more_ar,,,0.219,0.235,0.213,0.204,0.188,0.247,0.235,0.222
ARGO_obs_weight,,,0.277,0.266,0.199,0.222,0.218,0.267,0.265,0.247
ARGO_top10_obs,,,0.223,0.287,0.185,0.203,0.202,0.26,0.257,0.232
ARGO_top10_weighted2_obs,,,0.227,0.222,0.195,0.183,0.198,0.239,0.232,0.215
GFT,,,0.306,0.343,0.417,,,0.401,0.401,0.355
