Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.861,0.77,0.913,,,0.805,0.805,0.848
AR52,,,0.792,0.807,0.814,0.18,0.734,0.807,0.839,0.804
ARGO,,,0.801,0.842,0.889,0.503,0.861,0.831,0.846,0.844
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.831,0.469,0.662,,,0.597,0.597,0.654
AR52,,,0.551,0.279,0.404,0.351,0.319,0.346,0.366,0.411
ARGO,,,0.614,0.285,0.351,0.269,0.246,0.335,0.378,0.417
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.306,0.343,0.417,,,0.401,0.401,0.355
AR52,,,0.199,0.235,0.201,0.26,0.214,0.255,0.231,0.211
ARGO,,,0.21,0.228,0.199,0.178,0.197,0.237,0.229,0.212
