Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.913,,,0.909,0.909,0.909
AR52,0.814,0.18,0.734,0.808,0.865,0.771
ARGO(gt),0.865,0.342,0.767,0.845,0.899,0.806
"ARGO(gt,ath)",0.876,0.328,0.868,0.849,0.897,0.859
Net,0.907,0.454,0.87,0.89,0.925,0.88
ARGONet,0.897,0.375,0.854,0.873,0.916,0.864
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.662,,,0.589,0.589,0.589
AR52,0.404,0.351,0.319,0.328,0.361,0.323
ARGO(gt),0.353,0.309,0.307,0.298,0.319,0.303
"ARGO(gt,ath)",0.373,0.322,0.239,0.295,0.335,0.267
Net,0.295,0.29,0.229,0.255,0.27,0.242
ARGONet,0.32,0.306,0.246,0.271,0.292,0.259
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.417,,,0.411,0.411,0.411
AR52,0.201,0.26,0.214,0.273,0.233,0.243
ARGO(gt),0.193,0.219,0.254,0.261,0.223,0.257
"ARGO(gt,ath)",0.212,0.213,0.187,0.262,0.239,0.224
Net,0.181,0.228,0.185,0.243,0.21,0.214
ARGONet,0.192,0.217,0.19,0.246,0.221,0.218
