Week,MI,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,sinus infection cure,robitussin cough,strep,fever and cough,signs of flu,flu fever,flu how long,how to reduce fever,braun thermoscan,sinus infections,how long flu,upper respiratory,strep throat,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,influenza a treatment,tylenol sinus,how to treat flu,contagious flu,flu care,flu or cold,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,signs of rsv,oscillococcinum,type a influenza,flu symptoms,flu incubation,how to get over the flu,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,dangerous fever,do i have the flu,influenza treatment,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,how to treat the flu,influenza a and b,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,influenza b treatment,flu shot,chest cold,remedies for flu,rsv infection,flu like symptoms,flu contagious,symptoms of influenza,flu while pregnant,flu report,symptoms of influenza b,is the flu contagious,flu contagious period,what is influenza,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,influenza incubation period,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,how long is flu contagious,home remedies for flu,flu vaccine,cold vs flu,respiratory flu,a influenza,human temperature,influenza a,influenza b,is influenza a contagious,flu vs cold,cure flu,how to get rid of flu,normal body,flu medicine,cold symptoms,rsv infant,stomach flu symptoms,how long does rsv last,how long is rsv contagious,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,incubation period for influenza,is flu contagious
2009-10-04,2.041742287,0.00351000351,0.00526500526501,0.014391014391,101.996256442,0.0,67.1031130543,0.0,0.0,855.58695188,67.8233150834,202.136879321,158.106107593,202.642034,0.0,67.4050969492,157.894502556,202.642034,135.135429589,564.983896357,0.0,0.0,135.053973634,67.4978137502,226.08970097,0.0,135.605951041,0.0,135.216983862,0.0,0.0,67.3448961839,136.573949454,101.617427459,67.4978137502,0.0,0.0,0.0,101.525727262,0.0,68.4729864623,0.0,3492.97404407,0.0,0.0,90.2719402377,0.0,158.106107593,0.0,0.0,68.3282232774,135.892255852,923.861066517,6709.21159315,0.0,0.0,339.80229872,67.9666152111,67.8233150834,1984.9729371,0.0,112.84705965,0.0,315.584401376,101.842313487,67.4075736398,0.0,0.0,90.2583368786,315.951864786,67.884641271,67.506641235,67.506641235,135.156950081,0.0,0.0,67.6493183149,101.169966338,67.0223875047,0.0,0.0,67.935862619,135.135429589,0.0,0.0,0.0,180.462588013,68.0609949673,0.0,180.245305523,0.0,0.0,2077.2499721,67.925628241,67.6493183149,0.0,67.7106504258,136.573949454,0.0,67.9358440616,136.656446555,0.0,0.0,67.0425506779,0.0,135.83141755,67.4050969492,968.975503037,0.0,68.3075927752,0.0,0.0,67.506641235,0.0,360.367973441,101.525727262,90.2719402377,948.674376149,0.0,0.0,1531.93488426,67.2651489445,610.099670235,101.97560777,0.0,101.648090533,0.0,0.0,0.0,68.2251951964,1671.28220876,67.6497182105,0.0,135.228272447,100.976897361,135.228272447,0.0,0.0,67.6497182105,0.0,0.0,293.234457656,67.8743945495,450.903785196,0.0,67.4058479251,0.0,0.0,158.194085681,0.0,67.6697500027,0.0,0.0,0.0,0.0,0.0
2009-10-11,3.179672313,0.00381414701803,0.00589459084605,0.0114424410541,0.0,0.0,0.0,0.0,68.393502866,685.497735359,0.0,274.944922326,320.542637598,389.473643996,68.1467433848,0.0,91.5077232101,389.473643996,69.0807497902,757.009546361,68.1877462388,0.0,160.09847191,69.0543071979,435.811521103,0.0,137.003301072,68.1467433848,0.0,0.0,0.0,68.3110513858,102.942772859,103.128969768,69.0543071979,0.0,0.0,0.0,137.734749419,0.0,68.6375803569,68.4720636938,4321.14159183,172.114933419,0.0,207.242249371,68.4761536248,320.542637598,0.0,0.0,205.776287763,138.328411691,1235.0130115,7313.47809012,0.0,68.7561758698,297.688014294,0.0,0.0,1510.78499657,68.4720636938,114.603941619,0.0,411.814721586,137.402779128,0.0,68.9974948944,0.0,206.23734573,274.943860033,206.413424672,160.271218126,0.0,183.229662055,0.0,91.2599765821,0.0,137.340804021,0.0,0.0,68.6749366165,0.0,137.184191842,68.9291520785,0.0,103.466642261,160.23685625,0.0,137.993802171,319.956994614,0.0,0.0,2451.38467227,137.71279623,68.5650122304,0.0,0.0,102.942772859,68.3998076845,69.1224526274,91.6801987175,0.0,0.0,138.036579599,0.0,114.777013921,0.0,1418.44636244,0.0,137.181993562,0.0,69.1015949169,160.174327476,69.0390972428,594.886087078,137.734749419,207.242249371,1444.01054096,68.5094548415,0.0,2720.10336032,68.3858659272,642.177475946,137.437448441,0.0,114.493074989,0.0,68.5904981832,0.0,0.0,2223.77274286,68.9559426542,0.0,274.329830628,68.591089496,274.329830628,68.5133430567,0.0,68.9559426542,68.2082661745,68.4141468451,160.27807223,137.346399233,320.327924357,0.0,0.0,0.0,0.0,160.554643132,68.828808262,68.9187398208,0.0,0.0,0.0,0.0,69.3737308557
2009-10-18,8.050344336,0.0122314049587,0.0135537190083,0.0228099173554,0.0,67.4475290122,0.0,0.0,134.2264542,1093.18747468,67.3865273278,335.38771257,335.543389158,692.451933329,0.0,0.0,67.0071641947,692.451933329,133.142679262,604.441695412,67.4678874574,67.4678874574,245.55169496,100.420643322,917.874004435,100.890973533,178.551576912,0.0,66.8191120499,0.0,67.0980343207,133.853528474,357.13014657,134.081773659,100.420643322,0.0,0.0,0.0,100.942573209,0.0,67.6107414236,100.546039887,9151.36477657,335.157212735,0.0,134.149216557,0.0,335.543389158,0.0,67.1183361979,134.169517441,100.707892919,2902.31831089,6467.35714292,0.0,0.0,447.180128237,133.222861544,67.3865273278,2703.92397359,100.546039887,245.882487105,0.0,535.956478182,100.779423518,0.0,67.1660394087,67.2103522208,312.983411959,245.922328071,424.19058567,245.801117374,100.400310053,134.089065695,0.0,233.113933065,67.0207100797,201.123020865,66.8059578031,0.0,223.50558066,67.4882581964,167.643897385,135.0580732,0.0,156.680838329,111.793525861,0.0,89.6334425623,513.628576787,0.0,0.0,4159.82807854,100.717958228,134.976516393,0.0,89.4239209787,357.13014657,133.638211954,0.0,66.9199863316,0.0,67.0075448816,111.577830989,100.380135213,234.645012352,66.9098928221,1496.09754418,0.0,156.539065982,0.0,67.4271828496,200.974439486,67.4068489585,1005.17120865,100.942573209,134.149216557,1163.36171572,66.8059578031,67.2851026931,4774.65199308,133.544558764,1253.14268292,134.177041533,0.0,66.8896875122,66.5312967198,66.5913791671,66.8091096368,0.0,3736.74771962,111.61811583,133.383516185,379.654097569,89.3094005395,379.654097569,67.3865273278,0.0,111.61811583,66.9566233479,66.8663064552,156.512000502,134.000899992,156.323163851,0.0,0.0,0.0,0.0,559.675618366,267.25045194,134.544984091,0.0,67.1183361979,0.0,0.0,156.911102354
2009-10-25,9.827586207,0.021027231989,0.0224060668735,0.0306790761806,67.4493522827,0.0,0.0,0.0,0.0,896.486610157,0.0,112.364061267,404.625928131,965.078515768,0.0,0.0,179.572007928,965.078515768,134.653346612,494.888544396,0.0,67.37815265,246.658081114,201.823297183,944.637489126,101.251592355,291.286450759,67.1126177644,179.53770049,67.5312542933,67.0234844541,67.2961838573,358.575758957,269.441961002,201.823297183,0.0,0.0,67.4331714907,236.424269801,0.0,101.347505775,67.3925920228,9239.14447661,740.704633605,67.3353142336,101.200676325,67.5105385816,404.625928131,0.0,67.4290225409,179.720683112,134.654249045,2915.44460632,6654.14284324,67.1934276593,100.946105516,426.405933101,101.143515365,0.0,2042.77109944,67.3925920228,179.700758556,0.0,403.804154167,89.8297967142,67.5045832627,67.3273808894,0.0,157.193706189,404.386731535,471.073470384,291.996484331,134.85790036,134.599758154,67.1126177644,134.656061074,89.8027620467,112.261997174,67.4498177491,67.5516441648,246.955716044,67.5516441648,89.6877988736,0.0,0.0,134.988639949,179.565102135,67.0638114604,67.4737813459,560.42466842,0.0,0.0,3976.67958962,67.2053389492,67.4166616383,0.0,101.119401062,358.575758957,0.0,0.0,134.682719845,0.0,134.818346173,0.0,134.85790036,157.553556015,67.3271245226,1301.16194511,0.0,67.3781771825,67.2661766127,67.2661766127,291.630350764,0.0,919.81158826,236.424269801,101.200676325,1146.53016701,0.0,0.0,4012.27571263,67.2673017059,1461.64341088,235.710272022,0.0,336.432401591,67.2256059392,67.1243930426,134.796949633,0.0,3664.02317992,134.592248762,0.0,381.176669449,67.2197226689,381.176669449,67.2868099766,67.4498177491,134.592248762,134.31785404,134.581286748,246.807147368,112.180594697,538.477674953,0.0,112.255046224,0.0,0.0,494.772926555,135.049739163,67.3108994375,67.1934276593,67.4290225409,67.1850841756,0.0,225.278125712
2009-11-01,8.659003831,0.0251957780048,0.0282601293837,0.0452843037113,101.748181359,0.0,67.7999867869,0.0,67.9023727531,697.655326892,0.0,293.21048584,202.980348882,586.001591438,0.0,135.273619847,135.22257783,586.001591438,168.556616765,429.024548687,0.0,135.490124557,135.10260807,67.8437534285,473.970456656,67.811534932,225.085913672,0.0,67.6213633334,0.0,0.0,0.0,236.109375602,248.033394233,67.8437534285,0.0,0.0,67.7297849959,0.0,0.0,67.9551599944,67.7183000559,7206.23993096,473.349514609,0.0,180.432466483,0.0,202.980348882,0.0,67.9228870651,293.332247013,135.510599054,1959.58359481,7766.66819216,0.0,67.527804393,248.074568779,112.695617484,0.0,1961.0781073,67.7183000559,157.87206625,0.0,450.577992208,112.777101322,67.5984611594,101.472320692,67.9141118985,112.763531024,428.534016242,225.227996821,248.19035102,67.8015541162,202.810647762,0.0,168.619130149,0.0,67.6555335952,67.496778757,67.6891252686,90.1890186767,135.763741658,135.147729593,67.425952501,67.7043706473,112.92024097,180.215519901,134.993557514,158.185248732,315.268308407,0.0,67.7999867869,2662.61886859,112.743120091,67.8818708289,67.5352226451,0.0,236.109375602,67.5309878978,67.720885176,0.0,0.0,101.352408696,135.237668829,180.657554428,180.841697111,0.0,1306.60659478,0.0,270.965329213,0.0,0.0,270.363119101,0.0,653.498046764,0.0,180.432466483,1331.65769861,0.0,67.6583553572,3333.0549007,90.0465639059,1287.09478686,135.310837035,0.0,67.7999867869,0.0,134.841111352,0.0,0.0,2843.82746495,135.355060918,0.0,247.694060112,135.194454963,247.694060112,169.110170633,0.0,135.355060918,67.546695352,0.0,270.479018485,112.661476393,473.159185107,0.0,67.5527574602,0.0,0.0,429.167729294,0.0,90.2230574097,0.0,67.9228870651,67.3852977211,0.0,135.572426777
2009-11-08,5.731609656,0.0320435308343,0.0338573155985,0.0429262394196,65.8075070836,67.1880671945,0.0,67.2489443318,65.6287902568,885.520780696,66.0499545507,132.979633535,330.896781203,376.790011392,0.0,65.6287902568,166.028596428,376.790011392,167.202787966,644.485927412,65.5892071505,66.4858203498,110.785002371,0.0,288.900647457,0.0,199.243937281,0.0,132.378649019,0.0,67.2083473235,66.169369935,199.270519769,133.03824194,0.0,0.0,0.0,0.0,99.2742017239,0.0,66.5800967959,67.0666429767,4851.30037671,310.455978399,0.0,88.7456924542,0.0,330.896781203,0.0,131.257580514,133.152083218,66.40933304,1617.11132081,6596.60973249,0.0,65.5694334975,244.044027963,100.440742889,66.0499545507,1485.71116057,67.0666429767,66.2294686812,0.0,398.927510742,0.0,0.0,67.1054416615,65.8274246099,177.451264816,288.524030934,177.297525206,66.4295991112,66.9839530756,155.178551011,0.0,65.3330762725,88.7122933061,198.778464744,65.4313510563,0.0,133.682374152,134.457279398,66.8411870758,99.3738727087,66.8815257523,111.079620783,165.698553601,66.9623493484,67.1458846053,167.434605804,65.6287902568,0.0,2286.18009669,199.117816146,66.9421251414,0.0,165.633264277,199.270519769,0.0,0.0,0.0,0.0,133.907278072,0.0,66.5398306278,177.880498749,66.8815257523,1617.44356079,0.0,0.0,0.0,0.0,198.987711908,0.0,642.632045593,99.2742017239,88.7456924542,1154.67360684,0.0,0.0,2591.13941647,66.9236348652,755.008720025,66.4293811634,0.0,66.3892728413,66.1196725414,66.0996460693,65.6287902568,66.7204624754,1709.63850018,66.8210359793,133.642071959,177.144119861,66.4457324848,177.144119861,66.9421251414,0.0,66.8210359793,110.698326991,0.0,166.008403525,132.358688429,288.129159172,0.0,132.438536829,0.0,0.0,288.839123658,67.1256080311,65.6684211688,0.0,131.257580514,0.0,0.0,268.705381864
2009-11-15,3.421966634,0.0260695187166,0.0280748663102,0.0394385026738,0.0,0.0,65.9909312171,65.8061094963,66.2885490444,658.749948916,65.5686851686,232.068830692,198.377446336,329.392149746,0.0,0.0,99.0995937967,329.392149746,132.248970063,462.88732091,0.0,0.0,197.818577256,65.7267772365,374.64734,65.8856334957,109.810464547,65.9909312171,66.2086351817,0.0,99.0103885051,66.2086351817,175.765469627,99.2291539764,65.7267772365,0.0,0.0,66.0506875689,99.140187327,0.0,65.8856334957,65.911424071,2857.28399734,132.278888388,0.0,131.8365195,65.8856334957,198.377446336,0.0,65.7664194423,132.222567907,66.1694227593,813.090757803,6764.39389697,0.0,66.2285955782,176.030548267,66.0905852962,65.5686851686,637.888805356,65.911424071,88.1083456899,0.0,263.88617686,65.9710364534,0.0,66.0108379837,0.0,110.035539777,352.127035038,197.88494756,65.8685895473,99.14958343,131.954211473,0.0,87.7175282655,88.021840796,132.119504218,0.0,0.0,99.0099199052,0.0,98.817726072,66.1105522404,0.0,88.1214868193,132.029788708,0.0,66.3095063789,264.299761951,0.0,0.0,969.057049942,66.0706304094,0.0,0.0,0.0,175.765469627,65.7465923638,66.0108379837,66.0905852962,0.0,0.0,65.7892774622,0.0,176.509386942,65.9949362986,1494.99834517,0.0,66.1494591153,65.7069740496,0.0,99.1194834293,0.0,285.940251286,99.140187327,131.8365195,969.323721034,131.822848142,65.8717422986,1626.44086091,65.792521923,396.606595314,197.63548808,0.0,66.3085576616,0.0,0.0,65.667403454,0.0,1035.28006835,98.9403316052,0.0,197.595981691,65.8061094963,197.595981691,131.942072907,0.0,98.9403316052,0.0,0.0,176.023879527,65.9767700304,263.892805501,0.0,66.0279396616,0.0,0.0,110.221706718,0.0,132.418699986,0.0,65.7664194423,131.743484597,0.0,66.0577783726
2009-11-22,2.490238612,0.0196770938446,0.021190716448,0.0257315842583,0.0,0.0,0.0,0.0,76.1749769403,585.533656754,0.0,76.7749734205,76.5673176935,178.170578728,0.0,0.0,228.769392489,178.170578728,114.52644371,306.553386762,0.0,76.7749734205,76.0373113194,76.083144539,191.392605369,76.4751708154,153.032282319,0.0,153.457391117,0.0,0.0,76.7286955583,76.8444949781,76.6949473208,76.083144539,0.0,0.0,0.0,76.7187606564,0.0,76.2670312931,0.0,1961.29877721,76.6949194044,76.1519980634,191.876280546,0.0,76.5673176935,0.0,0.0,76.5747340989,76.4175233331,560.251839214,7227.6239895,0.0,76.2670312931,0.0,0.0,0.0,305.76864771,0.0,114.780134308,0.0,178.384481554,76.2209763226,76.591982576,76.359308403,0.0,76.8909126737,420.767241772,230.186086675,0.0,77.0072026202,114.711072465,75.9001423873,76.2600789656,152.166289078,229.252758321,76.5901961078,0.0,76.6613593718,0.0,114.846174543,76.7875810986,0.0,153.257388287,191.311761203,76.5901961078,0.0,0.0,76.1290330459,0.0,561.38877419,76.243996853,76.243996853,0.0,76.083144539,76.8444949781,76.7518275136,0.0,76.1979696892,76.9606444566,0.0,0.0,0.0,269.093233743,0.0,1019.49851744,0.0,0.0,0.0,0.0,76.083144539,76.4275907237,586.393965182,76.7187606564,191.876280546,1097.71371305,76.4766332047,0.0,1121.07275918,0.0,153.187999282,76.083144539,0.0,76.7065047207,0.0,76.6593832769,0.0,0.0,561.652017692,76.4305906802,76.6593832769,152.889961886,0.0,152.889961886,114.926853792,0.0,76.4305906802,75.9686649354,0.0,152.947568582,153.091602194,280.340419678,0.0,76.1290330459,0.0,0.0,102.179288121,76.7540575089,114.580135665,0.0,0.0,0.0,0.0,77.1238448538
2009-11-29,1.608579088,0.011465424579,0.0118237190971,0.0171981368685,65.8060851696,0.0,0.0,0.0,0.0,715.993849791,0.0,65.2846852673,65.2846852673,108.626476494,0.0,0.0,65.2189264538,108.626476494,261.956934885,392.094528501,65.4695317858,0.0,130.736968446,0.0,293.567061733,0.0,65.026710682,0.0,65.3684842231,0.0,0.0,65.3684842231,130.228254921,64.6099094709,0.0,0.0,0.0,65.647277121,0.0,0.0,0.0,0.0,1454.84084432,130.229616065,0.0,65.4276412224,65.7464421921,65.2846852673,0.0,0.0,0.0,0.0,412.660224722,6859.38400052,0.0,0.0,98.1973954794,0.0,0.0,326.02919571,0.0,65.1538599116,0.0,152.091957333,129.219818942,0.0,0.0,0.0,0.0,217.566620458,97.657540062,64.5709761118,64.5709761118,108.783582852,0.0,64.4932499894,0.0,98.2864829879,65.2504905693,0.0,65.6274799928,65.6274799928,64.9478421827,87.0568393039,0.0,262.105898069,152.164378998,0.0,97.8293883237,0.0,0.0,0.0,609.312562392,65.3881913332,64.7074485854,0.0,0.0,130.228254921,65.6076948013,0.0,0.0,0.0,0.0,0.0,65.6057563982,97.7997610754,131.334172393,890.767013069,0.0,0.0,0.0,0.0,130.815820659,0.0,543.392996399,0.0,65.4276412224,979.398518283,65.2504905693,0.0,629.251764379,0.0,348.385271789,163.853302604,0.0,0.0,0.0,64.6488898084,65.105074075,0.0,500.766948278,64.512663972,0.0,97.5889466159,130.540253176,97.5889466159,0.0,0.0,64.512663972,64.5709761118,0.0,108.757105974,131.175843072,173.838094212,0.0,64.6683976207,0.0,0.0,64.785692175,0.0,65.5570749144,0.0,0.0,0.0,0.0,64.785692175
2009-12-06,1.835578988,0.00642965204236,0.00832072617247,0.0143721633888,0.0,0.0,0.0,0.0,0.0,841.708886981,0.0,66.7019603708,66.4103747297,88.675183897,0.0,0.0,155.331334562,88.675183897,99.7907798605,622.4977135,0.0,66.7260606401,66.5538324845,0.0,134.149716934,0.0,88.554634587,0.0,66.7963330734,0.0,65.9213967029,0.0,132.601008188,66.1800680452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.299534938,66.4605053106,0.0,67.1355596962,0.0,66.4103747297,0.0,0.0,0.0,0.0,221.586689478,8910.14348263,0.0,0.0,0.0,67.0142669054,0.0,332.975407907,0.0,66.5810139331,0.0,177.382579721,0.0,66.4605053106,0.0,66.4603774498,66.7761894228,355.273981507,0.0,66.320195231,66.3804082871,155.358354193,0.0,88.4547305933,0.0,132.480028457,0.0,0.0,0.0,66.8165071322,67.1153137493,66.846777393,0.0,67.1558178614,199.829258598,0.0,100.203124819,66.7862916261,0.0,0.0,444.18967774,66.5207050437,66.5207050437,0.0,66.5810139331,132.601008188,67.0950800099,0.0,0.0,0.0,0.0,0.0,99.7005416818,200.258740298,99.4402441196,931.124038967,0.0,0.0,0.0,0.0,166.829777594,0.0,421.081942732,0.0,67.1355596962,1066.06389261,0.0,0.0,443.093696895,0.0,155.545586197,66.5896137947,0.0,66.4404629387,0.0,66.0206460204,0.0,0.0,510.968160392,66.0206460204,66.3204621026,0.0,66.1502760969,0.0,66.6141894396,0.0,66.0206460204,0.0,0.0,199.701850274,66.1002609086,266.103949154,0.0,67.1153137493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
