Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.902,0.876,0.843,0.805,0.91,0.914,0.901,0.874
ARGO,,,0.917,0.929,0.933,0.93,0.924,0.925,0.916,0.927
ARGO_top10,,,0.908,0.931,0.929,0.938,0.927,0.924,0.915,0.923
ARGO_all_weighted1,,,0.888,0.882,0.941,0.942,0.922,0.908,0.893,0.904
ARGO_all_weighted2,,,0.904,0.918,0.923,0.953,0.93,0.922,0.907,0.915
ARGO_all_weighted_more_ar,,,0.882,0.921,0.923,0.949,0.93,0.921,0.904,0.909
ARGO_top10_weighted1,,,0.879,0.88,0.937,0.962,0.916,0.899,0.881,0.899
ARGO_top10_weighted2,,,0.894,0.932,0.926,0.954,0.929,0.918,0.903,0.917
ARGO_top10_weighted_more_ar,,,0.89,0.936,0.923,0.95,0.93,0.922,0.908,0.916
ARGO_obs_weight,,,0.922,0.914,0.911,0.927,0.928,0.921,0.907,0.916
ARGO_top10_obs,,,0.897,0.931,0.922,0.953,0.933,0.926,0.914,0.917
ARGO_top10_weighted2_obs,,,0.878,0.931,0.928,0.957,0.932,0.918,0.9,0.912
GFT,,,0.945,0.879,0.976,,,0.855,0.855,0.933
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.543,0.341,0.572,0.374,0.445,0.41,0.44,0.485
ARGO,,,0.516,0.281,0.515,0.255,0.5,0.388,0.413,0.437
ARGO_top10,,,0.605,0.271,0.427,0.272,0.518,0.397,0.419,0.434
ARGO_all_weighted1,,,0.691,0.377,0.43,0.242,0.559,0.436,0.468,0.499
ARGO_all_weighted2,,,0.613,0.297,0.476,0.216,0.492,0.399,0.436,0.462
ARGO_all_weighted_more_ar,,,0.671,0.294,0.447,0.223,0.477,0.404,0.445,0.471
ARGO_top10_weighted1,,,0.796,0.381,0.404,0.248,0.604,0.473,0.513,0.527
ARGO_top10_weighted2,,,0.681,0.265,0.457,0.225,0.513,0.411,0.447,0.468
ARGO_top10_weighted_more_ar,,,0.665,0.262,0.433,0.22,0.501,0.402,0.437,0.453
ARGO_obs_weight,,,0.505,0.324,0.586,0.252,0.472,0.402,0.441,0.472
ARGO_top10_obs,,,0.652,0.295,0.429,0.228,0.482,0.396,0.433,0.459
ARGO_top10_weighted2_obs,,,0.759,0.262,0.436,0.208,0.488,0.418,0.465,0.485
GFT,,,0.504,1.046,0.355,,,0.682,0.682,0.635
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.168,0.124,0.426,0.269,0.155,0.288,0.317,0.239
ARGO,,,0.19,0.132,0.533,0.202,0.211,0.318,0.365,0.285
ARGO_top10,,,0.197,0.109,0.449,0.224,0.228,0.313,0.345,0.252
ARGO_all_weighted1,,,0.24,0.169,0.463,0.199,0.237,0.345,0.375,0.29
ARGO_all_weighted2,,,0.199,0.12,0.486,0.148,0.211,0.309,0.355,0.268
ARGO_all_weighted_more_ar,,,0.206,0.118,0.439,0.172,0.202,0.29,0.324,0.254
ARGO_top10_weighted1,,,0.264,0.147,0.414,0.198,0.264,0.328,0.373,0.275
ARGO_top10_weighted2,,,0.2,0.098,0.466,0.168,0.225,0.306,0.345,0.255
ARGO_top10_weighted_more_ar,,,0.193,0.092,0.418,0.177,0.219,0.288,0.326,0.235
ARGO_obs_weight,,,0.195,0.151,0.514,0.196,0.198,0.316,0.369,0.287
ARGO_top10_obs,,,0.189,0.118,0.446,0.18,0.211,0.296,0.334,0.251
ARGO_top10_weighted2_obs,,,0.196,0.106,0.412,0.147,0.213,0.274,0.307,0.238
GFT,,,0.205,0.52,0.288,,,0.454,0.454,0.338
