Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.945,0.879,0.976,,,0.855,0.855,0.933
AR52,,,0.902,0.876,0.843,0.805,0.91,0.914,0.901,0.874
ARGO,,,0.917,0.929,0.933,0.93,0.924,0.925,0.916,0.927
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.504,1.046,0.355,,,0.682,0.682,0.635
AR52,,,0.543,0.341,0.572,0.374,0.445,0.41,0.44,0.485
ARGO,,,0.516,0.281,0.515,0.255,0.5,0.388,0.413,0.437
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.205,0.52,0.288,,,0.454,0.454,0.338
AR52,,,0.168,0.124,0.426,0.269,0.155,0.288,0.317,0.239
ARGO,,,0.19,0.132,0.533,0.202,0.211,0.318,0.365,0.285
