Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.976,,,0.979,0.979,0.979
AR52,0.843,0.805,0.91,0.914,0.872,0.912
ARGO(gt),0.93,0.903,0.92,0.916,0.941,0.918
"ARGO(gt,ath)",0.933,0.93,0.924,0.926,0.935,0.925
Net,0.923,0.899,0.916,0.94,0.933,0.928
ARGONet,0.919,0.908,0.928,0.936,0.926,0.932
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.355,,,0.326,0.326,0.326
AR52,0.572,0.374,0.445,0.41,0.504,0.428
ARGO(gt),0.605,0.272,0.484,0.421,0.543,0.452
"ARGO(gt,ath)",0.515,0.255,0.5,0.389,0.465,0.444
Net,0.465,0.284,0.426,0.354,0.418,0.39
ARGONet,0.496,0.284,0.417,0.364,0.45,0.39
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.288,,,0.546,0.546,0.546
AR52,0.426,0.269,0.155,0.359,0.598,0.257
ARGO(gt),0.638,0.187,0.203,0.478,0.918,0.34
"ARGO(gt,ath)",0.533,0.202,0.211,0.399,0.714,0.305
Net,0.406,0.205,0.171,0.365,0.62,0.268
ARGONet,0.45,0.216,0.155,0.385,0.685,0.27
