Week,MN,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,cold or flu,expectorant,how long contagious,how to get rid of the flu,influenza a contagious,influenza a treatment,influenza contagious,is influenza contagious,contagious flu,flu or cold,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,type a influenza,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,cough and fever,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,influenza treatment,flu treatment,body temperature,flu incubation period,symptoms of bronchitis,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,how to treat the flu,influenza a and b,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,influenza b treatment,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,symptoms of influenza,symptoms of influenza b,is the flu contagious,flu contagious period,what is influenza,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,influenza a incubation period,influenza incubation period,how long are you contagious with the flu,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,how long is flu contagious,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,rsv infant,stomach flu symptoms,symptoms of the flu,early flu symptoms,what is rsv,incubation period for influenza
2009-10-04,5.013490619,,,,84.8284607532,0.0,0.0,84.6443359061,0.0,792.137763013,141.281217881,296.950829756,197.319264798,197.319264798,84.6563046628,536.209264369,126.555075271,84.9262274274,0.0,84.8797089108,0.0,0.0,0.0,0.0,0.0,169.210613778,84.9262274274,0.0,0.0,0.0,85.4399900375,84.9005233634,5209.77631323,126.669570227,0.0,296.950829756,0.0,84.599494094,85.36255198,168.663923531,1551.2595785,7633.01949503,84.4268973482,1723.2693959,84.9005233634,212.135067169,0.0,395.190613516,84.8544054546,84.5865797595,282.154202158,451.586237752,197.616543041,253.280692044,297.136670852,0.0,168.86728635,84.6055516049,225.91207496,85.1310777505,0.0,85.0286027848,84.7590108901,170.313470195,84.8160711837,169.653699017,226.065827665,0.0,84.446326494,226.133512138,0.0,0.0,3257.77373833,84.7336254039,0.0,170.416192433,169.210613778,0.0,0.0,84.4268973482,168.955728771,168.548729123,170.05744767,0.0,1355.29550507,0.0,0.0,0.0,84.4523731772,0.0,678.017958772,0.0,126.669570227,1213.58635007,0.0,0.0,1496.49034036,84.3505619979,1017.24729326,198.085589722,0.0,127.593124167,84.5168210885,84.6888147046,84.6055516049,1694.07950821,113.011272122,169.721932832,85.2852541666,169.721932832,0.0,113.011272122,225.963031613,169.390899271,396.171210539,0.0,141.178909178,282.844476444,85.4141617454,0.0,0.0
2009-10-11,6.143647919,,,,0.0,85.6216131504,85.4925872114,0.0,85.3726521494,940.431996718,227.803652076,426.932171551,595.744227838,595.744227838,113.712994852,654.059447034,199.077260658,128.487410983,170.964193714,212.867987955,85.1703218345,85.389646107,0.0,85.4668286735,0.0,171.092424486,128.487410983,0.0,85.5699560686,85.5699560686,170.446323859,85.6774678965,5930.9108566,142.362576532,0.0,426.932171551,0.0,0.0,113.704706769,84.9651072714,2074.17346052,9368.65694058,0.0,1422.63470338,85.6774678965,127.879413018,0.0,909.465139202,127.91611575,0.0,85.131916647,455.419120262,284.278526178,84.7486418195,170.736918114,0.0,342.184848973,171.665080473,171.144004958,85.4410856528,85.7769592886,227.220597666,0.0,0.0,86.0141689493,212.855333568,170.754455483,85.4972568762,171.324668953,199.394756072,0.0,0.0,2768.14077844,127.853607949,0.0,113.919043516,171.092424486,0.0,0.0,128.590384405,85.6216131504,86.0401786768,213.619657744,85.8066558758,1251.87552099,0.0,142.207728897,86.0141689493,85.7549339615,0.0,796.935888659,85.5699560686,142.362576532,1904.45678322,0.0,0.0,2247.62107536,85.9621966417,1081.51397004,171.712886588,0.0,171.768711672,84.6465042578,85.8066558758,85.7510291316,1450.17790336,142.336397846,512.803604962,127.813299763,512.803604962,171.294930174,142.336397846,312.790017829,343.004116526,484.333990482,0.0,170.548574915,284.733652967,85.7510291316,85.7769592886,0.0
2009-10-18,5.198840099,,,,168.171719433,0.0,0.0,0.0,83.9850147587,1177.77082329,125.867385504,364.439452014,474.895741145,474.895741145,83.8315168749,699.921704534,84.0182011195,0.0,168.543605385,140.146377696,84.065007908,0.0,0.0,83.6997339769,84.242842618,335.540625527,0.0,0.0,0.0,84.0415311495,83.9978808662,84.3283164524,6117.85619366,252.137459935,0.0,364.439452014,0.0,84.1701785711,167.88045242,168.210490658,1845.67640991,7314.79023865,84.2937908143,1344.47435036,84.3283164524,168.065623614,0.0,671.739371963,126.256757003,0.0,195.841810248,812.216080033,223.946904314,139.943588039,168.030059478,0.0,111.889036995,0.0,223.98913772,0.0,0.0,209.684242705,0.0,84.1812182633,84.2683090154,252.136909147,252.107122426,0.0,139.968793682,448.569575131,0.0,0.0,3539.05248609,196.086757761,0.0,167.905359365,335.540625527,0.0,0.0,0.0,112.167763461,0.0,168.796348948,83.7754574998,2662.88228445,0.0,84.0941211808,0.0,0.0,83.9273163351,559.893503783,84.0415311495,252.137459935,1566.36332014,84.2718026925,0.0,2884.14368154,0.0,1036.38161345,224.420289243,0.0,83.7502011062,126.15732907,126.282160754,0.0,2379.79972283,84.0370051116,224.386611491,126.07016006,224.386611491,167.865464368,84.0370051116,279.87008273,126.231299461,476.87824966,0.0,167.449919873,252.272296259,84.1194583671,0.0,0.0
2009-10-25,4.382259768,,,,165.554529039,0.0,0.0,82.8125878235,0.0,1101.90335484,247.683091057,357.865115604,466.589822424,466.589822424,123.547934653,714.819189041,163.913082565,82.5778612929,0.0,302.761828212,0.0,0.0,0.0,0.0,0.0,82.3207531641,82.5778612929,0.0,82.5820800058,205.913492127,164.718508547,82.5325347627,5209.65304869,82.5557150308,82.129549663,357.865115604,0.0,0.0,247.55918572,82.4203915597,1840.46571324,6661.74070756,0.0,1045.59490922,82.5325347627,330.147299431,0.0,384.869416286,82.5972086247,82.9377201713,165.177704203,439.881864231,164.706062367,82.3828613434,246.897682554,0.0,164.895392625,0.0,164.753355178,82.6027341427,82.8125878235,109.866783261,82.5530034177,192.97094817,165.925584067,302.72063027,288.45997816,164.928435124,123.704647511,440.586559278,0.0,0.0,3559.25624612,82.9077855233,0.0,165.754655397,82.3207531641,82.7325046012,0.0,82.8625954248,0.0,82.7827955083,192.723075808,123.493646995,1981.41284684,0.0,82.7200712183,0.0,82.7127534801,82.8522892307,687.524209291,205.913492127,82.5557150308,1401.52880723,0.0,0.0,2613.3232041,124.223779441,963.123191512,82.8773276983,0.0,82.3281700975,0.0,82.519603208,0.0,1814.85217205,192.629375406,220.330804608,165.185757866,220.330804608,82.6878324938,192.629375406,165.3278885,123.816676294,413.250955108,0.0,82.7075626297,248.007578246,82.0553138543,0.0,0.0
2009-11-01,3.082522469,,,,0.0,83.267486498,0.0,0.0,0.0,864.904685105,83.7156729382,306.598586989,417.208880304,417.208880304,111.314765449,612.627211532,167.380952775,83.7727619289,83.3931543014,250.823659765,0.0,0.0,0.0,83.9515335528,0.0,139.080581323,83.7727619289,0.0,0.0,83.6777982283,83.683939748,0.0,3295.50886197,111.4074187,0.0,306.598586989,83.3931543014,0.0,222.70583172,111.331800526,1056.97949472,7194.00249274,0.0,1142.28190299,0.0,83.1922674497,0.0,473.033604558,125.061944564,83.7595461902,139.357907163,306.221116578,222.705269664,83.3428416894,167.013862817,0.0,125.365472365,166.812337794,111.373596034,0.0,84.2561656673,83.5392511968,83.2173253616,83.3307564476,125.418881952,194.897502037,139.324514493,83.4939619826,83.5574088634,167.37556933,0.0,0.0,2570.53397103,84.358201593,0.0,84.205240212,139.080581323,83.3368013633,0.0,83.3679904045,168.207147517,83.9009755681,167.610386183,168.05496976,1588.92485819,0.0,83.2173253616,84.0781954924,83.7030328058,0.0,918.563246254,83.6777982283,111.4074187,1419.72121026,0.0,0.0,1643.5448087,0.0,724.562573527,83.5574040172,0.0,125.696372938,0.0,83.816901211,0.0,1698.83886619,84.0528325375,195.360124844,83.4565197383,195.360124844,139.324028898,84.0528325375,194.956124741,83.4817179629,251.193963656,0.0,0.0,195.200353636,0.0,0.0,0.0
2009-11-08,2.261494683,,,,0.0,0.0,0.0,83.0512980321,0.0,997.154600106,83.1265483777,221.385504188,303.510498549,303.510498549,193.424499526,635.48017863,124.903868371,0.0,82.3971788818,82.4836470557,0.0,0.0,0.0,0.0,0.0,138.053366337,0.0,0.0,0.0,82.9012053248,82.2694915266,0.0,2022.38487762,165.839258464,82.0214677355,221.385504188,0.0,0.0,123.657598807,124.490088294,524.644629753,7138.36097618,0.0,885.074561163,0.0,82.9848414497,0.0,250.159159585,0.0,0.0,83.4201716888,387.350314087,125.092328526,0.0,124.464806069,0.0,82.4588212947,83.4454350241,138.161691298,83.3026639463,82.0957177063,82.9012053248,83.2943115791,0.0,0.0,166.006025087,124.277681597,83.8681278457,82.9761838042,83.1516621385,0.0,0.0,1747.35681857,123.781435278,0.0,0.0,138.053366337,0.0,0.0,82.145292415,83.0600618872,0.0,110.576855052,0.0,1051.28397593,0.0,0.0,0.0,0.0,83.0512980321,636.096251749,82.9012053248,165.839258464,1740.36467372,0.0,0.0,1437.43838262,0.0,497.984028056,252.060601821,0.0,83.8175591826,0.0,82.5957342416,0.0,1603.2431109,82.9761838042,138.437080141,82.5583041812,138.437080141,82.9473898463,82.9761838042,193.499573736,110.776286353,334.183581295,0.0,0.0,83.4830679996,82.5834305404,0.0,0.0
2009-11-15,1.620215533,,,,81.7646845931,0.0,0.0,0.0,0.0,791.781017311,81.740041831,204.91390622,299.134861641,299.134861641,108.924281281,653.99073617,81.9991234145,82.4956364233,81.2766560452,286.782970298,0.0,0.0,0.0,81.6170504951,0.0,136.063084591,82.4956364233,0.0,0.0,81.3502095801,0.0,0.0,1501.99224366,82.023807076,0.0,204.91390622,0.0,0.0,163.875201689,0.0,544.301828679,7146.90485428,0.0,708.661036978,0.0,122.958263924,0.0,190.636227571,81.6064342628,82.3211743524,82.023807076,381.305623826,136.137016856,82.1970096852,163.448230217,0.0,81.918621314,0.0,163.332405176,0.0,0.0,0.0,326.468201981,82.5206199595,81.1543619495,204.777942507,81.4221141761,81.3502095801,82.1474486302,109.138080441,81.6662025882,0.0,1065.90096641,81.9679922074,0.0,81.9073137437,136.063084591,0.0,0.0,0.0,81.8331335316,0.0,218.311748132,81.3256769475,1227.11006631,0.0,122.834680403,0.0,0.0,82.0793749023,626.950515701,81.3502095801,82.023807076,1415.8773176,0.0,0.0,790.49715213,0.0,490.665055209,81.4977167598,81.301159107,82.3709453163,0.0,0.0,81.9871399019,572.294129579,164.010189742,82.1722216847,81.5470047651,82.1722216847,0.0,164.010189742,122.236977597,0.0,327.669733415,0.0,109.006390401,163.508172028,0.0,0.0,0.0
2009-11-22,1.055913113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.8250238147,774.596784343,96.1647702316,387.884610947,144.984887459,144.984887459,96.4599984347,612.091508101,97.1979026479,97.3448160436,0.0,128.891843795,0.0,0.0,0.0,0.0,0.0,145.275791151,97.3448160436,0.0,0.0,96.9673556048,97.0590419992,96.3685091516,871.096231766,193.766845004,0.0,387.884610947,0.0,95.9908212954,0.0,0.0,257.414799451,6481.54028283,96.9126482706,354.442625656,96.3685091516,97.0551000626,0.0,96.6009089403,97.1470907219,0.0,0.0,321.957946046,96.6793346426,0.0,96.3480753747,0.0,0.0,0.0,192.27146995,0.0,0.0,95.9040826015,0.0,0.0,0.0,97.051432029,241.362704725,0.0,0.0,193.16149556,0.0,0.0,711.0194528,97.1392613793,0.0,0.0,145.275791151,0.0,0.0,0.0,96.9711527369,96.0777170299,161.018689541,0.0,837.701393329,0.0,95.9040826015,0.0,0.0,0.0,418.666128818,96.9673556048,193.766845004,1223.17162707,0.0,0.0,805.642501449,0.0,322.161751052,0.0,0.0,96.8542143555,0.0,0.0,0.0,612.129021149,0.0,193.161812622,194.395805296,193.161812622,0.0,0.0,193.846984426,96.6245309421,129.08636238,0.0,97.1099672715,0.0,0.0,0.0,0.0
2009-11-29,0.691748429,,,,0.0,0.0,0.0,0.0,0.0,1186.57630186,0.0,78.6138758029,196.36890155,196.36890155,78.5428605583,815.878855374,78.7325203484,0.0,79.0552315386,79.4586886585,0.0,0.0,0.0,0.0,0.0,79.1955011923,0.0,0.0,0.0,78.5901897903,79.4586886585,0.0,580.664980579,79.0098372873,0.0,78.6138758029,0.0,78.5428605583,0.0,78.8038791281,157.781204519,7878.7310839,0.0,421.289278443,0.0,78.9778762622,0.0,157.419063857,79.5307709282,0.0,78.8410542105,315.816753619,157.227751606,79.3388414659,184.228888794,0.0,0.0,0.0,118.747382913,0.0,0.0,0.0,78.495588298,78.6138758029,118.587952253,79.0464913029,183.889018391,0.0,0.0,105.385882922,0.0,0.0,871.495406259,78.6850195819,0.0,0.0,79.1955011923,0.0,0.0,0.0,78.8276941415,0.0,210.375975678,78.8173283441,948.428260091,0.0,0.0,78.8515235532,78.6138758029,0.0,368.537630409,78.5901897903,79.0098372873,1289.24441721,79.1848018022,0.0,500.005696934,0.0,355.095682785,157.799066884,0.0,79.0653133719,79.1131953207,0.0,0.0,500.155996212,0.0,159.061541856,158.621038189,159.061541856,0.0,0.0,157.979531573,0.0,158.194135877,0.0,157.322581372,78.8515235532,0.0,0.0,0.0
2009-12-06,0.672489758,,,,0.0,0.0,0.0,0.0,0.0,708.241105071,0.0,156.701586173,157.975652005,157.975652005,158.213710552,392.756225878,78.469040586,0.0,0.0,118.102039447,0.0,0.0,0.0,0.0,0.0,78.6558915521,0.0,0.0,0.0,78.3271863397,0.0,0.0,945.016875753,78.5922939192,0.0,156.701586173,0.0,0.0,0.0,0.0,287.728769928,11060.7608053,0.0,130.989527229,0.0,78.2526381401,0.0,104.726926311,78.2725750957,0.0,156.34017562,209.485699779,78.6677801285,0.0,117.467689194,79.0353947022,78.6041158487,0.0,79.1307041924,0.0,0.0,0.0,0.0,78.8460038693,0.0,156.167932962,156.687076891,0.0,79.083020731,104.884945379,0.0,0.0,341.456817405,78.7944265909,0.0,0.0,78.6558915521,0.0,0.0,0.0,0.0,0.0,157.455568242,78.0134723794,785.393801999,0.0,0.0,0.0,0.0,0.0,445.36033287,78.3271863397,78.5922939192,1203.70850301,0.0,0.0,340.530538622,0.0,261.924000138,157.882270078,0.0,78.418059546,0.0,158.739973273,0.0,274.137760035,0.0,78.469040586,118.102039798,78.469040586,0.0,0.0,235.05237926,0.0,183.625823401,0.0,78.2997568943,118.447498116,0.0,0.0,0.0
