Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.817,0.864,0.827,0.618,0.867,0.853,0.855,0.836
ARGO,,,0.859,0.857,0.902,0.71,0.869,0.872,0.88,0.872
ARGO_top10,,,0.819,0.832,0.884,0.795,0.911,0.853,0.838,0.845
ARGO_all_weighted1,,,0.827,0.836,0.894,0.769,0.892,0.856,0.851,0.853
ARGO_all_weighted2,,,0.836,0.859,0.901,0.756,0.91,0.87,0.865,0.865
ARGO_all_weighted_more_ar,,,0.838,0.85,0.906,0.774,0.915,0.872,0.869,0.865
ARGO_top10_weighted1,,,0.802,0.821,0.912,0.828,0.894,0.847,0.833,0.845
ARGO_top10_weighted2,,,0.831,0.863,0.901,0.784,0.922,0.868,0.858,0.865
ARGO_top10_weighted_more_ar,,,0.829,0.843,0.906,0.812,0.921,0.87,0.862,0.859
ARGO_obs_weight,,,0.862,0.88,0.912,0.721,0.883,0.884,0.891,0.885
ARGO_top10_obs,,,0.814,0.853,0.894,0.795,0.916,0.862,0.848,0.854
ARGO_top10_weighted2_obs,,,0.834,0.872,0.916,0.788,0.925,0.878,0.872,0.874
GFT,,,0.783,0.818,0.917,,,0.701,0.701,0.839
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.84,0.451,0.941,0.683,0.608,0.637,0.675,0.744
ARGO,,,0.86,0.452,0.731,0.643,0.606,0.607,0.624,0.681
ARGO_top10,,,1.055,0.494,0.867,0.542,0.532,0.648,0.722,0.806
ARGO_all_weighted1,,,0.986,0.531,0.798,0.602,0.588,0.636,0.69,0.772
ARGO_all_weighted2,,,0.996,0.469,0.744,0.615,0.522,0.61,0.666,0.737
ARGO_all_weighted_more_ar,,,0.961,0.479,0.73,0.638,0.514,0.606,0.654,0.723
ARGO_top10_weighted1,,,1.092,0.558,0.786,0.537,0.569,0.654,0.729,0.812
ARGO_top10_weighted2,,,1.031,0.462,0.751,0.592,0.493,0.614,0.683,0.748
ARGO_top10_weighted_more_ar,,,0.988,0.49,0.74,0.59,0.489,0.608,0.67,0.739
ARGO_obs_weight,,,0.847,0.424,0.686,0.629,0.564,0.58,0.598,0.652
ARGO_top10_obs,,,1.084,0.462,0.804,0.539,0.5,0.634,0.709,0.783
ARGO_top10_weighted2_obs,,,1.005,0.445,0.686,0.576,0.478,0.594,0.654,0.712
GFT,,,3.268,0.578,0.782,,,1.616,1.616,1.543
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.301,0.34,0.226,0.434,0.22,0.449,0.504,0.289
ARGO,,,0.391,0.338,0.253,0.477,0.243,0.461,0.489,0.327
ARGO_top10,,,0.409,0.347,0.221,0.415,0.206,0.473,0.532,0.326
ARGO_all_weighted1,,,0.456,0.346,0.251,0.436,0.245,0.473,0.529,0.351
ARGO_all_weighted2,,,0.37,0.303,0.189,0.439,0.214,0.425,0.471,0.287
ARGO_all_weighted_more_ar,,,0.391,0.32,0.207,0.452,0.217,0.437,0.479,0.306
ARGO_top10_weighted1,,,0.467,0.381,0.229,0.406,0.236,0.521,0.605,0.359
ARGO_top10_weighted2,,,0.381,0.315,0.187,0.439,0.2,0.447,0.512,0.294
ARGO_top10_weighted_more_ar,,,0.391,0.335,0.196,0.419,0.211,0.463,0.522,0.307
ARGO_obs_weight,,,0.366,0.318,0.235,0.455,0.23,0.443,0.473,0.306
ARGO_top10_obs,,,0.401,0.295,0.213,0.411,0.192,0.449,0.507,0.303
ARGO_top10_weighted2_obs,,,0.374,0.322,0.166,0.413,0.192,0.443,0.502,0.287
GFT,,,1.127,0.366,0.29,,,0.727,0.727,0.594
