Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.783,0.818,0.917,,,0.701,0.701,0.839
AR52,,,0.817,0.864,0.827,0.618,0.867,0.853,0.855,0.836
ARGO,,,0.862,0.88,0.912,0.721,0.883,0.884,0.891,0.885
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,3.268,0.578,0.782,,,1.616,1.616,1.543
AR52,,,0.84,0.451,0.941,0.683,0.608,0.637,0.675,0.744
ARGO,,,0.847,0.424,0.686,0.629,0.564,0.58,0.598,0.652
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.127,0.366,0.29,,,0.727,0.727,0.594
AR52,,,0.301,0.34,0.226,0.434,0.22,0.449,0.504,0.289
ARGO,,,0.366,0.318,0.235,0.455,0.23,0.443,0.473,0.306
