Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.917,,,0.931,0.931,0.931
AR52,0.827,0.618,0.867,0.854,0.854,0.861
ARGO(gt),0.914,0.696,0.886,0.891,0.92,0.888
"ARGO(gt,ath)",0.912,0.721,0.883,0.896,0.922,0.89
Net,0.832,0.7,0.935,0.884,0.862,0.909
ARGONet,0.91,0.703,0.915,0.907,0.922,0.911
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.782,,,0.693,0.693,0.693
AR52,0.941,0.683,0.608,0.667,0.827,0.638
ARGO(gt),0.678,0.659,0.558,0.587,0.622,0.573
"ARGO(gt,ath)",0.686,0.629,0.564,0.574,0.619,0.569
Net,0.917,0.6,0.415,0.598,0.805,0.506
ARGONet,0.687,0.608,0.464,0.536,0.614,0.5
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.29,,,0.296,0.296,0.296
AR52,0.226,0.434,0.22,0.326,0.256,0.273
ARGO(gt),0.245,0.477,0.224,0.375,0.301,0.3
"ARGO(gt,ath)",0.235,0.455,0.23,0.357,0.282,0.293
Net,0.245,0.433,0.161,0.296,0.271,0.229
ARGONet,0.232,0.429,0.188,0.313,0.259,0.25
