Week,NC,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,how contagious is the flu,what to do if you have the flu,influenza b symptoms,sinus infection cure,robitussin cough,strep,fever and cough,signs of flu,flu fever,flu recovery time,flu how long,how to reduce fever,sinus infections,how long flu,upper respiratory,strep throat,generic tamiflu,intestinal flu,ear thermometer,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,tylenol sinus,flu in children,how long does it take to get over the flu,how to treat flu,contagious flu,flu care,flu or cold,can adults get rsv,rsv in adults,influenza a symptoms,fever cough,signs of rsv,oscillococcinum,type a influenza,flu symptoms,flu incubation,how to get over the flu,cold and flu,acute bronchitis,fever flu,what is flu a,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,type b flu,medicine for flu,flu children,treatment for flu,cough and fever,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,dangerous fever,do i have the flu,how to cure the flu,influenza treatment,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,oscillo,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,when is the flu contagious,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,treating the flu,type b flu symptoms,flu virus,is tamiflu an antibiotic,rsv baby,flu shot,chest cold,remedies for flu,rsv infection,flu like symptoms,flu contagious,symptoms of influenza,flu while pregnant,is the flu contagious,type a flu symptoms,flu complications,flu contagious period,incubation period for the flu,flu cough,what is influenza,rsv,tussionex,pneumonia,how long am i contagious with the flu,is rsv contagious,signs of the flu,tamiflu generic,influenza incubation period,how long are you contagious with the flu,flu a symptoms,fever reducer,bronchitis,tamiflu and alcohol,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,when is the flu no longer contagious,rsv symptoms,flu symptoms in toddlers,oseltamivir,how long is flu contagious,home remedies for flu,flu a and b,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,cure flu,how to get rid of flu,normal body,flu medicine,cold symptoms,what is type a flu,rsv infant,stomach flu symptoms,how long does rsv last,how long is rsv contagious,treat the flu,symptoms of the flu,early flu symptoms,flu headache,flu type b,flu type a,what is rsv,is flu contagious
2009-10-04,5.170466577,0.0389940302299,0.0613489140099,0.07824209323,58.0428870701,57.7852966502,57.8726119972,0.0,0.0,87.0256875452,0.0,965.742684474,86.9890775224,289.595672439,424.526114136,0.0,405.239769015,58.0078264316,57.835780233,405.239769015,115.876652914,616.978532381,0.0,0.0,57.8331566742,173.655856959,86.9017664116,521.721152377,86.9504066875,231.718303121,57.6982443805,144.532951922,0.0,269.737426937,0.0,57.8708370107,154.50409166,173.645509458,86.9017664116,0.0,0.0,57.7156338454,96.4593108272,0.0,115.772795844,57.8291028242,4761.17378892,308.675726926,0.0,57.7678651882,0.0,424.526114136,202.248007904,0.0,57.8772823408,115.8618928,77.1907529659,1947.07974398,5419.08836615,0.0,0.0,385.872918583,57.7504442397,86.9890775224,1233.90083631,57.8291028242,154.329057727,0.0,308.355806657,0.0,57.879432537,0.0,0.0,57.9028981957,212.170294044,501.299080004,327.833978157,173.504698903,57.8357697103,135.241326722,0.0,57.8863979222,57.8179253133,77.1907705084,0.0,115.627992392,57.748743611,0.0,96.4246847391,57.8027386353,0.0,57.9028981957,96.4360641814,0.0,173.133237798,57.7313572278,0.0,212.263463911,0.0,0.0,2429.80870937,86.7026067894,0.0,0.0,57.8515160916,154.50409166,0.0,0.0,57.8352982922,57.8854470509,0.0,116.08577414,57.9562879288,193.146576694,58.1483237405,134.833916801,96.5819910208,1177.71215664,0.0,0.0,77.1267218651,0.0,0.0,0.0,202.298803441,57.9038546164,482.698914624,0.0,96.4593108272,57.7678651882,1254.38116607,57.9028981957,2489.91823419,925.997684387,193.081780688,77.3892557906,77.2609222557,0.0,0.0,57.973786808,86.7667533944,57.8116844609,0.0,0.0,1967.247269,144.751113917,115.809430615,57.905693589,115.809430615,57.8353614091,144.751113917,0.0,57.8440005228,212.105761769,115.805796391,212.024438509,0.0,57.8166762746,57.9558331159,0.0,0.0,57.8726119972,443.977692813,57.7662348326,134.886273553,0.0,57.8772823408,0.0,57.7471223784
2009-10-11,5.344757242,0.0334761649705,0.0542313872523,0.0700321371184,57.9361404976,57.6506839125,172.3290885,0.0,0.0,57.8249604661,57.8249604661,769.433099159,0.0,86.2372455095,307.45731067,57.2699561965,442.327713188,0.0,202.267256618,442.327713188,57.8018732411,556.572099302,57.2354666113,0.0,57.356078034,288.084918313,57.7725669652,616.275290606,57.7551235573,192.151950216,57.7028564772,115.144969855,76.852679129,172.81868841,0.0,57.2527062096,269.080368894,269.30051986,57.7725669652,0.0,0.0,0.0,86.4063548562,0.0,57.8662958436,57.7028564772,5319.00929024,403.695560212,0.0,144.138130663,57.8488609849,307.45731067,115.534305054,57.6854551332,57.7496923812,96.1340235769,143.774938355,1055.92839757,6223.86255604,57.4951556612,57.7670055609,537.987352397,57.8455052553,0.0,1862.25322688,57.7028564772,76.8642664134,0.0,230.366936134,115.872280995,0.0,57.5204668795,0.0,0.0,230.599181431,288.251714677,288.158737437,134.470471422,57.2354666113,134.656312812,0.0,86.6113452429,76.7890450305,173.033132327,0.0,0.0,76.7716761829,0.0,232.094735097,115.030014813,0.0,134.534332942,201.678668441,57.8837412146,86.345603098,57.8662958436,0.0,403.563464735,0.0,0.0,2458.89721018,57.183810053,57.6333140168,0.0,96.2099603527,269.080368894,0.0,57.4256751106,0.0,57.4857061836,0.0,0.0,0.0,144.201566847,57.6680642815,95.9486754238,258.912638163,1384.49067967,0.0,0.0,57.6235702733,57.2354666113,57.7376906797,57.9536280136,288.112073459,57.8837412146,615.21639846,0.0,86.4063548562,144.138130663,960.964584975,0.0,2287.897788,1133.81025907,96.2037330419,173.135656853,86.6461656437,0.0,57.9361404976,57.3909977705,86.715853682,115.107331774,57.7202683228,115.684892181,2035.99262758,57.9011971076,115.357330099,57.3563622861,115.357330099,57.4944316131,57.9011971076,57.2182373919,57.9186635321,172.888086505,134.325837903,230.413271231,57.5986056073,0.0,86.502036837,0.0,0.0,0.0,346.021697377,0.0,57.7271105258,57.4951556612,57.7496923812,57.8488609849,76.7312791987
2009-10-18,5.15259049,0.0393859317982,0.0581351453379,0.0726060148484,0.0,58.9637622106,88.4233566363,58.8353601905,59.344048479,58.6755779811,58.1231246801,1092.59005924,59.0172496636,97.3962427524,467.704255858,59.1473673903,701.549958391,58.7287422016,214.410610026,701.549958391,172.328373606,602.872402637,0.0,0.0,0.0,175.315480654,0.0,566.085123097,87.7012911829,194.757119619,0.0,59.2723769228,0.0,272.388945294,57.3736246863,118.016639116,214.493124689,156.015038905,0.0,0.0,0.0,0.0,116.902450647,0.0,116.843679105,58.5342761678,5742.28032177,389.696528712,57.4947756283,77.989859583,58.3176690521,467.704255858,175.157485493,58.8175636508,77.8078923438,145.185093947,87.5601024611,1362.77972386,7322.47602742,0.0,86.8265487246,642.967998102,136.438358111,59.0172496636,1771.70509927,58.5342761678,175.005695814,0.0,291.906773233,57.5121246855,0.0,87.5865210565,0.0,57.3736246863,203.897288954,272.641979614,253.270336285,194.692585949,59.2187367627,195.051431958,0.0,58.6932886899,88.3522194217,233.840295534,58.746485024,177.495580803,97.2905740988,117.174369045,262.390567443,58.3840307648,0.0,97.4021182051,116.617690389,57.4601088959,172.328373606,0.0,0.0,408.969088295,0.0,0.0,3875.41233958,116.600122193,57.9743811542,0.0,87.2726671957,214.493124689,0.0,58.746485024,97.366801986,59.2008782776,58.4482929418,58.7642385704,0.0,214.458044056,0.0,213.911505173,116.86181545,1598.58029014,0.0,0.0,118.330387202,0.0,0.0,0.0,311.612556612,0.0,623.866598292,0.0,116.902450647,77.989859583,1344.54305408,59.1651936011,2865.44723358,1110.50561675,156.038718292,174.580283763,59.1473673903,59.0939531513,0.0,58.990358012,58.418919568,59.1117471751,0.0,0.0,2531.30637307,116.967285772,116.996627263,57.616439301,116.996627263,59.2544860756,116.967285772,97.3022648018,58.6401886096,292.106281314,203.080538213,389.127115031,0.0,57.5294842161,59.290278577,0.0,0.0,59.1117471751,272.713230498,57.3218590099,114.609249073,0.0,77.8078923438,0.0,58.3661824853
2009-10-25,4.708815672,0.0343156014798,0.0473274652379,0.0636560785815,113.955582997,56.9777914985,0.0,0.0,0.0,0.0,0.0,877.155317277,57.1906483428,152.429492145,400.05270345,57.2252150689,457.190475555,0.0,171.500536689,457.190475555,114.301026152,779.909077773,0.0,56.8065841923,85.4157578649,190.387337729,57.4716177868,457.992024776,229.677736458,247.38759107,0.0,114.361403149,0.0,152.268538545,0.0,114.300067831,152.395072001,152.486906874,57.4716177868,0.0,0.0,114.139985933,95.1879073082,0.0,0.0,171.088065332,4451.51679752,304.697944009,57.0637827322,114.33354168,0.0,400.05270345,152.079668079,0.0,85.6504801222,114.23713723,57.2079264843,1122.54354912,6110.11075833,0.0,85.5357979876,266.676954841,57.1036947908,57.1906483428,1541.02312623,171.088065332,114.212872536,0.0,285.27120651,57.1207908232,57.1599307967,95.25692496,0.0,57.0465637272,190.376132833,266.522027243,228.575359189,133.214912619,57.0293551107,142.921472251,0.0,57.0356134527,170.881873027,95.2626640573,57.0465637272,57.1561233513,57.0405269417,56.9809850866,114.051480647,56.9711142085,0.0,209.475623463,95.2569111227,0.0,113.965758659,0.0,0.0,133.209439965,0.0,0.0,2417.52353359,57.0238601422,57.0238601422,0.0,76.2150069758,152.395072001,0.0,0.0,56.9949690057,0.0,57.1203713743,95.2683788483,0.0,143.119909545,56.9949690057,133.12318794,133.232725604,1314.88745523,0.0,0.0,85.7283570409,0.0,0.0,57.1561233513,190.404534095,0.0,724.235822547,0.0,95.1879073082,114.33354168,1371.0160637,0.0,2438.63338312,933.032149993,114.350824847,114.427158435,85.8318622382,0.0,0.0,57.1388764825,57.0978311474,0.0,0.0,0.0,2151.19597888,114.206426617,190.565588386,114.485028212,190.565588386,0.0,114.206426617,57.0238549625,0.0,266.487084404,190.163687323,190.220974169,0.0,0.0,114.381296686,0.0,0.0,57.1427139501,343.054508797,142.448389902,113.865445979,0.0,85.6504801222,0.0,57.0344319945
2009-11-01,3.30237017,0.0224865995555,0.03595241208,0.0469342397699,57.4262095455,114.852419091,85.5381430639,0.0,0.0,57.3089623869,0.0,781.57103616,0.0,114.201086764,285.456714502,57.4089072829,475.860556554,56.6253613431,228.551751311,475.860556554,133.154165188,626.779631236,0.0,0.0,57.1363450303,209.316836466,114.769416952,324.013244578,57.5302425338,133.171348516,56.5570351152,85.9647026805,0.0,133.073913768,0.0,57.5998075187,171.386467314,200.837764236,114.769416952,0.0,0.0,57.1707852624,57.3587294715,0.0,113.11407023,114.410534078,3422.33755429,171.26711792,0.0,143.427097678,57.153559958,285.456714502,56.8365833282,0.0,0.0,152.239301277,57.4781789659,1045.37590625,6143.65478487,0.0,57.4608453776,228.132803915,57.5650040097,0.0,931.7699167,114.410534078,95.1387924997,0.0,285.072388258,57.4955230151,0.0,0.0,0.0,0.0,133.228989732,247.189439051,133.160024614,133.114049792,76.0709020694,114.310351248,0.0,85.9473347303,85.9041754719,133.23452728,57.4955230151,57.4262095455,56.4888735784,57.3225521275,143.427536206,86.0770313444,57.5824005053,76.1111005996,114.630973709,57.4435222406,56.9859006814,0.0,0.0,228.259241244,0.0,0.0,1921.09195752,95.0069839368,113.847520291,0.0,56.7797006078,171.386467314,114.479580869,0.0,56.97092347,0.0,169.517695666,56.9394086769,0.0,114.079775637,85.9905148072,132.999490278,133.114561872,1275.84791272,0.0,0.0,56.8706827388,0.0,0.0,57.3743340175,171.140822799,56.5570351152,704.550480873,57.3262815052,57.3587294715,143.427097678,1408.75210568,0.0,1599.07580368,951.410898565,133.326539253,76.329807402,56.7281607888,0.0,0.0,0.0,114.99104603,56.4548543833,57.4955230151,0.0,2301.11708392,85.503807716,133.297775525,113.148202418,133.297775525,0.0,85.503807716,57.4262095455,56.5399793145,133.148395863,56.8107467316,475.235306513,0.0,0.0,86.1290259269,0.0,0.0,57.3502542094,228.340241954,57.4955230151,115.025755069,0.0,0.0,0.0,113.761971054
2009-11-08,2.948775363,0.0185285366513,0.0320530159589,0.0444955369218,0.0,0.0,0.0,0.0,0.0,55.7366074539,55.2447220867,964.060713512,0.0,129.584189368,240.694630428,55.8722924411,240.800748934,0.0,129.752080909,240.800748934,148.069036021,720.984728255,0.0,0.0,0.0,110.946386469,83.6096881862,333.723592323,55.411927662,83.2139815378,0.0,0.0,0.0,139.086404308,0.0,55.7366074539,83.2223346718,111.177509775,83.6096881862,0.0,0.0,0.0,55.4731831479,0.0,55.4731932347,0.0,2626.61747139,110.803903518,0.0,111.097136482,55.6697773399,240.694630428,138.198469177,0.0,110.223364838,92.6088222296,166.615355061,1091.45966572,6791.00055024,55.3784056247,54.995797235,277.50870615,55.7543473123,0.0,721.592933167,0.0,138.720647829,0.0,314.349700913,74.0512666307,55.1614971363,55.1614971363,0.0,0.0,111.080400013,388.792263756,92.5250756159,92.4915815314,110.256554649,111.105040279,55.5853775875,111.170755175,0.0,138.66579609,0.0,55.5686249119,55.4683205348,55.7375386456,55.6951180908,111.049357896,55.7375386456,55.4648199362,148.180831811,0.0,0.0,0.0,0.0,240.393894544,0.0,0.0,1906.05508496,83.0804267336,55.7375386456,0.0,83.5592904921,83.2223346718,0.0,55.3114830802,111.575990155,55.1781220601,111.304978846,0.0,0.0,55.5889477345,0.0,129.36675612,111.214656518,1426.42013534,0.0,0.0,55.3977405257,0.0,0.0,55.8048341949,166.548360461,55.7375386456,518.694739675,0.0,55.4731831479,111.097136482,1111.12268404,0.0,1611.18761743,592.443620291,55.7707047298,83.7698941449,138.913629373,0.0,0.0,0.0,55.6356962757,55.7879950777,0.0,0.0,1794.47254581,55.7370317763,139.296266624,138.888266039,139.296266624,0.0,55.7370317763,0.0,0.0,129.53388279,129.455850261,221.824860611,0.0,0.0,55.5234381946,0.0,0.0,0.0,185.30813847,55.5156411293,55.6196474029,55.3784056247,110.223364838,0.0,167.162220332
2009-11-15,2.466504263,0.00935754189944,0.0227653631285,0.0332402234637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.585112871,55.662858573,83.4407518253,296.295643079,55.4109733885,222.288666348,0.0,148.209365639,222.288666348,111.173908739,628.67568771,0.0,55.4129557654,55.4621511503,111.080074859,83.4154900334,222.608377548,55.6476143803,83.1639023484,0.0,55.528085953,110.888767366,129.485596473,55.3795945639,0.0,129.737086828,74.1353584442,83.4154900334,0.0,0.0,0.0,74.0570992843,0.0,0.0,0.0,2220.25793325,111.085699471,0.0,111.169478744,55.4286623056,296.295643079,138.911555004,0.0,55.6964511249,83.3510775225,55.5701784689,777.316233713,6163.85058625,0.0,55.2445240842,92.5465179846,0.0,55.662858573,832.704894584,0.0,129.591547488,0.0,277.471393111,55.427673501,0.0,0.0,0.0,0.0,74.0460890589,222.300289211,92.5574777659,111.106911194,55.5283523637,92.647023426,0.0,55.5113252872,55.5113252872,203.637566092,55.6964511249,0.0,0.0,92.44039841,74.0684967611,74.0183792009,0.0,92.6189744434,166.938232464,83.3678989732,55.4286623056,0.0,0.0,148.242994938,0.0,0.0,1147.51653817,55.6125456547,0.0,0.0,55.696250962,129.737086828,0.0,0.0,0.0,0.0,0.0,111.291446541,0.0,148.231969742,0.0,83.2647239132,83.4353872819,1260.11096901,0.0,0.0,0.0,0.0,0.0,0.0,129.569217601,0.0,667.000798127,0.0,74.0570992843,111.169478744,1462.80107939,0.0,1222.48051685,518.444378344,55.6964511249,55.7635964054,55.6456946071,0.0,0.0,0.0,55.4109733885,55.579054209,0.0,0.0,1110.3005161,55.4109733885,55.6796497822,166.61245101,55.6796497822,55.5468034846,55.4109733885,110.840651852,0.0,129.569207491,110.823989165,259.054726612,0.0,0.0,55.5123333014,0.0,0.0,0.0,74.0297344295,55.6964511249,55.3942833363,0.0,55.6964511249,0.0,55.4731736427
2009-11-22,1.76110618,0.0104854368932,0.0231067961165,0.0293203883495,66.0469221207,0.0,0.0,0.0,0.0,0.0,0.0,885.371231336,132.716808169,66.3184050467,154.734310941,0.0,99.7400425978,0.0,166.236784611,99.7400425978,88.3748324221,661.809155938,0.0,66.1191309931,66.1191309931,132.90925787,66.0269984639,132.87976346,133.472432691,198.785090944,0.0,0.0,0.0,99.2435622873,66.5348397121,0.0,65.9672995503,0.0,66.0269984639,0.0,0.0,0.0,66.4465495273,0.0,66.3383985363,0.0,1590.14164689,66.319478815,66.5951249791,110.563539787,66.2000931258,154.734310941,66.2102840344,0.0,0.0,0.0,99.4350471506,463.817209581,6230.48237727,0.0,0.0,99.6901766265,99.3933867239,132.716808169,220.79412075,0.0,132.460092847,0.0,242.802777593,0.0,66.0269984639,0.0,0.0,66.3984514016,99.1741193211,375.515940216,99.6799099793,66.3784217028,66.3784217028,110.643829194,0.0,99.6497800829,0.0,110.543564109,0.0,0.0,0.0,0.0,66.3945976531,132.430305589,0.0,99.3450425312,110.563604206,0.0,0.0,0.0,0.0,99.4850577698,0.0,0.0,552.337561951,197.961561569,0.0,0.0,66.7766380393,65.9672995503,66.298423605,66.2784542003,0.0,0.0,0.0,66.6353758857,0.0,0.0,66.3383985363,198.612151015,199.661446041,995.272178525,0.0,0.0,0.0,0.0,0.0,0.0,66.2794509609,0.0,553.105248008,0.0,66.4465495273,110.563539787,906.25868376,0.0,685.537873694,243.082405832,110.690566929,133.335491226,66.298423605,0.0,0.0,0.0,66.3984514016,66.0469221207,0.0,0.0,551.948848555,0.0,133.069679424,66.3784217028,133.069679424,0.0,0.0,0.0,0.0,154.687565508,65.8878687261,331.230823651,0.0,0.0,66.4586130912,0.0,0.0,0.0,198.338039225,0.0,66.4145960258,0.0,0.0,66.5348397121,65.9672995503
2009-11-29,1.442538388,0.00964765100671,0.0190156599553,0.0239093959732,0.0,0.0,0.0,0.0,0.0,54.758540847,108.169443855,994.047253381,54.6264333902,54.1888697872,54.1540673496,0.0,135.811083993,0.0,162.511368449,135.811083993,72.1672650978,703.653985382,0.0,0.0,54.4294630775,54.1970529374,54.0028239418,81.5145306679,108.839374491,81.4162512546,0.0,54.6924073435,54.1643499411,54.0887591025,0.0,0.0,53.7744382009,0.0,54.0028239418,0.0,0.0,0.0,54.6758989199,0.0,53.95431874,0.0,1586.69107562,53.7258175515,0.0,80.8979267348,54.2966076903,54.1540673496,53.8400017594,0.0,0.0,0.0,109.285823905,252.474402922,6566.12287786,0.0,53.9380625427,108.264804662,53.9868605487,54.6264333902,198.412532887,0.0,53.95431874,0.0,198.260194433,0.0,0.0,54.708925739,0.0,54.197033216,108.281015994,288.626281084,107.71133694,53.6772847443,108.237312095,217.662143991,0.0,54.2052163662,53.8069008862,108.373525021,0.0,0.0,0.0,54.0561885374,54.1010666604,0.0,0.0,108.297276941,90.2404242235,0.0,0.0,0.0,0.0,90.213463156,0.0,53.8731355941,486.999775466,53.7993495424,0.0,0.0,0.0,53.7744382009,53.7258175515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9698040073,162.184813333,126.523340224,1047.49560773,0.0,0.0,0.0,0.0,0.0,0.0,54.1159268407,0.0,487.762631748,0.0,54.6758989199,80.8979267348,1191.42318663,0.0,469.068521419,252.609897459,72.2490113093,72.3910717135,0.0,0.0,0.0,0.0,53.970584739,0.0,0.0,0.0,685.269557262,54.7419924817,54.213374849,81.32415138,54.213374849,0.0,54.7419924817,53.95431874,53.7582215428,108.253598976,54.6099647639,234.319432576,0.0,0.0,54.229765848,0.0,0.0,0.0,53.9698040073,53.8407307006,0.0,0.0,0.0,54.6924073435,0.0
2009-12-06,1.349958116,0.00618411806044,0.0181307097681,0.0258608573436,0.0,0.0,0.0,0.0,0.0,0.0,55.0028082515,805.912583537,0.0,0.0,110.007555372,0.0,55.0536149958,0.0,91.5824864773,55.0536149958,137.35050972,730.359469852,0.0,0.0,54.6722625289,54.8676549135,54.7461384767,137.674744438,55.0324124536,146.240226327,0.0,55.0369925275,54.7626581322,54.9374681288,0.0,0.0,0.0,54.9363797392,54.7461384767,0.0,0.0,0.0,54.8415831877,0.0,54.6966392556,0.0,1206.1629549,0.0,0.0,55.0536149958,54.9032256174,110.007555372,109.509051878,0.0,0.0,109.657673142,0.0,274.118232382,8647.96383186,54.8701114886,0.0,127.949475097,0.0,0.0,438.78709002,0.0,73.13664455,0.0,136.916870721,164.709676852,0.0,0.0,0.0,0.0,54.8288365711,128.043087677,82.2749115721,54.8878407863,54.7296287847,109.84595988,0.0,54.6636894729,54.9203561824,274.9333008,0.0,0.0,0.0,109.426258095,91.3562329359,0.0,0.0,82.3073355074,109.746381837,55.0536149958,0.0,0.0,0.0,164.400072912,0.0,0.0,786.289097422,137.052868065,0.0,0.0,82.4572982472,0.0,54.8205151239,0.0,0.0,0.0,54.9374681288,0.0,0.0,82.3827162266,55.1869570848,146.075101613,164.37518664,1024.98371427,0.0,0.0,0.0,0.0,0.0,0.0,91.411146874,0.0,604.16868204,0.0,54.8415831877,55.0536149958,1298.58995967,0.0,512.271831281,274.398933958,55.0203800939,164.486509713,0.0,0.0,54.7626581322,0.0,54.9032256174,0.0,0.0,110.038880977,438.498105302,82.3155959506,109.723971614,54.8866635584,109.723971614,0.0,82.3155959506,0.0,0.0,109.69667786,0.0,310.622800074,0.0,0.0,54.8122769708,0.0,0.0,0.0,109.575002615,0.0,54.9197976746,54.8701114886,0.0,0.0,0.0
