Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.805,0.75,0.834,0.832,0.878,0.85,0.816,0.796
ARGO,,,0.889,0.854,0.96,0.747,0.946,0.916,0.912,0.901
ARGO_top10,,,0.88,0.877,0.963,0.885,0.942,0.92,0.913,0.906
ARGO_all_weighted1,,,0.858,0.911,0.949,0.883,0.953,0.914,0.903,0.906
ARGO_all_weighted2,,,0.903,0.884,0.958,0.883,0.938,0.928,0.926,0.915
ARGO_all_weighted_more_ar,,,0.893,0.895,0.942,0.892,0.94,0.923,0.917,0.91
ARGO_top10_weighted1,,,0.857,0.881,0.963,0.885,0.952,0.916,0.909,0.9
ARGO_top10_weighted2,,,0.903,0.879,0.959,0.894,0.939,0.927,0.923,0.914
ARGO_top10_weighted_more_ar,,,0.892,0.898,0.959,0.897,0.941,0.925,0.922,0.916
ARGO_obs_weight,,,0.886,0.852,0.956,0.748,0.948,0.916,0.909,0.898
ARGO_top10_obs,,,0.858,0.877,0.965,0.862,0.942,0.918,0.907,0.9
ARGO_top10_weighted2_obs,,,0.881,0.863,0.966,0.89,0.938,0.925,0.919,0.903
GFT,,,0.873,0.94,0.972,,,0.878,0.878,0.929
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,1.181,0.654,1.129,0.522,0.913,0.796,0.878,0.988
ARGO,,,0.886,0.53,0.585,0.675,0.659,0.612,0.627,0.667
ARGO_top10,,,0.917,0.476,0.537,0.618,0.698,0.608,0.626,0.644
ARGO_all_weighted1,,,0.991,0.432,0.669,0.666,0.672,0.633,0.664,0.697
ARGO_all_weighted2,,,0.827,0.471,0.572,0.566,0.741,0.576,0.578,0.623
ARGO_all_weighted_more_ar,,,0.863,0.44,0.679,0.574,0.732,0.599,0.615,0.661
ARGO_top10_weighted1,,,0.994,0.484,0.569,0.679,0.681,0.621,0.639,0.682
ARGO_top10_weighted2,,,0.838,0.483,0.572,0.564,0.739,0.581,0.586,0.631
ARGO_top10_weighted_more_ar,,,0.873,0.436,0.587,0.59,0.731,0.587,0.593,0.632
ARGO_obs_weight,,,0.893,0.529,0.595,0.677,0.649,0.617,0.637,0.672
ARGO_top10_obs,,,1.001,0.476,0.523,0.583,0.692,0.616,0.649,0.666
ARGO_top10_weighted2_obs,,,0.919,0.504,0.514,0.532,0.73,0.584,0.601,0.646
GFT,,,1.713,0.381,0.47,,,0.914,0.914,0.855
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.302,0.285,0.261,0.183,0.242,0.428,0.546,0.283
ARGO,,,0.387,0.3,0.308,0.233,0.196,0.391,0.495,0.332
ARGO_top10,,,0.302,0.232,0.25,0.177,0.178,0.378,0.487,0.261
ARGO_all_weighted1,,,0.416,0.231,0.222,0.212,0.157,0.357,0.452,0.29
ARGO_all_weighted2,,,0.305,0.257,0.215,0.191,0.182,0.333,0.416,0.259
ARGO_all_weighted_more_ar,,,0.297,0.277,0.203,0.189,0.177,0.351,0.445,0.259
ARGO_top10_weighted1,,,0.362,0.221,0.217,0.215,0.162,0.343,0.427,0.267
ARGO_top10_weighted2,,,0.317,0.237,0.205,0.191,0.18,0.33,0.41,0.253
ARGO_top10_weighted_more_ar,,,0.324,0.234,0.203,0.195,0.172,0.328,0.408,0.254
ARGO_obs_weight,,,0.368,0.285,0.312,0.243,0.191,0.393,0.495,0.322
ARGO_top10_obs,,,0.304,0.227,0.237,0.182,0.168,0.359,0.456,0.256
ARGO_top10_weighted2_obs,,,0.308,0.255,0.197,0.182,0.176,0.355,0.453,0.253
GFT,,,0.904,0.2,0.236,,,0.534,0.534,0.447
