Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.873,0.94,0.972,,,0.878,0.878,0.929
AR52,,,0.805,0.75,0.834,0.832,0.878,0.85,0.816,0.796
ARGO,,,0.892,0.898,0.959,0.897,0.941,0.925,0.922,0.916
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.713,0.381,0.47,,,0.914,0.914,0.855
AR52,,,1.181,0.654,1.129,0.522,0.913,0.796,0.878,0.988
ARGO,,,0.873,0.436,0.587,0.59,0.731,0.587,0.593,0.632
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.904,0.2,0.236,,,0.534,0.534,0.447
AR52,,,0.302,0.285,0.261,0.183,0.242,0.428,0.546,0.283
ARGO,,,0.324,0.234,0.203,0.195,0.172,0.328,0.408,0.254
