Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.972,,,0.975,0.975,0.975
AR52,0.834,0.832,0.878,0.875,0.86,0.877
ARGO(gt),0.964,0.895,0.93,0.94,0.968,0.935
"ARGO(gt,ath)",0.956,0.887,0.939,0.94,0.961,0.94
Net,0.96,0.879,0.924,0.943,0.964,0.934
ARGONet,0.958,0.89,0.919,0.942,0.963,0.93
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.47,,,0.434,0.434,0.434
AR52,1.129,0.522,0.913,0.775,0.984,0.844
ARGO(gt),0.524,0.553,0.784,0.553,0.472,0.668
"ARGO(gt,ath)",0.596,0.581,0.738,0.56,0.523,0.649
Net,0.543,0.563,0.727,0.536,0.481,0.631
ARGONet,0.556,0.545,0.744,0.541,0.491,0.643
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.236,,,0.272,0.272,0.272
AR52,0.261,0.183,0.242,0.273,0.339,0.258
ARGO(gt),0.277,0.164,0.209,0.245,0.328,0.227
"ARGO(gt,ath)",0.214,0.196,0.178,0.215,0.237,0.196
Net,0.202,0.172,0.26,0.226,0.243,0.243
ARGONet,0.196,0.194,0.22,0.222,0.236,0.221
