Week,ND,athena_flu,athena_ILI,athena_viral,influenza b symptoms,strep,strep throat,expectorant,influenza a symptoms,fever cough,flu symptoms,cold and flu,cold,flu shots,body temperature,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,tessalon,symptoms of pneumonia,stomach flu,how long does the flu last,rsv baby,flu shot,symptoms of influenza,what is influenza,rsv,pneumonia,bronchitis,sinus,the flu,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,a influenza,influenza a,influenza b,cold symptoms,symptoms of the flu,what is rsv
2009-10-04,7.929634641,,,,0.0,900.184779879,912.938586588,0.0,0.0,0.0,9739.45730804,0.0,7314.25048573,1217.78583757,0.0,0.0,0.0,0.0,0.0,903.172719703,0.0,0.0,0.0,0.0,3351.66776375,0.0,915.26831334,922.055975946,4101.27847148,1378.60217642,2129.65705,3958.63408576,0.0,921.085696687,0.0,0.0,1825.85427798,915.7357997,915.7357997,0.0,917.752455324,0.0,0.0
2009-10-11,12.87375415,,,,0.0,1527.11553549,1845.0246275,0.0,0.0,0.0,10390.2731141,910.146013754,9785.71344774,5056.87370841,0.0,912.06905091,921.310776198,0.0,0.0,0.0,1837.07482888,910.420236717,0.0,0.0,3057.0731737,2759.76601516,0.0,913.17158225,2751.58414275,1828.92070086,918.5749967,3972.27080697,0.0,0.0,0.0,0.0,3053.66508259,1847.08310579,1847.08310579,914.553500504,1378.41643747,917.869585801,0.0
2009-10-18,11.99738903,,,,0.0,1389.55990989,932.712395527,0.0,0.0,0.0,11777.2978602,927.164060041,6826.58044497,935.309759578,931.489805507,0.0,0.0,927.912092899,921.64092287,921.084712295,1392.84990849,937.390010233,0.0,0.0,2482.03552969,0.0,1839.94860551,1394.45827947,2484.29356769,1870.43794207,2317.12430399,4651.08372012,933.338314737,0.0,0.0,0.0,3097.26511954,0.0,0.0,0.0,928.705323856,928.843452387,0.0
2009-10-25,6.8324757,,,,0.0,1761.56918373,887.413537383,0.0,0.0,874.571521596,5855.4173339,873.254395811,6152.42560666,878.565127138,884.198270943,875.099485087,877.921134822,877.126636058,879.514458116,0.0,0.0,0.0,0.0,0.0,2343.32691684,0.0,876.862122597,0.0,2053.21094093,1170.69339127,2638.36591901,4098.97016652,0.0,875.892626614,0.0,0.0,3217.17800992,2208.22199843,2208.22199843,876.333574,876.687207164,1756.37257537,0.0
2009-11-01,9.438236182,,,,0.0,2731.43822693,2272.26358445,0.0,0.0,0.0,3640.41772106,0.0,10026.3202562,913.39795989,918.412904681,0.0,907.190895612,1818.50394598,0.0,0.0,0.0,0.0,0.0,0.0,1828.17450897,0.0,0.0,917.858642216,2128.55615386,1807.28369815,1820.85688283,1517.36661956,0.0,0.0,0.0,0.0,2737.30661114,913.321405278,913.321405278,908.838336705,0.0,918.96783695,0.0
2009-11-08,4.245283019,,,,0.0,926.186413145,932.829881162,0.0,0.0,0.0,2470.75705031,0.0,7419.05772829,926.554892579,0.0,0.0,935.300407948,0.0,0.0,0.0,936.996841577,0.0,0.0,0.0,2163.79495916,0.0,0.0,0.0,0.0,1235.19091103,925.717251497,2779.39613222,0.0,0.0,0.0,0.0,1839.43121051,0.0,0.0,0.0,923.495070345,0.0,0.0
2009-11-15,2.814380999,,,,0.0,2055.78786255,2063.42490472,0.0,0.0,0.0,2350.9464239,0.0,8232.85669721,1315.93404456,0.0,0.0,1782.42878971,870.109360765,868.014604555,0.0,0.0,0.0,0.0,0.0,1331.63763924,0.0,0.0,0.0,2203.29079422,1770.60443414,1329.49727972,2219.08517545,0.0,0.0,0.0,0.0,1174.54038617,873.534988169,873.534988169,0.0,0.0,0.0,0.0
2009-11-22,2.438116508,,,,0.0,1080.84089619,1082.80239186,0.0,0.0,0.0,2172.2115191,0.0,6523.17654236,0.0,0.0,0.0,0.0,0.0,1093.13181349,0.0,1098.08857806,0.0,0.0,0.0,1082.7989413,0.0,0.0,0.0,3290.28715239,0.0,1630.99535205,1081.98515812,1095.10913966,0.0,0.0,0.0,2163.6380655,0.0,0.0,0.0,1625.02203484,1083.12597208,0.0
2009-11-29,2.335869758,,,,0.0,1751.97899367,1170.83893892,0.0,0.0,0.0,0.0,0.0,8768.41608164,879.892758038,870.268479881,0.0,1320.87474004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.741747663,0.0,0.0,0.0,2184.62543858,878.530629228,873.863689492,881.487248086,0.0,0.0,0.0,0.0,0.0,880.158105673,880.158105673,0.0,0.0,0.0,0.0
2009-12-06,2.02764977,,,,0.0,1680.78630755,843.691798398,0.0,0.0,0.0,1265.05276338,0.0,13836.3799711,842.420029031,1268.23722981,0.0,844.201581962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2258.35425011,0.0,842.16613511,0.0,1700.49067504,1686.48452169,2254.95126845,0.0,0.0,0.0,0.0,0.0,842.674076084,849.178877153,849.178877153,0.0,0.0,0.0,0.0
2009-12-13,2.016278209,,,,0.0,894.179892746,0.0,0.0,0.0,0.0,1344.78833565,0.0,15021.5530991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1344.64956484,0.0,0.0,0.0,0.0,902.253076453,1499.51174384,1807.22829829,0.0,0.0,0.0,0.0,895.846957981,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-20,1.858893114,,,,0.0,2537.42617106,1271.78875362,0.0,0.0,0.0,2472.03016975,0.0,9563.54579437,0.0,1250.80000786,0.0,1266.41607934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.40636958,0.0,0.0,0.0,1267.18082335,1869.33627701,1660.40348913,1225.18682822,0.0,0.0,0.0,0.0,1247.78239626,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-27,2.144586648,,,,0.0,1291.54583761,1301.65990823,0.0,0.0,0.0,1293.10144837,0.0,7815.24386558,1294.66081099,1298.18316507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.76347684,0.0,0.0,0.0,1304.12605917,1948.91397789,1733.60994191,1302.40404921,0.0,0.0,0.0,0.0,1948.85743725,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-03,1.517265434,,,,0.0,2144.67298081,921.214567224,0.0,0.0,919.281513188,1378.70067004,0.0,13813.9752857,913.948741247,0.0,0.0,921.778053206,0.0,0.0,0.0,923.449960194,0.0,0.0,0.0,914.500642661,0.0,0.0,1382.30838245,921.498562464,0.0,2145.21628636,920.666807813,0.0,0.0,0.0,0.0,925.498696981,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-10,1.699115044,,,,0.0,1326.03564401,1330.97542624,0.0,0.0,0.0,890.884072587,0.0,7127.3445455,0.0,883.085577231,0.0,0.0,0.0,890.686967649,0.0,0.0,884.599906361,0.0,0.0,889.61255635,0.0,0.0,891.555830093,2241.10775882,1771.87054279,1786.7756271,1186.59323864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.183553523,880.427282297
2010-01-17,1.96219622,,,,0.0,1303.66309311,874.414762089,0.0,0.0,0.0,872.045074386,0.0,7878.69381883,0.0,867.667367772,0.0,874.943109377,0.0,0.0,0.0,0.0,882.125106558,882.390726885,0.0,1166.89446901,0.0,0.0,2601.43119076,875.483968619,0.0,1165.13614412,883.188548519,0.0,0.0,0.0,0.0,865.055485269,0.0,0.0,0.0,866.620724385,0.0,0.0
2010-01-24,1.788218794,,,,0.0,2524.21918565,853.269859155,860.764271024,0.0,0.0,832.782737493,0.0,5088.56115827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1702.92744797,0.0,0.0,0.0,0.0,0.0,1710.62456127,1696.46735375,849.152754889,846.57446164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.688264341,0.0,0.0
2010-01-31,2.047432179,,,,0.0,816.683949334,1228.36265189,0.0,0.0,0.0,818.363281253,0.0,7360.6522307,0.0,1639.19418767,0.0,820.384933999,0.0,0.0,0.0,819.147550991,0.0,0.0,0.0,0.0,0.0,0.0,1091.35824884,1637.20903985,818.068716076,2449.30633228,815.616849501,0.0,817.852243572,816.098059729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-07,1.92,,,,0.0,1940.05618815,1663.51874812,0.0,0.0,838.285559795,1252.41254655,0.0,5550.43073844,0.0,833.076206713,0.0,839.551852181,0.0,832.881925378,0.0,828.87045313,0.0,0.0,0.0,831.37308131,0.0,0.0,1250.01380738,1243.18512853,833.682962959,2216.45895102,829.869694183,0.0,829.88641041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-14,1.136925358,,,,0.0,892.325487478,885.412115198,0.0,0.0,881.679573912,900.200689152,0.0,8371.85813478,0.0,901.831487502,0.0,0.0,0.0,905.960120774,0.0,881.414167658,0.0,0.0,0.0,0.0,0.0,0.0,897.640181155,2095.79934393,901.84986204,1790.59151292,903.210326471,0.0,904.015098852,899.929462671,0.0,904.867285887,0.0,0.0,0.0,896.828518492,0.0,0.0
2010-02-21,2.098243331,,,,0.0,1648.86744398,827.596841841,0.0,0.0,826.582468476,1235.64742941,0.0,5781.55485003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.80418548,0.0,0.0,0.0,0.0,825.835106388,2755.13483852,2205.08251612,826.932003733,1923.89392295,1100.62479669,0.0,0.0,0.0,0.0,0.0,822.705113198,822.705113198,0.0,828.582063198,0.0,833.048160269
2010-02-28,2.063206157,,,,0.0,818.68464231,2500.65970385,826.415580572,0.0,0.0,0.0,0.0,7168.4855886,0.0,0.0,819.178420743,0.0,0.0,0.0,0.0,0.0,817.69886911,0.0,0.0,0.0,0.0,0.0,2207.43829268,0.0,1235.09989394,2752.04207774,1667.60997466,0.0,0.0,817.945089787,0.0,0.0,0.0,0.0,0.0,826.808212998,0.0,830.921936358
2010-03-07,2.427590825,,,,0.0,3314.34954923,831.959249347,0.0,0.0,0.0,829.434822158,0.0,6919.52869875,0.0,829.31662859,0.0,0.0,0.0,0.0,0.0,0.0,830.57050919,0.0,0.0,832.313598628,0.0,0.0,1659.5507329,1661.2400198,828.523290644,831.31081116,0.0,0.0,0.0,0.0,0.0,832.313598628,0.0,0.0,829.31662859,0.0,0.0,0.0
2010-03-14,2.637244349,,,,0.0,1379.32992065,1848.19471624,0.0,0.0,0.0,0.0,0.0,6127.82493997,0.0,931.267783967,0.0,0.0,0.0,0.0,0.0,912.172522639,0.0,0.0,0.0,0.0,0.0,0.0,912.926359879,1535.13802419,1378.76939614,1382.03367442,929.583755425,0.0,0.0,0.0,909.707931614,0.0,0.0,0.0,0.0,913.547518905,0.0,912.650551311
2010-03-21,2.801690405,,,,0.0,827.583311516,1241.15973201,0.0,0.0,0.0,0.0,0.0,6905.57419028,819.861807792,0.0,825.839853045,820.35659464,0.0,837.210453414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.563860365,833.762544044,819.861807792,2757.2690351,819.367617432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.564914339,0.0,0.0
2010-03-28,2.207160236,,,,0.0,888.328033851,1773.73295358,0.0,0.0,0.0,896.530759408,0.0,6226.13448933,0.0,891.783152765,0.0,0.0,885.721338184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.187288537,0.0,887.595597364,2675.35337714,1791.98233644,2367.43703242,1781.14614537,0.0,0.0,0.0,0.0,897.88258504,897.88258504,897.88258504,0.0,1770.37457707,0.0,0.0
2010-04-04,2.386237514,,,,0.0,881.310629035,885.657131895,0.0,0.0,0.0,880.508540036,0.0,8856.81216319,0.0,887.560617993,882.289915583,0.0,0.0,0.0,0.0,890.0452536,0.0,0.0,0.0,0.0,0.0,0.0,883.356449177,2365.3230884,1320.29981486,2947.08148679,886.946776632,0.0,0.0,880.587085042,0.0,0.0,0.0,0.0,0.0,881.383756108,0.0,0.0
2010-04-11,1.857028754,,,,0.0,1253.73990118,828.953728942,0.0,0.0,845.651129662,0.0,0.0,5317.58233713,0.0,0.0,0.0,844.972153462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.077713242,1694.97518396,0.0,2531.86050323,846.672755914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.462520077,0.0,0.0
2010-04-18,2.914446882,,,,0.0,1791.36261829,909.854052736,892.712796219,0.0,0.0,0.0,0.0,8438.20020294,0.0,0.0,0.0,0.0,909.594910079,909.565880837,0.0,0.0,0.0,0.0,0.0,0.0,906.586628657,0.0,911.244220886,2728.065374,907.524745979,2105.57753317,901.760203015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.964542405,,,,0.0,1932.96823562,1665.6814469,0.0,0.0,0.0,0.0,0.0,6358.10576942,0.0,838.869809854,0.0,0.0,0.0,827.521396822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.71760404,835.083157087,1931.71441866,0.0,0.0,0.0,0.0,0.0,822.112296769,0.0,0.0,0.0,839.12347475,0.0,0.0
2010-05-02,1.935163745,,,,0.0,1684.70927244,2113.64753913,0.0,0.0,0.0,0.0,0.0,9567.70306929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.220715482,0.0,0.0,0.0,0.0,0.0,0.0,842.62978984,2107.31972887,1123.50423664,1123.58699477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.221329175,0.0,0.0
