Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.701,0.776,0.804,0.675,0.558,0.807,0.828,0.76
ARGO,,,0.691,0.791,0.779,0.665,0.722,0.811,0.812,0.753
ARGO_top10,,,0.713,0.775,0.794,0.704,0.738,0.82,0.819,0.76
ARGO_all_weighted1,,,0.676,0.769,0.722,0.669,0.733,0.783,0.773,0.722
ARGO_all_weighted2,,,0.694,0.811,0.803,0.677,0.693,0.811,0.816,0.769
ARGO_all_weighted_more_ar,,,0.696,0.81,0.794,0.657,0.703,0.813,0.816,0.767
ARGO_top10_weighted1,,,0.705,0.76,0.76,0.644,0.777,0.807,0.797,0.742
ARGO_top10_weighted2,,,0.691,0.803,0.826,0.67,0.703,0.815,0.82,0.773
ARGO_top10_weighted_more_ar,,,0.693,0.799,0.819,0.648,0.714,0.819,0.822,0.77
ARGO_obs_weight,,,0.692,0.877,0.771,0.67,0.731,0.814,0.813,0.78
ARGO_top10_obs,,,0.719,0.824,0.779,0.688,0.754,0.827,0.824,0.774
ARGO_top10_weighted2_obs,,,0.689,0.805,0.836,0.667,0.759,0.826,0.825,0.777
GFT,,,0.565,0.928,0.812,,,0.672,0.672,0.768
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,1.574,0.703,1.102,0.463,1.266,1.019,1.078,1.126
ARGO,,,1.612,0.671,1.217,0.458,1.058,1.012,1.123,1.167
ARGO_top10,,,1.565,0.702,1.188,0.428,1.009,0.986,1.103,1.152
ARGO_all_weighted1,,,1.664,0.751,1.472,0.454,1.048,1.091,1.238,1.295
ARGO_all_weighted2,,,1.634,0.663,1.132,0.458,1.122,1.016,1.114,1.143
ARGO_all_weighted_more_ar,,,1.626,0.65,1.187,0.468,1.096,1.017,1.122,1.154
ARGO_top10_weighted1,,,1.598,0.777,1.285,0.465,0.945,1.022,1.163,1.22
ARGO_top10_weighted2,,,1.645,0.671,1.057,0.463,1.102,1.004,1.102,1.124
ARGO_top10_weighted_more_ar,,,1.635,0.666,1.075,0.471,1.073,0.997,1.098,1.125
ARGO_obs_weight,,,1.603,0.607,1.287,0.459,1.037,1.015,1.132,1.166
ARGO_top10_obs,,,1.528,0.636,1.232,0.439,0.985,0.974,1.091,1.132
ARGO_top10_weighted2_obs,,,1.643,0.656,1.034,0.468,1.005,0.981,1.092,1.111
GFT,,,2.609,0.379,1.127,,,1.61,1.61,1.372
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.349,1.588,0.647,0.701,0.894,0.811,0.832,0.861
ARGO,,,0.336,2.076,0.786,0.569,0.835,0.948,1.035,1.066
ARGO_top10,,,0.322,1.996,0.833,0.609,0.86,0.95,1.037,1.05
ARGO_all_weighted1,,,0.344,2.405,0.888,0.683,0.836,1.018,1.159,1.212
ARGO_all_weighted2,,,0.342,2.349,0.665,0.638,0.907,0.944,1.038,1.119
ARGO_all_weighted_more_ar,,,0.346,2.261,0.672,0.693,0.904,0.91,0.988,1.093
ARGO_top10_weighted1,,,0.329,2.389,0.894,0.689,0.838,1.052,1.198,1.204
ARGO_top10_weighted2,,,0.347,2.361,0.627,0.654,0.889,0.995,1.121,1.111
ARGO_top10_weighted_more_ar,,,0.349,2.248,0.653,0.714,0.887,0.944,1.031,1.083
ARGO_obs_weight,,,0.326,2.012,0.769,0.599,0.828,0.931,1.008,1.036
ARGO_top10_obs,,,0.321,1.828,0.794,0.639,0.891,0.909,0.971,0.981
ARGO_top10_weighted2_obs,,,0.344,2.113,0.636,0.657,0.867,0.941,1.049,1.031
GFT,,,0.516,0.996,0.471,,,0.696,0.696,0.661
